Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Pendapatan Bunga Dan Pendapatan Syariah,"Penerimaan Pendapatan Provisi, Komisi Dan Premi - Bersih",Pembayaran Beban Bunga Dan Beban Syariah,Pembayaran Beban Pendanaan Lainnya,Pembayaran Beban Klaim Asuransi,Penerimaan Dari Penjualan Obligasi Pemerintah -Untuk Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Pembelian Obligasi Pemerintah - Untuk Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Laba/(Rugi) Selisih Kurs - Bersih,Pendapatan Dari Kelompok Yang Diperdagangkan,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Gaji Dan Tunjangan,Beban Umum Dan Administrasi,Pembayaran Beban Pajak Penghasilan Badan,Pendapatan (Beban) Bukan Operasional,Penurunan/(Kenaikan) Atas Aset Operasional:,Penempatan Pada Bank Indonesia Dan Bank Lain,Giro Pada Bank Lain,Efek-Efek - Untuk Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Tagihan Lainnya - Transaksi Perdagangan,Kredit Yang Diberikan,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Piutang Pembiayaan Konsumen,Piutang/ Pembiayaan Syariah,Investasi Bersih Dalam Sewa Pembiayaan,Pajak Dibayar Dimuka,Biaya Dibayar Dimuka,Aset Lain-Lain,Total Penurunan/(Kenaikan) Atas Aset Operasional:,Penerimaan Atas Aset Keuangan Yang Telah Dihapusbukukan,Kenaikan/(Penurunan) Atas Liabilitas Operasional Dan Dana Syirkah Temporer:,Bank Konvensional Dan Syariah -Bukan Dana Syirkah Temporer,Giro,Tabungan,Deposito Berjangka,Total Bank Konvensional Dan Syariah -Bukan Dana Syirkah Temporer,Inter-Bank Call Money,Liabilitas Segera,Liabilitas Kepada Pemegang Polis Unit-Linked,Utang Pajak,Pembayaran Pajak Penghasilan Badan,Liabilitas Lain-Lain,Estimasi Kerugian Atas Komitmen Dan Kontinjensi,Bank Syariah - Dana Syirkah Temporer,Investasi Terikat Giro Dan Giro Mudharabah Musytarakah,Investasi Terikat Tabungan Dan Investasi Tidak Terikat Tabungan Mudharabah,Investasi Tidak Terikat Deposito Mudharabah,Total Bank Syariah - Dana Syirkah Temporer,Total Kenaikan/(Penurunan) Atas Liabilitas Operasional Dan Dana Syirkah Temporer:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan/(Kenaikan) Efek-Efek - Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo,Penurunan Obligasi Pemerintah - Tersedia Untuk Dijual Dan Dimiliki Hingga Jatuh Tempo,Penurunan (Kenaikan) Investasi Di Entitas Anak,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,(Kenaikan)/Penurunan Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Pembelian Pt Mandiri Axa General Insurance (Anak Perusahaan),Pembelian Pt Mandiri Tunas Finance,Setoran Modal Pt Bank Syariah Mandiri (Anak Perusahaan),Pembelian Pt Axa Mandiri Financial Services (Anak Perusahaan),Setoran Modal Mandiri International Remittance Sendirian Berhard (Anak Perusahaan),Penambahan Aset Tidak Berwujud,Penerimaan Dari Penjualan Aset Tidak Berwujud,Penyertaan Pada Entitas Lain,Kenaikan Hak Nonpengendali,Penerimaan Dari Pengalihan Pengendalian Atas Entitas Anak,Divestasi Penyertaan Entitas Asosiasi,Perolehan Aset Hak Guna,Penjualan Saham,Penjualan Saham Pt Bumi Daya Plaza,Penjualan Saham Pt Usaha Gedung Mandiri,Total Penjualan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penurunan/(Kenaikan) Investasi Di Entitas Anak,Penerimaan Atas Efek-Efek Yang Diterbitkan,Pembayaran Atas Efek-Efek Yang Diterbitkan,(Penurunan)/Kenaikan Atas Pinjaman Yang Diterima,Penurunan,Kenaikan,Total (Penurunan)/Kenaikan Atas Pinjaman Yang Diterima,Penerbitan Obligasi Subordinasi,Penerimaan (Pembayaran) Atas Pinjaman Subordinasi,Kenaikan (Penurunan) Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Penambahan Modal Dari Penawaran Umum Terbatas (Put) Dengan Hak Memesan Efek Terlebih Dahulu (Hmetd),Penyesuaian Agio Saham,Selisih Perubahan Ekuitas Anak Perusahaan,Capital Contribution,Eksekusi Hak Opsi Saham,Penyesuaian Saldo Awal Berkaitan Dengan Penerapan Psak 55,Penerimaan Dari Kepentingan Nonpengendali Atas Penerbitan Saham Baru Entitas Anak,Pembayaran Liabilitas Sewa,"Pembayaran Dividen, Dana Program Kemitraan Dan Program Bina Lingkungan",Pembayaran Saham Treasuri,Penambahan Kepemilikan Pada Entitas Anak Dari Kepentingan Nonpengendali,Kenaikan (Penurunan) Hak Minoritas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Awal Periode Dari Entitas Anak Yang Dialihkan Kepada Entitas Sepengendali,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2007,5803964000000.000000,23222510000000.000000,3143276000000.000000,-11477844000000.000000,-142434000000.000000,,25762599000000.000000,-25549223000000.000000,326706000000.000000,,577068000000.000000,-16229000000.000000,-2840646000000.000000,-2837906000000.000000,,15675000000.000000,,-7359001000000.000000,,-10030596000000.000000,-97988000000.000000,-24287819000000.000000,,,,,,,-297405000000.000000,-42072809000000.000000,1375021000000.000000,,,12973698000000.000000,30008961000000.000000,-4345784000000.000000,38636875000000.000000,-1072064000000.000000,181438000000.000000,,-2988556000000.000000,,1560507000000.000000,,,,,,,36318200000000.000000,5803964000000.000000,-932100000000.000000,149005000000.000000,1684033000000.000000,12250000000.000000,3444000000.000000,-298367000000.000000,-2482465000000.000000,,,,,,,,,,,,,,,,,-932100000000.000000,4507288000000.000000,,93815000000.000000,,,-10358647000000.000000,16267116000000.000000,5908469000000.000000,,-1233809000000.000000,1054563000000.000000,,,,,238727000000.000000,,,,-1554477000000.000000,,,,4507288000000.000000,9379152000000.000000,26093258000000.000000,,,35472410000000.000000
12M 2008,521717000000.000000,26117536000000.000000,4262997000000.000000,-12165217000000.000000,-165200000000.000000,,6003599000000.000000,-5184940000000.000000,-138149000000.000000,,311092000000.000000,-469332000000.000000,-3403043000000.000000,-3288579000000.000000,,82339000000.000000,,-12016854000000.000000,,2600153000000.000000,-1513689000000.000000,-36149818000000.000000,,,,,,,284409000000.000000,-46795799000000.000000,2343228000000.000000,,,6650858000000.000000,4114274000000.000000,28871129000000.000000,39636261000000.000000,-823257000000.000000,-232979000000.000000,,-2817792000000.000000,,-2751048000000.000000,,,,,,,33011185000000.000000,521717000000.000000,2400956000000.000000,-70105000000.000000,286139000000.000000,41649000000.000000,80178000000.000000,-613507000000.000000,2657374000000.000000,,,,,,,,,19228000000.000000,,,,,,,,2400956000000.000000,-9157602000000.000000,,-3033961000000.000000,,,-19283446000000.000000,19172382000000.000000,-111064000000.000000,,-130374000000.000000,-1932450000000.000000,,,,,135697000000.000000,,,,-4085450000000.000000,,,,-9157602000000.000000,-6234929000000.000000,35472410000000.000000,,,29237481000000.000000
12M 2009,12360087000000.000000,32078031000000.000000,5269940000000.000000,-15879101000000.000000,-146636000000.000000,,9349047000000.000000,-9722868000000.000000,-589937000000.000000,,716236000000.000000,-1647961000000.000000,-4853601000000.000000,-3878814000000.000000,,197692000000.000000,,-11958068000000.000000,,5808627000000.000000,680259000000.000000,-24906337000000.000000,,-1420388000000.000000,,,,,1118663000000.000000,-30677244000000.000000,2350123000000.000000,,,6266337000000.000000,18882649000000.000000,8365346000000.000000,33514332000000.000000,-7588000000.000000,-46242000000.000000,,-4798538000000.000000,,1133216000000.000000,,,,,,,29795180000000.000000,12360087000000.000000,-4716052000000.000000,524900000000.000000,-500834000000.000000,-1080000000.000000,62978000000.000000,-651467000000.000000,-4268951000000.000000,,,,,,,,,118402000000.000000,,,,,,,,-4716052000000.000000,-4468155000000.000000,,654411000000.000000,,,-13818060000000.000000,8390908000000.000000,-5427152000000.000000,,3349626000000.000000,-665539000000.000000,,,,,96474000000.000000,,,,-2475975000000.000000,,,,-4468155000000.000000,3175880000000.000000,29237481000000.000000,,,32413361000000.000000
12M 2010,42109002000000.000000,34021221000000.000000,5101838000000.000000,-14821381000000.000000,,,37628006000000.000000,-36985217000000.000000,288569000000.000000,,877840000000.000000,-4817154000000.000000,-5802173000000.000000,-5019356000000.000000,,163281000000.000000,,41264635000000.000000,,-1920318000000.000000,269011000000.000000,-46900755000000.000000,-753204000000.000000,,,,,,-603636000000.000000,-8644267000000.000000,2348642000000.000000,,,-8471819000000.000000,10161596000000.000000,12563907000000.000000,14253684000000.000000,,183908000000.000000,,-3473497000000.000000,,1553634000000.000000,,,85094000000.000000,9729281000000.000000,15437049000000.000000,25251424000000.000000,37769153000000.000000,42109002000000.000000,326031000000.000000,-6271745000000.000000,11221714000000.000000,241792000000.000000,79563000000.000000,-1027188000000.000000,-4044728000000.000000,,,,-48427000000.000000,-11756000000.000000,,,,186806000000.000000,,,,,,,,326031000000.000000,-1553898000000.000000,,-179647000000.000000,,,1847937000000.000000,,1847937000000.000000,,-152853000000.000000,-316356000000.000000,,,,,46108000000.000000,,,,-2799087000000.000000,,,,-1553898000000.000000,40881135000000.000000,32413361000000.000000,,,73294496000000.000000
12M 2011,20440640000000.000000,36913370000000.000000,8358208000000.000000,-15960467000000.000000,,,40435174000000.000000,-41295128000000.000000,351806000000.000000,,906078000000.000000,-3020872000000.000000,-6766471000000.000000,-6111913000000.000000,,125566000000.000000,,216050000000.000000,,12198264000000.000000,-2169377000000.000000,-69544626000000.000000,-3389128000000.000000,-1058232000000.000000,,-38983000000.000000,,,-1407896000000.000000,-65193928000000.000000,3587722000000.000000,,,24873071000000.000000,26069795000000.000000,1454749000000.000000,52397615000000.000000,58282000000.000000,414966000000.000000,,-221991000000.000000,-2982177000000.000000,5838678000000.000000,,,508000000.000000,4344752000000.000000,8260862000000.000000,12606122000000.000000,68111495000000.000000,20440640000000.000000,98592000000.000000,1358979000000.000000,430561000000.000000,359838000000.000000,50084000000.000000,-1540870000000.000000,,-60000000000.000000,,-500000000000.000000,,,,,,,,,,,,,,98592000000.000000,14820020000000.000000,,720221000000.000000,,,6083776000000.000000,,6083776000000.000000,,-204773000000.000000,,11403500000000.000000,,,,,,,,-3182704000000.000000,,,,14820020000000.000000,35359252000000.000000,73294496000000.000000,,,108653748000000.000000
12M 2012,8798671000000.000000,41306034000000.000000,9563427000000.000000,-15061545000000.000000,,,63020694000000.000000,-63501981000000.000000,1184943000000.000000,,878819000000.000000,-2449179000000.000000,-7062317000000.000000,-7543342000000.000000,,878821000000.000000,,43263000000.000000,,2058994000000.000000,-783128000000.000000,-74972786000000.000000,-2145350000000.000000,-762916000000.000000,,-290465000000.000000,-6634000000.000000,-30999000000.000000,-1428970000000.000000,-78318991000000.000000,2550099000000.000000,,,20800328000000.000000,34355704000000.000000,4383361000000.000000,59539393000000.000000,268819000000.000000,392759000000.000000,,10573000000.000000,-3266066000000.000000,3885183000000.000000,,,-82444000000.000000,4353474000000.000000,-1748502000000.000000,2522528000000.000000,63353189000000.000000,8798671000000.000000,-1638267000000.000000,-97314000000.000000,513342000000.000000,-228303000000.000000,94547000000.000000,-1668666000000.000000,,,,,,,-251873000000.000000,,,,,,,,,,,-1638267000000.000000,-4506198000000.000000,,-665712000000.000000,,,-185754000000.000000,,-185754000000.000000,,-713848000000.000000,,,,,,,,,,-2940884000000.000000,,,,-4506198000000.000000,2654206000000.000000,108653748000000.000000,,,111307954000000.000000
12M 2013,12733517000000.000000,48006235000000.000000,11330101000000.000000,-17291592000000.000000,,,26689634000000.000000,-26364288000000.000000,-1684990000000.000000,,1126887000000.000000,-1295075000000.000000,-8659586000000.000000,-8935985000000.000000,,523356000000.000000,,-975057000000.000000,,-743827000000.000000,-2273965000000.000000,-85610294000000.000000,10777622000000.000000,-833329000000.000000,,-291229000000.000000,-1098375000000.000000,-53253000000.000000,172342000000.000000,-80929365000000.000000,3002556000000.000000,,,10098878000000.000000,32276298000000.000000,21255943000000.000000,63631119000000.000000,953750000000.000000,-932101000000.000000,968758000000.000000,-211620000000.000000,-5911725000000.000000,1523844000000.000000,,,14717000000.000000,2210646000000.000000,4968241000000.000000,7193604000000.000000,67215629000000.000000,12733517000000.000000,-12462835000000.000000,-6410209000000.000000,-4642580000000.000000,98830000000.000000,119287000000.000000,-1584388000000.000000,,,,,,-439775000000.000000,,,,,,,,396000000000.000000,,,396000000000.000000,-12462835000000.000000,6255292000000.000000,,233721000000.000000,,,6688977000000.000000,,6688977000000.000000,,-672335000000.000000,4656149000000.000000,,,,,,,,,-4651220000000.000000,,,,6255292000000.000000,6525974000000.000000,111503789000000.000000,,2993395000000.000000,121023158000000.000000
12M 2014,21091691000000.000000,59752177000000.000000,11812545000000.000000,-23121999000000.000000,,,26624838000000.000000,-26249130000000.000000,1876047000000.000000,,1360996000000.000000,-2912216000000.000000,-10251940000000.000000,-10266219000000.000000,,29909000000.000000,,-2321185000000.000000,,-11765022000000.000000,-4289584000000.000000,-59909017000000.000000,-16049132000000.000000,-1590704000000.000000,,-165177000000.000000,-1465433000000.000000,-348490000000.000000,-1583311000000.000000,-99487055000000.000000,2607206000000.000000,,,4832745000000.000000,15682853000000.000000,57414439000000.000000,77930037000000.000000,1611150000000.000000,394236000000.000000,5340802000000.000000,244614000000.000000,-5716191000000.000000,3910075000000.000000,,,-4342000000.000000,509134000000.000000,5097017000000.000000,5601809000000.000000,89316532000000.000000,21091691000000.000000,-7120367000000.000000,-965192000000.000000,-3169133000000.000000,-36365000000.000000,6661000000.000000,-2250724000000.000000,,,,,,,-705614000000.000000,,,,,,,,,,,-7120367000000.000000,3532596000000.000000,,230028000000.000000,,,8026295000000.000000,,8026295000000.000000,,-719041000000.000000,1456440000000.000000,,,,,,,,,-5461126000000.000000,,,,3532596000000.000000,17503920000000.000000,121023158000000.000000,,277305000000.000000,138804383000000.000000
12M 2015,10201454000000.000000,68561085000000.000000,13151880000000.000000,-26303441000000.000000,,,31695656000000.000000,-32543993000000.000000,568115000000.000000,,2695638000000.000000,-3884426000000.000000,-11503062000000.000000,-11309466000000.000000,,30458000000.000000,,-74344000000.000000,,5930922000000.000000,-1674546000000.000000,-71254097000000.000000,19109845000000.000000,-2305938000000.000000,,170521000000.000000,-2225414000000.000000,-462352000000.000000,627894000000.000000,-52157509000000.000000,3430132000000.000000,,,44702559000000.000000,17133981000000.000000,-28721091000000.000000,33115449000000.000000,872363000000.000000,-39000000.000000,-324750000000.000000,-306828000000.000000,-5299131000000.000000,-1484053000000.000000,,,-2031000000.000000,1852989000000.000000,-653582000000.000000,1197376000000.000000,27770387000000.000000,10201454000000.000000,-29624606000000.000000,-9640061000000.000000,-17604588000000.000000,-675283000000.000000,4202000000.000000,-1135677000000.000000,,,,,,,-573199000000.000000,,,,,,,,,,,-29624606000000.000000,1453603000000.000000,,388553000000.000000,,,7291307000000.000000,,7291307000000.000000,,-8871000000.000000,-1249418000000.000000,,,,,,,,,-4967968000000.000000,,,,1453603000000.000000,-17969549000000.000000,138804383000000.000000,,4832573000000.000000,125667407000000.000000
12M 2016,41521119000000.000000,73772423000000.000000,14092433000000.000000,-24636216000000.000000,,,47558159000000.000000,-46378950000000.000000,3151361000000.000000,,1879255000000.000000,-3707546000000.000000,-12860915000000.000000,-12200718000000.000000,,-39882000000.000000,,1105862000000.000000,,-3700426000000.000000,-1011605000000.000000,-75638571000000.000000,-4377588000000.000000,-4079414000000.000000,,-231782000000.000000,2204689000000.000000,-451229000000.000000,-42059000000.000000,-86222123000000.000000,3701934000000.000000,,,15377874000000.000000,28225627000000.000000,35310768000000.000000,78914269000000.000000,-2483411000000.000000,413584000000.000000,2583901000000.000000,-7543000000.000000,-5943662000000.000000,3531241000000.000000,,,57423000000.000000,2415839000000.000000,3930263000000.000000,6403525000000.000000,83411904000000.000000,41521119000000.000000,-6708910000000.000000,-8924594000000.000000,5320566000000.000000,-546129000000.000000,10935000000.000000,-2149547000000.000000,,,,,,,-420141000000.000000,,,,,,,,,,,-6708910000000.000000,-1428393000000.000000,6627816000000.000000,3076681000000.000000,,,,,,,-3522271000000.000000,-1510129000000.000000,,,,,,,,,-6100490000000.000000,,,,-1428393000000.000000,33383816000000.000000,125667407000000.000000,,-1491116000000.000000,157560107000000.000000
