Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,497504080854.000000,-390094229166.000000,107409851688.000000,-16979127961.000000,-16979127961.000000,-16979127961.000000,90430723727.000000,-49416924244.000000,-48925701005.000000,-491223239.000000,-49416924244.000000,41013799483.000000,-10908919464.000000,,30104880019.000000,14846654246.000000,44951534265.000000,30104880019.000000,30719424242.000000,-614544223.000000,30104880019.000000,44951534265.000000,45444198307.000000,-492664042.000000,44951534265.000000
12M 2018,864983016390.000000,-671297137735.000000,193685878655.000000,-31276432276.000000,-31276432276.000000,-31276432276.000000,162409446379.000000,-73098724664.000000,-67760786335.000000,-5337938329.000000,-73098724664.000000,89310721715.000000,-20117493837.000000,,69193227878.000000,20818691964.000000,90011919842.000000,69193227878.000000,66916834218.000000,2276393660.000000,69193227878.000000,90011919842.000000,87547678135.000000,2464241707.000000,90011919842.000000
12M 2019,1271856134204.000000,-1037323611689.000000,234532522515.000000,-35009543490.000000,-35009543490.000000,-35009543490.000000,199522979025.000000,-80197183305.000000,-79798884137.000000,-398299168.000000,-80197183305.000000,119325795720.000000,-30099474795.000000,,89226320925.000000,6991102404.000000,96217423329.000000,89226320925.000000,86374017581.000000,2852303344.000000,89226320925.000000,96217423329.000000,93339046840.000000,2878376489.000000,96217423329.000000
12M 2020,559954787358.0,-510016819721.0,49937967637.0,-27636281909.0,-27636281909.0,-27636281909.0,22301685728.0,-290355099719.0,-35043968400.0,-255311131319.0,-290355099719.0,-268053413991.0,33721913194.0,-1369556379.0,-235701057176.0,13546184515.0,-222154872661.0,-235701057176.0,-234943965253.0,-757091923.0,-235701057176.0,-222154872661.0,-221509520672.0,-645351989.0,-222154872661.0
12M 2021,389704532869.000000,-334546979396.000000,55157553473.000000,-49189620128.000000,-49189620128.000000,-49189620128.000000,5967933345.000000,-262616666362.000000,-43506409446.000000,-219110256916.000000,-262616666362.000000,-256648733017.000000,23465389749.000000,,-233183343268.000000,-1091212556.000000,-234274555824.000000,-233183343268.000000,-229464397859.000000,-3718945409.000000,-233183343268.000000,-234274555824.000000,-230533651354.000000,-3740904470.000000,-234274555824.000000
12M 2022,189451456077.000000,-171948153888.000000,17503302189.000000,-55139440217.000000,-55139440217.000000,-55139440217.000000,-37636138028.000000,-214351557379.000000,-20767534395.000000,-193584022984.000000,-214351557379.000000,-251987695407.000000,39850540222.000000,,-212137155185.000000,5421272621.000000,-206715882564.000000,-212137155185.000000,-204620551564.000000,-7516603621.000000,-212137155185.000000,-206715882564.000000,-199411859834.000000,-7304022730.000000,-206715882564.000000
