Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Operasional,Pembayaran Beban Bunga,Pembayaran Pajak,Penerimaan Bunga,Penerimaan Lain-Lain,Pembayaran Beban Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Pelepasan Entitas Anak,Penerimaan Dividen,Penerimaan Dari Transaksi Jual Dan Sewa-Balik,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Dana Syirkah Temporer,Penerimaan,Pembayaran,Total Dana Syirkah Temporer,Pembayaran Utang Lembaga Keuangan,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Utang Bank Jangka Panjang,Piutang Pihak Berelasi,Penerimaan,Pembayaran,Total Piutang Pihak Berelasi,Utang Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Pihak Berelasi,Penambahan Utang Lain-Lain - Pihak Ketiga,Pembayaran Utang Lain-Lain - Pihak Ketiga,Utang Lain-Lain,Pembayaran Dividen,Setoran Modal Saham,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,45116923883.000000,533567274270.000000,-344261279455.000000,-11082732466.000000,-82127811014.000000,-49201780615.000000,-1981550033.000000,204803196.000000,,,45116923883.000000,-339975189454.000000,,-339205189454.000000,,,,,-770000000.000000,-339975189454.000000,316255014170.000000,,487785072892.000000,-421105607688.000000,66679465204.000000,,437233341652.000000,-396417580964.000000,40815760688.000000,-1369328552.000000,-5287528016.000000,,63815595108.000000,-15129228521.000000,48686366587.000000,,-34097000000.000000,,-34097000000.000000,,,-14173721741.000000,-14173721741.000000,,,,,215001000000.000000,,316255014170.000000,,21396748599.000000,9181180650.000000,,30577929249.000000
12M 2018,-271900085503.000000,782046260116.000000,-822038159883.000000,-23977071923.000000,-127228602741.000000,-64620095591.000000,-17332802159.000000,1250386678.000000,,,-271900085503.000000,-19723722739.000000,,-19723722739.000000,,,,,,-19723722739.000000,346544631864.000000,,595246601911.000000,-507223986018.000000,88022615893.000000,,337880774465.000000,-359049653057.000000,-21168878592.000000,-1263060875.000000,-3648279650.000000,,28218844412.000000,-16857544504.000000,11361299908.000000,,-19282756000.000000,12297000000.000000,-6985756000.000000,,566000000.000000,,566000000.000000,,,55024000000.000000,,224636691180.000000,,346544631864.000000,,54920823622.000000,30577929249.000000,,85498752871.000000
12M 2019,-149771934244.000000,1269045634498.000000,-1110743084191.000000,-26690470243.000000,-176850414672.000000,-83436089486.000000,-21906845500.000000,809335350.000000,,,-149771934244.000000,-55119323091.000000,,-60069323091.000000,,,,4950000000.000000,,-55119323091.000000,133054374132.000000,,720493485086.000000,-568620636375.000000,151872848711.000000,,510807569081.000000,-505099321503.000000,5708247578.000000,-1813627236.000000,-2875018537.000000,,2500000000.000000,-22338076384.000000,-19838076384.000000,,,,,,,,,,,,,,,133054374132.000000,,-71836883203.000000,85498752871.000000,-2320000000.000000,11341869668.000000
12M 2020,-9855539361.000000,570283419594.000000,-392093145190.000000,-30952856621.000000,-116577759897.000000,-34979538860.000000,-5625752295.000000,90093908.000000,,,-9855539361.000000,-2863732228.000000,,-2863732228.000000,,,,,,-2863732228.000000,14062342515.000000,,46067725723.000000,-34485967357.000000,11581758366.000000,,,,,-1989593250.000000,-990008117.000000,,,-10459814484.000000,-10459814484.000000,,14770000000.000000,1150000000.000000,15920000000.000000,,,,,,,,,,,14062342515.000000,,1343070926.000000,11041622088.000000,-3252000000.000000,9132693014.000000
12M 2021,11378133192.000000,454970221784.000000,-310392930540.000000,-35899600679.000000,-55198487951.000000,-38374524428.000000,-3788906269.000000,62361275.000000,,,11378133192.000000,696848809.000000,,-5849019191.000000,-1954132000.000000,3010000000.000000,5490000000.000000,,,696848809.000000,-18381445561.000000,,17413041675.000000,-30285146047.000000,-12872104372.000000,,,,,-3259049373.000000,-3594366505.000000,,,-6320272711.000000,-6320272711.000000,,,,,,,,,7664347400.000000,,,,,,-18381445561.000000,,-6306463560.000000,9132693014.000000,656020000.000000,3482249454.000000
12M 2022,-13054386526.000000,243826499156.000000,-179770877134.000000,-14648840950.000000,-45482465858.000000,-20767534395.000000,3774450674.000000,14381981.000000,,,-13054386526.000000,20242052207.000000,,20414552207.000000,-172500000.000000,,,,,20242052207.000000,-8420166345.000000,,2712268562.000000,,2712268562.000000,,,,,-2056454295.000000,-9585970951.000000,,,-19684710433.000000,-19684710433.000000,,,,,,,,,20194700772.000000,,,,,,-8420166345.000000,,-1232500664.000000,3482249454.000000,78294655.000000,2328043445.000000
