Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,45 B,(340 B),(295 B),-134.03
12M 2018,(272 B),(20 B),(292 B),-90.52
12M 2019,(150 B),(60 B),(210 B),-65.13
12M 2020,(10 B),(3 B),(13 B),-3.95
12M 2021,11 B,(8 B),4 B,1.11
12M 2022,(13 B),20 B,7 B,2.23
