Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tak Berwujud,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Utang Dari Pihak Ketiga,Dana Syirkah Temporer,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,30577929249.000000,153388160213.000000,,,153388160213.000000,650790775.000000,,,650790775.000000,273128270062.000000,42497000000.000000,135270593447.000000,635512743746.000000,,899297579.000000,,391542138072.000000,21727466651.000000,414168902302.000000,1049681646048.000000,,,403510897352.000000,301731781962.000000,60885203672.000000,13355272598.000000,3264925596.000000,7000000000.000000,,,12635360213.000000,1029208326.000000,3609144985.000000,17273713524.000000,,403510897352.000000,339007662453.000000,517182006.000000,,55768478475.000000,1905478419.000000,5319863075.000000,62993819969.000000,,,269799788900.000000,5696871578.000000,339007662453.000000,742518559805.000000,,220001000000.000000,11034400000.000000,55136957772.000000,7972655298.000000,13018073173.000000,307163086243.000000,1049681646048.000000,2200010000.000000
12M 2018,,,85498752871.000000,322823218126.000000,,322823218126.000000,322823218126.000000,842503365.000000,,,842503365.000000,471803953477.000000,49482756000.000000,161765591491.000000,1092216775330.000000,,380329840.000000,,419223958450.000000,21499014752.000000,441103303042.000000,1533320078372.000000,,,533438496043.000000,389754397855.000000,89378611271.000000,14862108912.000000,6289826920.000000,7566000000.000000,,,21561856255.000000,1337930057.000000,2687764773.000000,25587551085.000000,,533438496043.000000,378069885064.000000,1119371111.000000,,58530816078.000000,2714881577.000000,2592963636.000000,63838661291.000000,,57924000000.000000,248630910308.000000,6556942354.000000,378069885064.000000,911508381107.000000,,322175000000.000000,133497091180.000000,122053791990.000000,10436897005.000000,33648917090.000000,621811697265.000000,1533320078372.000000,3221750000.000000
12M 2019,,,11341869668.000000,452819331252.000000,,452819331252.000000,452819331252.000000,733672444.000000,,,733672444.000000,617066027440.000000,49482756000.000000,239067897365.000000,1370511554169.000000,,125717296.000000,,475101317491.000000,21935341564.000000,497162376351.000000,1867673930520.000000,,,779145720624.000000,541627246566.000000,176289205372.000000,22170366876.000000,3156301376.000000,7566000000.000000,,,21938903768.000000,3763661541.000000,2634035125.000000,28336600434.000000,,779145720624.000000,370499089302.000000,2212221410.000000,,38444545161.000000,6075965174.000000,4721674747.000000,49242185082.000000,,55604000000.000000,254339157886.000000,9101524924.000000,370499089302.000000,1149644809926.000000,,322175000000.000000,133497091180.000000,208427809571.000000,13315273494.000000,40613946349.000000,718029120594.000000,1867673930520.000000,3221750000.000000
12M 2020,,,9132693014.000000,181849120079.000000,,181849120079.000000,181849120079.000000,,,,,318569333500.000000,57159845178.000000,27906556338.000000,594617548109.000000,,40164373339.000000,,292961466602.000000,1594925696.000000,334720765637.000000,929338313746.000000,,,422167708885.000000,273234678436.000000,28468507629.000000,13315956217.000000,6469669645.000000,21866055205.000000,56420000000.000000,,17782989210.000000,3505424451.000000,1104428092.000000,22392841753.000000,,422167708885.000000,42742374207.000000,316736171.000000,,30460866878.000000,2231555446.000000,3286754068.000000,35979176392.000000,,,,6446461644.000000,42742374207.000000,464910083092.000000,,322175000000.000000,123881874018.000000,-48069059387.000000,12392025093.000000,54048390930.000000,464428230654.000000,929338313746.000000,3221750000.000000
12M 2021,,,3482249454.000000,65254298568.000000,,65254298568.000000,65254298568.000000,62112876959.000000,,62112876959.000000,62112876959.000000,222572822344.000000,,23880150203.000000,377302397528.000000,,65554699802.000000,1954132000.000000,273175843981.000000,2653798915.000000,343338474698.000000,720640872226.000000,,,291936129718.000000,80589527698.000000,31731440082.000000,20575521221.000000,14561150803.000000,,105420094612.000000,,15871820144.000000,1974265373.000000,5465102065.000000,23311187582.000000,15747207720.000000,291936129718.000000,199471774509.000000,437376835.000000,,180327174675.000000,725878841.000000,6749905282.000000,187802958798.000000,,,,11231438876.000000,199471774509.000000,491407904227.000000,,322175000000.000000,123216774018.000000,-277533457246.000000,8395513792.000000,52979137435.000000,229232967999.000000,720640872226.000000,3221750000.000000
12M 2022,,,2328043445.000000,10879255489.000000,,10879255489.000000,10879255489.000000,64035703178.000000,1150000000.000000,62885703178.000000,64035703178.000000,33702141305.000000,,22447728073.000000,133392871490.000000,,104094712077.000000,2126632000.000000,238635273300.000000,1982538281.000000,346839155658.000000,480232027148.000000,,,270031395397.000000,83301796260.000000,23908716836.000000,21612660339.000000,14100213062.000000,,125614795384.000000,,,329402793.000000,226654578.000000,556057371.000000,937156145.000000,270031395397.000000,187683546315.000000,,,176514284386.000000,314287126.000000,2402381818.000000,179230953330.000000,,,,8452592985.000000,187683546315.000000,457714941712.000000,,322175000000.000000,123216774018.000000,-482154008814.000000,1091491066.000000,58187829166.000000,22517085436.000000,480232027148.000000,3221750000.000000
