Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok Dan Subkontraktor,Karyawan Dan Pihak Ketiga Lainnya,Direksi,Total Pembayaran Kas Kepada :,Pembayaran Pajak,Penerimaan Pajak Restitusi,Pembayaran Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Pada Entitas Anak,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Piutang Lain-Lain,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Bunga,Penerimaan Dividen,Pembelian Software,Deposito Dijaminkan,Penambahan Bank Yang Dibatasi Penggunaannya,Penerimaan Bank Yang Dibatasi Penggunaannya,Penerimaan Investasi Ventura Bersama,Penerimaan Hasil Investasi,Cadangan Biaya Ckpn,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Penerimaan Pinjaman Dari Induk,Setoran Modal Dari Penawaran Umum Perdana Saham,Agio Saham Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi,Beban Emisi Saham,Saham Treasuri,Pembayaran Dividen,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Non Bank,Pembayaran Utang Non Bank,Penerimaan Penerbitan Obligasi,Penerimaan Pinjaman Pihak Berelasi,Pembayaran Pinjaman Pihak Berelasi,Pembayaran Liabilitas Sewa,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2016,110238006999.000000,325103385026.000000,,-118595399922.000000,-54189857527.000000,,-172785257449.000000,-14850472798.000000,8663349366.000000,-35892997146.000000,,110238006999.000000,-272027143906.000000,,-274737143906.000000,2710000000.000000,,,,,,,,,,,,-272027143906.000000,362809737140.000000,,,,,,,,,488493560000.000000,-85677409174.000000,,-40006413686.000000,,,,,,362809737140.000000,201020600233.000000,9935359670.000000,,,210955959903.000000
12M 2017,351135293720.000000,1333575594687.000000,,-651920688497.000000,-95815252355.000000,,-747735940852.000000,-147336996485.000000,,-87367363630.000000,,351135293720.000000,-1657134291496.000000,-798000000000.000000,-872072498477.000000,7795673215.000000,5142533766.000000,,,,,,,,,,,-1657134291496.000000,2211455178211.000000,600000000000.000000,,235122100000.000000,775902930000.000000,,-26342768461.000000,,,800440816114.000000,-203509037351.000000,98830023511.000000,-68988885602.000000,,,,,,2211455178211.000000,905456180435.000000,210955959903.000000,,16046993657.000000,1132459133995.000000
12M 2018,320856099465.000000,2187547075184.000000,,-1497297927213.000000,-73502774936.000000,,-1570800702149.000000,-167199792196.000000,,-128690481374.000000,,320856099465.000000,-960266955357.000000,,-956696244272.000000,660550415.000000,,,,,-4231261500.000000,,,,,,,-960266955357.000000,137895037324.000000,,105291644425.000000,,,,,,-72461412764.000000,363711722910.000000,-58407351388.000000,,-200239565859.000000,,,,,,137895037324.000000,-501515818568.000000,1132459133995.000000,,,630943315427.000000
12M 2019,143310500082.000000,2476475196928.000000,,-1929075900641.000000,-437910693.000000,,-1929513811334.000000,-177818252602.000000,,-225832632910.000000,,143310500082.000000,-410403713573.000000,,-419784271415.000000,9818337142.000000,,,,,-437779300.000000,,,,,,,-410403713573.000000,185254599922.000000,,,,,,,,-43699380388.000000,,408799897761.000000,,-179845917451.000000,,,,,,185254599922.000000,-81838613569.000000,630943315426.000000,,,549104701857.000000
12M 2020,240500120706.000000,2362175531529.000000,,-1561566432449.000000,-237059476497.000000,,-1798625908946.000000,-79572435044.000000,,-243477066833.000000,,240500120706.000000,-57386491627.000000,,-91836381648.000000,10282915224.000000,,,25733766917.000000,,-1566792120.000000,,,,,,,-57386491627.000000,-460956089266.000000,,,,,,,-18629958023.000000,-25505760581.000000,705533865473.000000,-977074743687.000000,36731348678.000000,-182010841126.000000,,,,,,-460956089266.000000,-277842460187.000000,549104701857.000000,,,271262241670.000000
12M 2021,248967442407.000000,2645041261985.000000,,-1728255214743.000000,-438334720389.000000,,-2166589935132.000000,-110469036569.000000,80995443324.000000,-200010291201.000000,,248967442407.000000,-41076091430.000000,,-52957654696.000000,20302450196.000000,,,12736166194.000000,,-1614444717.000000,-19542608407.000000,,,,,,-41076091430.000000,-87216193900.000000,,,,,,,,-11291075983.000000,1616253408853.000000,-1533829122371.000000,261214653932.000000,-419564058331.000000,,,,,,-87216193900.000000,120675157077.000000,134712722286.000000,,,255387879363.000000
12M 2022,311091832031.000000,3075811553136.000000,,-2178637454457.000000,-440186196748.000000,,-2618823651205.000000,-75503277924.000000,159934146123.000000,-230326938099.000000,,311091832031.000000,-76353897258.000000,,-8702242513.000000,20288721887.000000,-114821843701.000000,,8493773452.000000,,-1303623899.000000,46620017735.000000,-29500000000.000000,,2571299781.000000,,,-76353897258.000000,-184510925600.000000,,,,,,,,-18175519648.000000,2737308229374.000000,-2967492783895.000000,,-138075669431.000000,201924818000.000000,,,,,-184510925600.000000,50227009173.000000,255387879363.000000,,,305614888536.000000
12M 2023,63632884783.000000,2980307005296.000000,,-2186961034639.000000,-415333597280.000000,,-2602294631919.000000,-169976360176.000000,84383834231.000000,-228786962649.000000,,63632884783.000000,209318457334.000000,,-63905251400.000000,39824177184.000000,110188349350.000000,,7011402541.000000,,-1891778870.000000,1715583529.000000,,29500000000.000000,86875975000.000000,,,209318457334.000000,-420553321084.000000,,,,,,,,-54255811971.000000,2982705625293.000000,-3343591477842.000000,,-173667296453.000000,,180459089857.000000,-12203449968.000000,,,-420553321084.000000,-147601978967.000000,305614888536.000000,,,158012909569.000000
12M 2024,766418634724.000000,4539692127429.000000,,-3140096356430.000000,-123071523001.000000,,-3263167879431.000000,-189507060524.000000,,-320598552750.000000,,766418634724.000000,-222698152245.000000,,-293612338353.000000,56682263861.000000,11220483596.000000,,4303285768.000000,,-5150940000.000000,,,,3859092883.000000,,,-222698152245.000000,-433670312438.000000,,,,,,,,-18513142189.000000,2473323376114.000000,-2666887448836.000000,,,,,-147967488927.000000,-73625608600.000000,,-433670312438.000000,110050170041.000000,158012909569.000000,,,268063079610.000000
