Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Karyawan,Beban Umum Dan Administrasi,Beban Penyusutan,Laba Dari Ventura Bersama,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,371235818481.000000,-276013895645.000000,95221922836.000000,-13938909707.000000,,,,,-13938909707.000000,,-13938909707.000000,81283013129.000000,-28348822842.000000,,-26716677576.000000,-1632145266.000000,-28348822842.000000,52934190287.000000,-11571367484.000000,-5662534211.000000,-5908833273.000000,-11571367484.000000,41362822803.000000,-7015935.000000,41355806868.000000,41362822803.000000,41362822803.000000,,41362822803.000000,41355806868.000000,41355806868.000000,,41355806868.000000
12M 2017,1816312696974.000000,-1370417993512.000000,445894703462.000000,-57029632669.000000,,,,,-57029632669.000000,,-57029632669.000000,388865070793.000000,-87525058730.000000,,-87614645245.000000,89586515.000000,-87525058730.000000,301340012063.000000,-56789545667.000000,-12888722269.000000,-43900823398.000000,-56789545667.000000,244550466396.000000,2617082556.000000,247167548952.000000,244550466396.000000,188300612373.000000,56249854023.000000,244550466396.000000,247167548952.000000,190605335908.000000,56562213044.000000,247167548952.000000
12M 2018,3051576001069.000000,-2308259703120.000000,743316297949.000000,-83031349635.000000,,,,,-83031349635.000000,,-83031349635.000000,660284948314.000000,-139133554738.000000,,,-139133554738.000000,-139133554738.000000,521151393576.000000,-88853235591.000000,-14342772836.000000,-74510462755.000000,-88853235591.000000,432298157985.000000,36771933354.000000,469070091339.000000,432298157985.000000,326424741945.000000,105873416040.000000,432298157985.000000,469070091339.000000,345793060786.000000,123277030553.000000,469070091339.000000
12M 2019,3853253102037.000000,-3002889756925.000000,850363345112.000000,-70268794401.000000,,,,,-70268794401.000000,,-70268794401.000000,780094550711.000000,-228681933768.000000,,,-228681933768.000000,-228681933768.000000,551412616943.000000,-112159353835.000000,-14557168172.000000,-97602185663.000000,-112159353835.000000,439253263108.000000,5194682679.000000,444447945787.000000,439253263108.000000,331275440795.000000,107977822313.000000,439253263108.000000,444447945787.000000,333786741618.000000,110661204169.000000,444447945787.000000
12M 2020,2336956841399.000000,-1894602782051.000000,442354059348.000000,2335820840.000000,,,,51442594664.000000,-49106773824.000000,,2335820840.000000,444689880188.000000,-317347167952.000000,,,-317347167952.000000,-317347167952.000000,127342712236.000000,-11460783492.000000,-11460783492.000000,,-11460783492.000000,115881928744.000000,5312066243.000000,121193994987.000000,115881928744.000000,58569358939.000000,57312569805.000000,115881928744.000000,121193994987.000000,62338176022.000000,58855818965.000000,121193994987.000000
12M 2021,2807235049378.000000,-2354939669531.000000,452295379847.000000,12922103509.000000,,,,79709465716.000000,-66787362207.000000,,12922103509.000000,465217483356.000000,-308417129586.000000,764820506.000000,-200010291201.000000,-109171658891.000000,-308417129586.000000,156800353770.000000,-9987168433.000000,-9987168433.000000,,-9987168433.000000,146813185337.000000,10781126516.000000,157594311853.000000,146813185337.000000,76929163044.000000,69884022293.000000,146813185337.000000,157594311853.000000,83929953009.000000,73664358844.000000,157594311853.000000
12M 2022,3635195678682.000000,-3022812855659.000000,612382823023.000000,-55199460429.000000,,,,34058350703.000000,-89257811132.000000,,-55199460429.000000,557183362594.000000,-364242004535.000000,1952476077.000000,-230326938099.000000,-135867542513.000000,-364242004535.000000,192941358059.000000,-11279742435.000000,-11279742435.000000,,-11279742435.000000,181661615624.000000,7557239062.000000,189218854686.000000,181661615624.000000,100751654542.000000,80909961082.000000,181661615624.000000,189218854686.000000,106055828797.000000,83163025889.000000,189218854686.000000
12M 2023,3400865237272.000000,-2807300057531.000000,593565179741.000000,-75519159908.000000,,,,14706201031.000000,-90225360939.000000,,-75519159908.000000,518046019833.000000,-336257952982.000000,1402256029.000000,-230514614678.000000,-107145594333.000000,-336257952982.000000,181788066851.000000,-9006796782.000000,-9006796782.000000,,-9006796782.000000,172781270069.000000,8166448630.000000,180947718699.000000,172781270069.000000,80215559126.000000,92565710943.000000,172781270069.000000,180947718699.000000,85751201217.000000,95196517482.000000,180947718699.000000
12M 2024,3790809211559.000000,-3012589727376.000000,778219484183.000000,-103022327839.000000,,,,,-103022327839.000000,,-103022327839.000000,675197156344.000000,-471564789641.000000,800421546.000000,-331705352502.000000,-140659858685.000000,-471564789641.000000,203632366703.000000,-9534755388.000000,-9534755388.000000,,-9534755388.000000,194097611315.000000,3890741454.000000,197988352769.000000,194097611315.000000,90339548237.000000,103758063078.000000,194097611315.000000,197988352769.000000,95464757389.000000,102523595380.000000,197988352769.000000
