Period,Arus Kas Dari Aktivitas Operasi,"Bunga, Provisi Dan Komisi Kredit Yang Diterima","Bunga, Hadiah, Provisi Dan Komisi Dana Yang Dibayar",Penerimaan Pendapatan Operasional Lainnya,Keuntungan Dari Transaksi Valuta Asing - Bersih,Hasil Penjualan Agunan Yang Diambil Alih,Pembayaran Gaji Dan Tunjangan Karyawan,Pembayaran Beban Operasional Lainnya,Pembayaran Bunga Liabilitas Sewa,Penerimaan Pendapatan Non Operasional,Pembayaran Beban Non Operasional,Pembayaran Beban Pajak,Penerimaan Pegembalian Pajak,Adjustment,Perubahan Dalam Aset Dan Liabilitas Operasi:,Penurunan (Kenaikan) Aset Operasi,Giro Pada Bank Lain,Efek-Efek,Pembelian Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Kredit,Tagihan Akseptasi,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi,Kenaikan (Penurunan) Liabilitas Operasi,Liabilitas Segera,Simpanan,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi,Total Perubahan Dalam Aset Dan Liabilitas Operasi:,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Jatuh Tempo (Penempatan) Efek Yang Dimiliki Hingga Jatuh Tempo,Pembelian Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Penempatan Dana Program Asuransi,Hasil Investasi Dana Program Asuransi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Setoran Modal,Pembayaran Liabilitas Sewa,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,-16502000000.000000,178345000000.000000,-85939000000.000000,11062000000.000000,5372000000.000000,,-57250000000.000000,-25785000000.000000,,1542000000.000000,-1202000000.000000,-899000000.000000,,,,,,41184000000.000000,,-75165000000.000000,,4400000000.000000,-29581000000.000000,,-3744000000.000000,-64028000000.000000,55551000000.000000,,54000000.000000,-12167000000.000000,-41748000000.000000,,-16502000000.000000,13774000000.000000,-5541000000.000000,9000000.000000,,22655000000.000000,,-3904000000.000000,555000000.000000,,13774000000.000000,,,,,,-2728000000.000000,468273000000.000000,465545000000.000000
12M 2014,180286000000.000000,184656000000.000000,-105488000000.000000,14673000000.000000,1781000000.000000,,-55722000000.000000,-26920000000.000000,,1018000000.000000,-2006000000.000000,-3744000000.000000,,,,,,-8120000000.000000,,45894000000.000000,,-7487000000.000000,30287000000.000000,,-1837000000.000000,186093000000.000000,-42338000000.000000,,-167000000.000000,141751000000.000000,172038000000.000000,,180286000000.000000,-130054000000.000000,-4342000000.000000,660000000.000000,,-124363000000.000000,,-2889000000.000000,880000000.000000,,-130054000000.000000,,,,,,50232000000.000000,465545000000.000000,515777000000.000000
12M 2015,-180221000000.000000,203301000000.000000,-113719000000.000000,15049000000.000000,2187000000.000000,,-56989000000.000000,-25676000000.000000,,1281000000.000000,-292000000.000000,-139000000.000000,,,,,,-3624000000.000000,,-35105000000.000000,,3353000000.000000,-35376000000.000000,,197000000.000000,-141264000000.000000,-29117000000.000000,,336000000.000000,-169848000000.000000,-205224000000.000000,,-180221000000.000000,8940000000.000000,-1509000000.000000,861000000.000000,,11032000000.000000,,-2400000000.000000,956000000.000000,,8940000000.000000,,,,,,-171281000000.000000,515777000000.000000,344496000000.000000
12M 2016,-366485000000.000000,274029000000.000000,-124066000000.000000,16253000000.000000,2607000000.000000,,-68149000000.000000,-17059000000.000000,,1565000000.000000,-2724000000.000000,-6058000000.000000,190000000.000000,,,,,-575725000000.000000,,-1196861000000.000000,,-60214000000.000000,-1832800000000.000000,,5107000000.000000,1079524000000.000000,304774000000.000000,,322000000.000000,1389727000000.000000,-443073000000.000000,,-366485000000.000000,7632000000.000000,-13410000000.000000,41000000.000000,,24245000000.000000,,-4200000000.000000,956000000.000000,,7632000000.000000,783600000000.000000,788874000000.000000,,-5274000000.000000,783600000000.000000,424747000000.000000,344496000000.000000,769243000000.000000
12M 2017,91416000000.000000,385031000000.000000,-182319000000.000000,33492000000.000000,3354000000.000000,,-95348000000.000000,-31976000000.000000,,-1039000000.000000,-2077000000.000000,-16779000000.000000,,,,,,233113000000.000000,,-505985000000.000000,,-17243000000.000000,-290115000000.000000,,2388000000.000000,653390000000.000000,-367660000000.000000,,1074000000.000000,289192000000.000000,-923000000.000000,,91416000000.000000,90565000000.000000,-8771000000.000000,2286000000.000000,,100508000000.000000,,-4500000000.000000,1042000000.000000,,90565000000.000000,,,,,,181981000000.000000,769243000000.000000,951224000000.000000
12M 2018,-33851000000.000000,392034000000.000000,-177450000000.000000,39835000000.000000,6690000000.000000,,-98386000000.000000,-39709000000.000000,,3959000000.000000,-3931000000.000000,-19215000000.000000,,,,,,-34569000000.000000,,-13657000000.000000,,-10192000000.000000,-58418000000.000000,,-5954000000.000000,-65022000000.000000,-7974000000.000000,,-310000000.000000,-79260000000.000000,-137678000000.000000,,-33851000000.000000,82090000000.000000,-3129000000.000000,7721000000.000000,-2915000000.000000,86413000000.000000,,-6000000000.000000,,,82090000000.000000,,,,,,48239000000.000000,951224000000.000000,999463000000.000000
12M 2019,328920000000.000000,399955000000.000000,-216306000000.000000,29088000000.000000,6847000000.000000,,-90995000000.000000,-46505000000.000000,,3150000000.000000,-1762000000.000000,-7907000000.000000,,,,,,124779000000.000000,,-180193000000.000000,,10782000000.000000,-44632000000.000000,,-288000000.000000,296622000000.000000,-2378000000.000000,,4031000000.000000,297987000000.000000,253355000000.000000,,328920000000.000000,-697067000000.000000,-1166000000.000000,8000000.000000,-1834000000.000000,,-690571000000.000000,-3504000000.000000,,,-697067000000.000000,,,,,,-368147000000.000000,999465000000.000000,631318000000.000000
12M 2020,991728000000.000000,363396000000.000000,-185465000000.000000,34922000000.000000,13294000000.000000,,-94170000000.000000,-47706000000.000000,,,-8332000000.000000,-3921000000.000000,1141000000.000000,,,,97000000.000000,88978000000.000000,,303060000000.000000,,22191000000.000000,414326000000.000000,,2592000000.000000,508671000000.000000,2236000000.000000,,-9256000000.000000,504243000000.000000,918569000000.000000,,991728000000.000000,-643195000000.000000,-2033000000.000000,122000000.000000,-506000000.000000,,-637274000000.000000,-3504000000.000000,,,-643195000000.000000,-8652000000.000000,,-8652000000.000000,,-8652000000.000000,339881000000.000000,631318000000.000000,971199000000.000000
12M 2021,2282639000000.000000,316366000000.000000,-130136000000.000000,56961000000.000000,5416000000.000000,450000000.000000,-93120000000.000000,-54469000000.000000,-1168000000.000000,,-25497000000.000000,-10882000000.000000,,,,,,-41587000000.000000,,99589000000.000000,-6190000000.000000,-33876000000.000000,17936000000.000000,,-334000000.000000,2196028000000.000000,-168000000.000000,6190000000.000000,-934000000.000000,2200782000000.000000,2218718000000.000000,,2282639000000.000000,-572052000000.000000,-5928000000.000000,796000000.000000,-20000000.000000,,-566900000000.000000,,,,-572052000000.000000,991950000000.000000,1000000000000.000000,-8050000000.000000,,991950000000.000000,2702537000000.000000,971199000000.000000,3673736000000.000000
12M 2022,-1118735000000.000000,448695000000.000000,-127784000000.000000,37408000000.000000,5810000000.000000,,-108703000000.000000,-85365000000.000000,,,-6398000000.000000,-15693000000.000000,,,,,,-162812000000.000000,,-553945000000.000000,-6025000000.000000,19884000000.000000,-702898000000.000000,,105850000000.000000,-694837000000.000000,-57000000.000000,6025000000.000000,19212000000.000000,-563807000000.000000,-1266705000000.000000,,-1118735000000.000000,-71690000000.000000,-3711000000.000000,206000000.000000,-10654000000.000000,-57531000000.000000,,,,,-71690000000.000000,946095000000.000000,954000000000.000000,-7905000000.000000,,946095000000.000000,-244330000000.000000,3673736000000.000000,3429406000000.000000
