Period,Total Pendapatan,Pendapatan Bunga,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Premi Program Penjaminan Simpanan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Jasa Administrasi,Keuntungan Transaksi Mata Uang Asing,Keuntungan Penjualan Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,178621000000.000000,178621000000.000000,178621000000.000000,-86293000000.000000,-83067000000.000000,-3226000000.000000,-86293000000.000000,92328000000.000000,-73762000000.000000,,7252000000.000000,3183000000.000000,5372000000.000000,370000000.000000,677000000.000000,16854000000.000000,,-29228000000.000000,-58491000000.000000,-2897000000.000000,-90616000000.000000,-73762000000.000000,18566000000.000000,330000000.000000,330000000.000000,330000000.000000,18896000000.000000,-4842000000.000000,14054000000.000000,3438000000.000000,3438000000.000000,3438000000.000000,17492000000.000000,14054000000.000000,14054000000.000000,,14054000000.000000,17492000000.000000,17492000000.000000,,17492000000.000000
12M 2014,185697000000.000000,185697000000.000000,185697000000.000000,-107645000000.000000,-104309000000.000000,-3336000000.000000,-107645000000.000000,78052000000.000000,-73589000000.000000,,9972000000.000000,4264000000.000000,1781000000.000000,200000000.000000,371000000.000000,16588000000.000000,,-27357000000.000000,-57178000000.000000,-5642000000.000000,-90177000000.000000,-73589000000.000000,4463000000.000000,-329000000.000000,-329000000.000000,-329000000.000000,4134000000.000000,-1142000000.000000,2992000000.000000,-3222000000.000000,-3222000000.000000,-3222000000.000000,-230000000.000000,2992000000.000000,2992000000.000000,,2992000000.000000,-230000000.000000,-230000000.000000,,-230000000.000000
12M 2015,204345000000.000000,204345000000.000000,204345000000.000000,-112531000000.000000,-108824000000.000000,-3707000000.000000,-112531000000.000000,91814000000.000000,-86268000000.000000,,11216000000.000000,3163000000.000000,2187000000.000000,304000000.000000,366000000.000000,17236000000.000000,,-28103000000.000000,-60571000000.000000,-14830000000.000000,-103504000000.000000,-86268000000.000000,5546000000.000000,1850000000.000000,1850000000.000000,1850000000.000000,7396000000.000000,-1945000000.000000,5451000000.000000,-512000000.000000,-512000000.000000,-512000000.000000,4939000000.000000,5451000000.000000,5451000000.000000,,5451000000.000000,4939000000.000000,4939000000.000000,,4939000000.000000
12M 2016,285827000000.000000,285827000000.000000,285827000000.000000,-129631000000.000000,-124940000000.000000,-4691000000.000000,-129631000000.000000,156196000000.000000,-102406000000.000000,,10802000000.000000,3592000000.000000,2607000000.000000,1388000000.000000,566000000.000000,18955000000.000000,,-32316000000.000000,-68961000000.000000,-20084000000.000000,-121361000000.000000,-102406000000.000000,53790000000.000000,-1170000000.000000,-1170000000.000000,-1170000000.000000,52620000000.000000,-13427000000.000000,39193000000.000000,34601000000.000000,34601000000.000000,34601000000.000000,73794000000.000000,39193000000.000000,39193000000.000000,,39193000000.000000,73794000000.000000,73794000000.000000,,73794000000.000000
12M 2017,388404000000.000000,388404000000.000000,388404000000.000000,-182860000000.000000,-176832000000.000000,-6028000000.000000,-182860000000.000000,205544000000.000000,-136135000000.000000,,12609000000.000000,3498000000.000000,3353000000.000000,14727000000.000000,3762000000.000000,37949000000.000000,,-42632000000.000000,-95517000000.000000,-35935000000.000000,-174084000000.000000,-136135000000.000000,69409000000.000000,-1588000000.000000,-1588000000.000000,-1588000000.000000,67821000000.000000,-16681000000.000000,51140000000.000000,-636000000.000000,-636000000.000000,-636000000.000000,50504000000.000000,51140000000.000000,51140000000.000000,,51140000000.000000,50504000000.000000,50504000000.000000,,50504000000.000000
12M 2018,386149000000.000000,386149000000.000000,386149000000.000000,-177627000000.000000,-171075000000.000000,-6552000000.000000,-177627000000.000000,208522000000.000000,-197564000000.000000,,16159000000.000000,2763000000.000000,6690000000.000000,1478000000.000000,13000000000.000000,40090000000.000000,,-49327000000.000000,-100896000000.000000,-87431000000.000000,-237654000000.000000,-197564000000.000000,10958000000.000000,-3545000000.000000,-3545000000.000000,-3545000000.000000,7413000000.000000,-1813000000.000000,5600000000.000000,2239000000.000000,2239000000.000000,2239000000.000000,7839000000.000000,5600000000.000000,5600000000.000000,,5600000000.000000,7839000000.000000,7839000000.000000,,7839000000.000000
12M 2019,400308000000.000000,400308000000.000000,400308000000.000000,-215095000000.000000,-208315000000.000000,-6780000000.000000,-215095000000.000000,185213000000.000000,-168277000000.000000,,16224000000.000000,3058000000.000000,6847000000.000000,9013000000.000000,2169000000.000000,37311000000.000000,,-49649000000.000000,-92555000000.000000,-63384000000.000000,-205588000000.000000,-168277000000.000000,16936000000.000000,-2410000000.000000,-2410000000.000000,-2410000000.000000,14526000000.000000,-2685000000.000000,11841000000.000000,1960000000.000000,1960000000.000000,1960000000.000000,13801000000.000000,11841000000.000000,11841000000.000000,,11841000000.000000,13801000000.000000,13801000000.000000,,13801000000.000000
12M 2020,354870000000.000000,354870000000.000000,354870000000.000000,-191283000000.000000,-183947000000.000000,-7336000000.000000,-191283000000.000000,163587000000.000000,-155899000000.000000,,12426000000.000000,5886000000.000000,13294000000.000000,14886000000.000000,1178000000.000000,47670000000.000000,,-47608000000.000000,-93424000000.000000,-62537000000.000000,-203569000000.000000,-155899000000.000000,7688000000.000000,-2686000000.000000,-2686000000.000000,-2686000000.000000,5002000000.000000,-1804000000.000000,3198000000.000000,2420000000.000000,2420000000.000000,2420000000.000000,5618000000.000000,3198000000.000000,3198000000.000000,,3198000000.000000,5618000000.000000,5618000000.000000,,5618000000.000000
12M 2021,317228000000.000000,317228000000.000000,317228000000.000000,-145954000000.000000,-135705000000.000000,-10249000000.000000,-145954000000.000000,171274000000.000000,-152646000000.000000,,19231000000.000000,3581000000.000000,5416000000.000000,6845000000.000000,6587000000.000000,41660000000.000000,,-47649000000.000000,-89829000000.000000,-56828000000.000000,-194306000000.000000,-152646000000.000000,18628000000.000000,-3977000000.000000,-3977000000.000000,-3977000000.000000,14651000000.000000,-3785000000.000000,10866000000.000000,-1102000000.000000,-1102000000.000000,-1102000000.000000,9764000000.000000,10866000000.000000,10866000000.000000,,10866000000.000000,9764000000.000000,9764000000.000000,,9764000000.000000
12M 2022,433413000000.000000,433413000000.000000,433413000000.000000,-127822000000.000000,-111692000000.000000,-16130000000.000000,-127822000000.000000,305591000000.000000,-241918000000.000000,,26336000000.000000,2402000000.000000,5810000000.000000,4447000000.000000,4227000000.000000,43222000000.000000,,-56817000000.000000,-104630000000.000000,-123693000000.000000,-285140000000.000000,-241918000000.000000,63673000000.000000,-6249000000.000000,-6249000000.000000,-6249000000.000000,57424000000.000000,-11381000000.000000,46043000000.000000,-10171000000.000000,-10171000000.000000,-10171000000.000000,35872000000.000000,46043000000.000000,46043000000.000000,,46043000000.000000,35872000000.000000,35872000000.000000,,35872000000.000000
12M 2023,592752000000.000000,592752000000.000000,592752000000.000000,-151033000000.000000,-140825000000.000000,-10208000000.000000,-151033000000.000000,441719000000.000000,-310858000000.000000,,24749000000.000000,1630000000.000000,2330000000.000000,7336000000.000000,15843000000.000000,51888000000.000000,,-61041000000.000000,-157027000000.000000,-144678000000.000000,-362746000000.000000,-310858000000.000000,130861000000.000000,-2077000000.000000,-2077000000.000000,-2077000000.000000,128784000000.000000,-24819000000.000000,103965000000.000000,1475000000.000000,1475000000.000000,1475000000.000000,105440000000.000000,103965000000.000000,103965000000.000000,,103965000000.000000,105440000000.000000,105440000000.000000,,105440000000.000000
12M 2024,723201000000.000000,723201000000.000000,723201000000.000000,-258832000000.000000,-248198000000.000000,-10634000000.000000,-258832000000.000000,464369000000.000000,-210309000000.000000,,27862000000.000000,1247000000.000000,-283000000.000000,11945000000.000000,20432000000.000000,61203000000.000000,,-63637000000.000000,-152390000000.000000,-55485000000.000000,-271512000000.000000,-210309000000.000000,254060000000.000000,617000000.000000,617000000.000000,617000000.000000,254677000000.000000,-52963000000.000000,201714000000.000000,-635000000.000000,-635000000.000000,-635000000.000000,201079000000.000000,201714000000.000000,201714000000.000000,,201714000000.000000,201079000000.000000,201079000000.000000,,201079000000.000000
