Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Akseptasi,Utang Pajak,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,45310000000.000000,133581000000.000000,183475000000.000000,,1195847000000.000000,34122000000.000000,1161725000000.000000,1195847000000.000000,-12472000000.000000,1183375000000.000000,16036000000.000000,,2303000000.000000,420184000000.000000,1984264000000.000000,,,7608000000.000000,1667774000000.000000,246249000000.000000,1421525000000.000000,1667774000000.000000,89556000000.000000,,89556000000.000000,89556000000.000000,,2089000000.000000,28976000000.000000,1796003000000.000000,,351609000000.000000,,-158538000000.000000,100000000.000000,-158638000000.000000,-158538000000.000000,-4810000000.000000,188261000000.000000,1984264000000.000000,703218000.000000
12M 2013,,44195000000.000000,203116000000.000000,120331000000.000000,,1270553000000.000000,13862000000.000000,1256691000000.000000,1270553000000.000000,-11581000000.000000,1258972000000.000000,18612000000.000000,,114000000.000000,346536000000.000000,1991876000000.000000,,,3864000000.000000,1603746000000.000000,269244000000.000000,1334502000000.000000,1603746000000.000000,145108000000.000000,2000000.000000,145106000000.000000,145108000000.000000,2281000000.000000,5156000000.000000,25968000000.000000,1786123000000.000000,,351609000000.000000,,-144484000000.000000,100000000.000000,-144584000000.000000,-144484000000.000000,-1372000000.000000,205753000000.000000,1991876000000.000000,703218000.000000
12M 2014,,42046000000.000000,186919000000.000000,91987000000.000000,,1216944000000.000000,9817000000.000000,1207127000000.000000,1216944000000.000000,-6442000000.000000,1210502000000.000000,19922000000.000000,,130000000.000000,584381000000.000000,2135887000000.000000,,,2028000000.000000,1789839000000.000000,345330000000.000000,1444509000000.000000,1789839000000.000000,102769000000.000000,1000000.000000,102768000000.000000,102769000000.000000,,2093000000.000000,33635000000.000000,1930364000000.000000,,351609000000.000000,,-141492000000.000000,100000000.000000,-141592000000.000000,-141492000000.000000,-4594000000.000000,205523000000.000000,2135887000000.000000,703218000.000000
12M 2015,,36493000000.000000,168993000000.000000,68925000000.000000,,1251812000000.000000,5937000000.000000,1245875000000.000000,1251812000000.000000,-18806000000.000000,1233006000000.000000,18105000000.000000,,906000000.000000,447988000000.000000,1974416000000.000000,,,2225000000.000000,1648575000000.000000,132044000000.000000,1516531000000.000000,1648575000000.000000,73652000000.000000,2000000.000000,73650000000.000000,73652000000.000000,,4412000000.000000,35090000000.000000,1763954000000.000000,,351609000000.000000,,-136041000000.000000,100000000.000000,-136141000000.000000,-136041000000.000000,-5106000000.000000,210462000000.000000,1974416000000.000000,3516090000.000000
12M 2016,,85627000000.000000,195739000000.000000,259931000000.000000,,2426013000000.000000,2218000000.000000,2423795000000.000000,2426013000000.000000,-14401000000.000000,2411612000000.000000,59120000000.000000,,217000000.000000,1223679000000.000000,4235925000000.000000,,,7332000000.000000,2728099000000.000000,242357000000.000000,2485742000000.000000,2728099000000.000000,378426000000.000000,,378426000000.000000,378426000000.000000,,14410000000.000000,39802000000.000000,3168069000000.000000,,1117506000000.000000,17703000000.000000,-96848000000.000000,100000000.000000,-96948000000.000000,-96848000000.000000,29495000000.000000,1067856000000.000000,4235925000000.000000,11175060000.000000
12M 2017,,92402000000.000000,242268000000.000000,431343000000.000000,,2902932000000.000000,9385000000.000000,2893547000000.000000,2902932000000.000000,-18377000000.000000,2884555000000.000000,61960000000.000000,,6537000000.000000,862867000000.000000,4581932000000.000000,,,9720000000.000000,3381489000000.000000,30711000000.000000,3350778000000.000000,3381489000000.000000,10767000000.000000,,10767000000.000000,10767000000.000000,,21117000000.000000,40479000000.000000,3463572000000.000000,,1117506000000.000000,17703000000.000000,-45708000000.000000,100000000.000000,-45808000000.000000,-45708000000.000000,28859000000.000000,1118360000000.000000,4581932000000.000000,11175060000.000000
12M 2018,,48752000000.000000,398170000000.000000,481872000000.000000,,2913152000000.000000,48758000000.000000,2864394000000.000000,2913152000000.000000,-100535000000.000000,2812617000000.000000,58743000000.000000,2659000000.000000,5367000000.000000,688942000000.000000,4497122000000.000000,,,3765000000.000000,3316467000000.000000,97184000000.000000,3219283000000.000000,3316467000000.000000,2792000000.000000,,2792000000.000000,2792000000.000000,,3194000000.000000,44705000000.000000,3370923000000.000000,,1117506000000.000000,17703000000.000000,-37761000000.000000,100000000.000000,-37861000000.000000,-37761000000.000000,28751000000.000000,1126199000000.000000,4497122000000.000000,11175060000.000000
12M 2019,,41547000000.000000,245401000000.000000,276965000000.000000,,2990042000000.000000,52169000000.000000,2937873000000.000000,2990042000000.000000,-58413000000.000000,2931629000000.000000,54307000000.000000,3631000000.000000,10878000000.000000,1245385000000.000000,4809743000000.000000,,,3478000000.000000,3613089000000.000000,78460000000.000000,3534629000000.000000,3613089000000.000000,414000000.000000,,414000000.000000,414000000.000000,,4766000000.000000,47996000000.000000,3669743000000.000000,,1117506000000.000000,17703000000.000000,-25920000000.000000,100000000.000000,-26020000000.000000,-25920000000.000000,30711000000.000000,1140000000000.000000,4809743000000.000000,11175060000.000000
12M 2020,,64559000000.000000,174403000000.000000,321888000000.000000,,2567241000000.000000,40605000000.000000,2526636000000.000000,2567241000000.000000,,2567241000000.000000,52420000000.000000,3162000000.000000,21935000000.000000,2159848000000.000000,5365456000000.000000,,,6070000000.000000,4121760000000.000000,130086000000.000000,3991674000000.000000,4121760000000.000000,2650000000.000000,,2650000000.000000,2650000000.000000,,11741000000.000000,84110000000.000000,4226331000000.000000,,1117506000000.000000,17703000000.000000,-29215000000.000000,100000000.000000,-29315000000.000000,-29215000000.000000,33131000000.000000,1139125000000.000000,5365456000000.000000,11175060000.000000
12M 2021,,49497000000.000000,222783000000.000000,1204764000000.000000,,2415800000000.000000,35609000000.000000,2380191000000.000000,2415800000000.000000,,2415800000000.000000,53434000000.000000,2127000000.000000,42805000000.000000,4584740000000.000000,8575950000000.000000,,,5736000000.000000,6317788000000.000000,236828000000.000000,6080960000000.000000,6317788000000.000000,2482000000.000000,,2482000000.000000,2482000000.000000,6190000000.000000,24405000000.000000,70460000000.000000,6427061000000.000000,,1117506000000.000000,1017703000000.000000,-18349000000.000000,100000000.000000,-18449000000.000000,-18349000000.000000,32029000000.000000,2148889000000.000000,8575950000000.000000,11175060000.000000
12M 2022,,61990000000.000000,720307000000.000000,1174733000000.000000,,2850562000000.000000,43083000000.000000,2807479000000.000000,2850562000000.000000,,2850562000000.000000,60389000000.000000,11674000000.000000,57102000000.000000,4031375000000.000000,8968132000000.000000,,,111586000000.000000,5622951000000.000000,104834000000.000000,5518117000000.000000,5622951000000.000000,2425000000.000000,,2425000000.000000,2425000000.000000,12215000000.000000,16226000000.000000,63967000000.000000,5829370000000.000000,,1647100000000.000000,1442110000000.000000,15806000000.000000,,15806000000.000000,15806000000.000000,33746000000.000000,3138762000000.000000,8968132000000.000000,16470997103.000000
12M 2023,,43763000000.000000,450009000000.000000,1084937000000.000000,,4137955000000.000000,34364000000.000000,4103591000000.000000,4137955000000.000000,,4137955000000.000000,61547000000.000000,11447000000.000000,105146000000.000000,3507505000000.000000,9402309000000.000000,,,11873000000.000000,5992039000000.000000,69371000000.000000,5922668000000.000000,5992039000000.000000,2238000000.000000,,2238000000.000000,2238000000.000000,,53600000000.000000,98357000000.000000,6158107000000.000000,,2397100000000.000000,692110000000.000000,121246000000.000000,,121246000000.000000,121246000000.000000,33746000000.000000,3244202000000.000000,9402309000000.000000,23970997103.000000
12M 2024,,45628000000.000000,372189000000.000000,1636563000000.000000,,4780131000000.000000,31700000000.000000,4748431000000.000000,4780131000000.000000,,4780131000000.000000,63141000000.000000,10703000000.000000,104037000000.000000,3345858000000.000000,10358250000000.000000,,,140958000000.000000,6653778000000.000000,141572000000.000000,6512206000000.000000,6653778000000.000000,2143000000.000000,,2143000000.000000,2143000000.000000,11619000000.000000,10315000000.000000,94156000000.000000,6912969000000.000000,,2397100000000.000000,692110000000.000000,344952000000.000000,,344952000000.000000,344952000000.000000,11119000000.000000,3445281000000.000000,10358250000000.000000,23970997103.000000
