Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tetap,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Berelasi,Pihak Ketiga,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Berelasi,Pihak Ketiga,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Derivatif,Utang Pajak,Liabilitas Akseptasi,Pihak Ketiga,Total Liabilitas Akseptasi,Liabilitas Pajak Tangguhan,Pinjaman Yang Diterima,Pihak Ketiga,Total Pinjaman Yang Diterima,Obligasi Subordinasi,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,803271000000.000000,1621239000000.000000,,,2445048000000.000000,,2445048000000.000000,,185335000000.000000,18563716000000.000000,,18749051000000.000000,19106000000.000000,1063626000000.000000,,1063626000000.000000,,10159531000000.000000,34860872000000.000000,,,217166000000.000000,29381005000000.000000,,190891000000.000000,18575474000000.000000,18766365000000.000000,10614640000000.000000,29381005000000.000000,299211000000.000000,9348000000.000000,289863000000.000000,299211000000.000000,55426000000.000000,,55426000000.000000,55426000000.000000,60166000000.000000,398981000000.000000,398981000000.000000,398981000000.000000,,121122000000.000000,121122000000.000000,121122000000.000000,992847000000.000000,261545000000.000000,6557000000.000000,254988000000.000000,261545000000.000000,,203038000000.000000,31990507000000.000000,,812722000000.000000,777985000000.000000,1252436000000.000000,476000000.000000,1251960000000.000000,1252436000000.000000,27222000000.000000,2870365000000.000000,,34860872000000.000000,1625443188.000000
12M 2009,,837233000000.000000,2121426000000.000000,,,1572120000000.000000,,1572120000000.000000,,213171000000.000000,18138891000000.000000,,18352062000000.000000,43647000000.000000,1321268000000.000000,,1321268000000.000000,,15436866000000.000000,39684622000000.000000,,,352640000000.000000,32803732000000.000000,,904783000000.000000,14911043000000.000000,15815826000000.000000,16987906000000.000000,32803732000000.000000,1551460000000.000000,11832000000.000000,1539628000000.000000,1551460000000.000000,70844000000.000000,,70844000000.000000,70844000000.000000,31931000000.000000,188619000000.000000,188619000000.000000,188619000000.000000,,,,,994620000000.000000,117798000000.000000,8189000000.000000,109609000000.000000,117798000000.000000,,169736000000.000000,36281380000000.000000,,1590612000000.000000,95000000.000000,1789896000000.000000,657000000.000000,1789239000000.000000,1789896000000.000000,22639000000.000000,3403242000000.000000,,39684622000000.000000,3181224188.000000
12M 2010,,926495000000.000000,3663069000000.000000,,,10393818000000.000000,,10393818000000.000000,,242822000000.000000,23370386000000.000000,,23613208000000.000000,,1554501000000.000000,,1554501000000.000000,,11445869000000.000000,51596960000000.000000,,,231489000000.000000,42083813000000.000000,,825491000000.000000,19237958000000.000000,20063449000000.000000,22020364000000.000000,42083813000000.000000,2843375000000.000000,13037000000.000000,2830338000000.000000,2843375000000.000000,5351000000.000000,,5351000000.000000,5351000000.000000,51985000000.000000,282885000000.000000,282885000000.000000,282885000000.000000,5705000000.000000,243270000000.000000,243270000000.000000,243270000000.000000,996392000000.000000,334768000000.000000,14099000000.000000,320669000000.000000,334768000000.000000,,151708000000.000000,47230741000000.000000,,1590612000000.000000,95000000.000000,2696638000000.000000,717000000.000000,2695921000000.000000,2696638000000.000000,78874000000.000000,4366219000000.000000,,51596960000000.000000,3181224188.000000
12M 2011,,1159680000000.000000,4176631000000.000000,,,10285428000000.000000,,10285428000000.000000,,250274000000.000000,31156417000000.000000,,31406691000000.000000,18628000000.000000,1846483000000.000000,,1846483000000.000000,,13015486000000.000000,61909027000000.000000,,,194395000000.000000,49138687000000.000000,,1238239000000.000000,24910248000000.000000,26148487000000.000000,22990200000000.000000,49138687000000.000000,5386686000000.000000,7484000000.000000,5379202000000.000000,5386686000000.000000,10974000000.000000,,10974000000.000000,10974000000.000000,59081000000.000000,352715000000.000000,352715000000.000000,352715000000.000000,,344565000000.000000,344565000000.000000,344565000000.000000,998164000000.000000,349269000000.000000,11175000000.000000,338094000000.000000,349269000000.000000,,198103000000.000000,57032639000000.000000,,1822978000000.000000,1374627000000.000000,1665749000000.000000,,,1665749000000.000000,13034000000.000000,4876388000000.000000,,61909027000000.000000,3645956050.000000
12M 2012,,1355207000000.000000,4666818000000.000000,,,8493576000000.000000,,8493576000000.000000,,358911000000.000000,26627284000000.000000,-335897000000.000000,26650298000000.000000,58527000000.000000,1887302000000.000000,,1887302000000.000000,,22107380000000.000000,65219108000000.000000,,,366984000000.000000,50265395000000.000000,,2154992000000.000000,27232768000000.000000,29387760000000.000000,20877635000000.000000,50265395000000.000000,5525023000000.000000,56498000000.000000,5468525000000.000000,5525023000000.000000,1424000000.000000,,1424000000.000000,1424000000.000000,18255000000.000000,321252000000.000000,321252000000.000000,321252000000.000000,,192750000000.000000,192750000000.000000,192750000000.000000,999942000000.000000,334049000000.000000,17971000000.000000,316078000000.000000,334049000000.000000,,931213000000.000000,58956287000000.000000,,1822978000000.000000,1374627000000.000000,3043108000000.000000,,,3043108000000.000000,22108000000.000000,6262821000000.000000,,65219108000000.000000,3645956050.000000
12M 2013,,1430545000000.000000,4848144000000.000000,,170000000000.000000,11070890000000.000000,,11240890000000.000000,,303794000000.000000,29869070000000.000000,-393562000000.000000,29779302000000.000000,27827000000.000000,1891934000000.000000,,1891934000000.000000,,17257056000000.000000,66475698000000.000000,,,526042000000.000000,52372043000000.000000,,3030202000000.000000,30227181000000.000000,33257383000000.000000,19114660000000.000000,52372043000000.000000,3449125000000.000000,35225000000.000000,3413900000000.000000,3449125000000.000000,646000000.000000,,646000000.000000,646000000.000000,4504000000.000000,235362000000.000000,235362000000.000000,235362000000.000000,,121700000000.000000,121700000000.000000,121700000000.000000,,397704000000.000000,23428000000.000000,374276000000.000000,397704000000.000000,,3250067000000.000000,60357193000000.000000,,3481888000000.000000,2048761000000.000000,542000000000.000000,,,542000000000.000000,45856000000.000000,6118505000000.000000,,66475698000000.000000,6963775206.000000
12M 2014,,1274528000000.000000,4532318000000.000000,,120000000000.000000,8973752000000.000000,,9093752000000.000000,,325712000000.000000,33354078000000.000000,-472178000000.000000,33207612000000.000000,,1830322000000.000000,,1830322000000.000000,,16709359000000.000000,66647891000000.000000,,,654079000000.000000,51021875000000.000000,,3757466000000.000000,31077556000000.000000,34835022000000.000000,16186853000000.000000,51021875000000.000000,2790575000000.000000,28292000000.000000,2762283000000.000000,2790575000000.000000,2149000000.000000,,2149000000.000000,2149000000.000000,5337000000.000000,554725000000.000000,554725000000.000000,554725000000.000000,47655000000.000000,92888000000.000000,92888000000.000000,92888000000.000000,,415576000000.000000,31815000000.000000,383761000000.000000,415576000000.000000,,4106357000000.000000,59691216000000.000000,,3481888000000.000000,2048761000000.000000,1141188000000.000000,,,1141188000000.000000,284838000000.000000,6956675000000.000000,,66647891000000.000000,6963775206.000000
12M 2015,,1093626000000.000000,4546084000000.000000,,570000000000.000000,8102779000000.000000,,8672779000000.000000,,294109000000.000000,32164192000000.000000,-709829000000.000000,31748472000000.000000,26306000000.000000,,5768873000000.000000,5768873000000.000000,,16369030000000.000000,68225170000000.000000,,,558656000000.000000,49739672000000.000000,,1827404000000.000000,32807142000000.000000,34634546000000.000000,15105126000000.000000,49739672000000.000000,1704728000000.000000,6974000000.000000,1697754000000.000000,1704728000000.000000,23734000000.000000,,23734000000.000000,23734000000.000000,62734000000.000000,489215000000.000000,489215000000.000000,489215000000.000000,,1208945000000.000000,1208945000000.000000,1208945000000.000000,,284737000000.000000,3401000000.000000,281336000000.000000,284737000000.000000,,2635554000000.000000,56707975000000.000000,,3481888000000.000000,2048761000000.000000,2017621000000.000000,,,2017621000000.000000,3968925000000.000000,11517195000000.000000,,68225170000000.000000,6963775206.000000
12M 2016,,1001235000000.000000,4337316000000.000000,,500000000000.000000,5482913000000.000000,,5982913000000.000000,,352641000000.000000,27947489000000.000000,-522669000000.000000,27777461000000.000000,34171000000.000000,,5651070000000.000000,5651070000000.000000,,25747516000000.000000,70531682000000.000000,,,549204000000.000000,51073227000000.000000,,1443016000000.000000,33373455000000.000000,34816471000000.000000,16256756000000.000000,51073227000000.000000,915769000000.000000,3925000000.000000,911844000000.000000,915769000000.000000,19374000000.000000,,19374000000.000000,19374000000.000000,93956000000.000000,594064000000.000000,594064000000.000000,594064000000.000000,,538900000000.000000,538900000000.000000,538900000000.000000,,201655000000.000000,3347000000.000000,198308000000.000000,201655000000.000000,,4279852000000.000000,58266001000000.000000,,3481888000000.000000,2048761000000.000000,2845341000000.000000,,,2845341000000.000000,3889691000000.000000,12265681000000.000000,,70531682000000.000000,6963775206.000000
12M 2017,,1037227000000.000000,4797271000000.000000,,67000000000.000000,7102691000000.000000,,7169691000000.000000,,367357000000.000000,34870457000000.000000,-489308000000.000000,34748506000000.000000,6101000000.000000,,5495990000000.000000,5495990000000.000000,,29042224000000.000000,82297010000000.000000,,,666973000000.000000,61282871000000.000000,,638808000000.000000,41783881000000.000000,42422689000000.000000,18860182000000.000000,61282871000000.000000,2002893000000.000000,3557000000.000000,1999336000000.000000,2002893000000.000000,8397000000.000000,,8397000000.000000,8397000000.000000,25153000000.000000,607277000000.000000,607277000000.000000,607277000000.000000,,135675000000.000000,135675000000.000000,135675000000.000000,,210516000000.000000,3968000000.000000,206548000000.000000,210516000000.000000,,4292639000000.000000,69232394000000.000000,,3481888000000.000000,2048761000000.000000,3762476000000.000000,,,3762476000000.000000,3771491000000.000000,13064616000000.000000,,82297010000000.000000,6963775206.000000
