Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Pendapatan Bunga,Pendapatan Provisi Dan Komisi,"Total Penerimaan Bunga, Provisi Dan Komisi",Pendapatan Operasional Lainnya,Pendapatan (Beban) Non Operasional - Neto,Penerimaan Dari Penjualan Agunan Yang Diambil Alih,Penerimaan Atas Kredit Yang Telah Dihapusbukukan,"Pembayaran (Penerimaan) Atas Pembelian Efek-Efek Yang Diperdagangkan, Bersih",Pembayaran Bunga Dan Pembiayaan Lainnya,Beban Operasional Lainnya,Pembayaran Pajak Penghasilan,Beban Bukan Operasional - Bersih,Penerimaaan (Pembayaran) Atas Jual Beli Aset Yang Diperdagangkan - Neto,Efek - Efek,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Kenaikan (Penurunan) Dalam Aset Dan Liabilitas Operasi,Penempatan Pada Bank Indonesia Dan Bank Lain,Kredit Yang Diberikan,Aset Lain-Lain,Liabilitas Segera,Simpanan Dari Nasabah,Giro,Tabungan,Deposito Berjangka,Total Simpanan Dari Nasabah,Simpanan Dari Bank Lain,Beban Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain,Utang Pajak,Total Kenaikan (Penurunan) Dalam Aset Dan Liabilitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Efek-Efek,Penerimaan Dari Efek-Efek Yang Telah Jatuh Tempo,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Pembelian Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Pembelian Efek-Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan (Pembayaran) Obligasi Subordinasi,Pembayaran Dividen Tunai,Pembayaran Liabilitas Sewa,Pembentukan Dana Cadangan,Penerimaan Pinjaman Yang Diterima,Pembayaran Pinjaman Yang Diterima,Penerimaan Hasil Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-5719729000000.000000,,3670714000000.000000,,3670714000000.000000,295482000000.000000,8520000000.000000,7234000000.000000,6772000000.000000,-78634000000.000000,-2173020000000.000000,-963167000000.000000,-219369000000.000000,,,,,,,-1184606000000.000000,-4159008000000.000000,-231671000000.000000,128675000000.000000,,-1423181000000.000000,-1083999000000.000000,1857189000000.000000,-649991000000.000000,-275636000000.000000,81104000000.000000,16872000000.000000,-6274261000000.000000,-5719729000000.000000,4287383000000.000000,4396992000000.000000,978950000000.000000,3240000000.000000,-407675000000.000000,,-684124000000.000000,4287383000000.000000,542280000000.000000,992847000000.000000,-104144000000.000000,,-75000000.000000,-30000000000.000000,-316348000000.000000,,542280000000.000000,-890066000000.000000,3800429000000.000000,2910363000000.000000
12M 2009,-4923722000000.000000,,3828461000000.000000,,3828461000000.000000,584714000000.000000,18366000000.000000,6611000000.000000,9187000000.000000,-11310512000000.000000,-2240726000000.000000,-1386758000000.000000,-124962000000.000000,,,,,,,874246000000.000000,360792000000.000000,-163141000000.000000,135474000000.000000,,2173024000000.000000,4200241000000.000000,-2950538000000.000000,3422727000000.000000,1252249000000.000000,-162215000000.000000,-28235000000.000000,5691897000000.000000,-4923722000000.000000,5490891000000.000000,8355821000000.000000,363154000000.000000,2181000000.000000,-375032000000.000000,,-2855233000000.000000,5490891000000.000000,-121122000000.000000,,,,,,-121122000000.000000,,-121122000000.000000,446047000000.000000,2910363000000.000000,3356410000000.000000
12M 2010,1724159000000.000000,,4066658000000.000000,,4066658000000.000000,401520000000.000000,-31148000000.000000,347672000000.000000,,904260000000.000000,-1881683000000.000000,-1412796000000.000000,-44604000000.000000,,,,,,,-5660801000000.000000,-5555829000000.000000,67146000000.000000,-121151000000.000000,,3123566000000.000000,1908892000000.000000,4247623000000.000000,9280081000000.000000,1291915000000.000000,63878000000.000000,9041000000.000000,-625720000000.000000,1724159000000.000000,-997696000000.000000,1225998000000.000000,,561000000.000000,-376145000000.000000,,-1848110000000.000000,-997696000000.000000,243270000000.000000,,,,,243270000000.000000,,,243270000000.000000,969733000000.000000,8767251000000.000000,9736984000000.000000
12M 2011,6620250000000.000000,,5125839000000.000000,656867000000.000000,5782706000000.000000,,2630000000.000000,57957000000.000000,,,-2471763000000.000000,-2067455000000.000000,-79834000000.000000,,-1476918000000.000000,,,,,5810321000000.000000,-8083185000000.000000,-345422000000.000000,-37094000000.000000,,-1574483000000.000000,2544319000000.000000,6085038000000.000000,7054874000000.000000,2543311000000.000000,-69878000000.000000,,6872927000000.000000,6620250000000.000000,314335000000.000000,1030074000000.000000,,6228000000.000000,-463427000000.000000,,-258540000000.000000,314335000000.000000,-398793000000.000000,,-500088000000.000000,,,344565000000.000000,-243270000000.000000,,-398793000000.000000,6535792000000.000000,9736984000000.000000,16272776000000.000000
12M 2012,-753835000000.000000,,5570636000000.000000,909621000000.000000,6480257000000.000000,,17608000000.000000,19031000000.000000,,,-2234721000000.000000,-2278205000000.000000,-270836000000.000000,,-6881413000000.000000,,-2019332000000.000000,640146000000.000000,,-98826000000.000000,4546368000000.000000,-116162000000.000000,172589000000.000000,,-1661932000000.000000,-450633000000.000000,3239273000000.000000,1126708000000.000000,138337000000.000000,4616000000.000000,,5773630000000.000000,-753835000000.000000,-24819000000.000000,1537202000000.000000,,3614000000.000000,-225050000000.000000,,-1340585000000.000000,-24819000000.000000,-151815000000.000000,,,,,192750000000.000000,-344565000000.000000,,-151815000000.000000,-930469000000.000000,16272776000000.000000,15342307000000.000000
12M 2013,10823912000000.000000,,4779525000000.000000,1211436000000.000000,5990961000000.000000,,19654000000.000000,12985000000.000000,,,-2202414000000.000000,-2656327000000.000000,-96730000000.000000,,8380239000000.000000,,2019332000000.000000,2300328000000.000000,,98826000000.000000,-3211145000000.000000,44025000000.000000,159058000000.000000,,-162011000000.000000,-1556849000000.000000,3869623000000.000000,2150763000000.000000,-2075898000000.000000,-109745000000.000000,,-2944116000000.000000,10823912000000.000000,-5572006000000.000000,956199000000.000000,,1345000000.000000,-190510000000.000000,,-6339040000000.000000,-5572006000000.000000,-1763782000000.000000,-1000000000000.000000,-692732000000.000000,,,121700000000.000000,-192750000000.000000,,-1763782000000.000000,3488124000000.000000,15342307000000.000000,18830431000000.000000
12M 2014,-2343791000000.000000,,5890539000000.000000,1351049000000.000000,7241588000000.000000,18659000000.000000,44299000000.000000,4370000000.000000,,1769866000000.000000,-3217594000000.000000,-2638941000000.000000,-82160000000.000000,,,,-432714000000.000000,878158000000.000000,,-24770000000.000000,-4087298000000.000000,81907000000.000000,128037000000.000000,,-1782267000000.000000,-1155047000000.000000,1577639000000.000000,-1359675000000.000000,-658550000000.000000,-8973000000.000000,,-5929322000000.000000,-2343791000000.000000,1333488000000.000000,3762730000000.000000,,8702000000.000000,-123807000000.000000,,-2314137000000.000000,1333488000000.000000,-28812000000.000000,,,,,92888000000.000000,-121700000000.000000,,-28812000000.000000,-1039115000000.000000,18830431000000.000000,17791316000000.000000
12M 2015,-4802414000000.000000,,6541776000000.000000,1506414000000.000000,8048190000000.000000,21514000000.000000,61832000000.000000,1064000000.000000,,42811000000.000000,-3187039000000.000000,-2954100000000.000000,-123792000000.000000,,,,-3348421000000.000000,-1438285000000.000000,,-20230000000.000000,411363000000.000000,176011000000.000000,-95423000000.000000,,-423133000000.000000,-660555000000.000000,-200476000000.000000,-1284164000000.000000,-1085847000000.000000,-27898000000.000000,,-1926188000000.000000,-4802414000000.000000,542056000000.000000,3679258000000.000000,,1036000000.000000,-63007000000.000000,,-3075231000000.000000,542056000000.000000,1016057000000.000000,,-100000000000.000000,,,1208945000000.000000,-92888000000.000000,,1016057000000.000000,-3244301000000.000000,17791316000000.000000,14547015000000.000000
12M 2016,2802265000000.000000,,6159198000000.000000,1423828000000.000000,7583026000000.000000,14091000000.000000,70876000000.000000,5187000000.000000,,-3332310000000.000000,-2691178000000.000000,-2866307000000.000000,-393274000000.000000,,,,-483954000000.000000,1636906000000.000000,,-255000000000.000000,3113218000000.000000,-85923000000.000000,-9452000000.000000,,457092000000.000000,693818000000.000000,181925000000.000000,1332835000000.000000,-788959000000.000000,-47517000000.000000,,3259202000000.000000,2802265000000.000000,-1494745000000.000000,1074287000000.000000,,5287000000.000000,-87554000000.000000,,-2486765000000.000000,-1494745000000.000000,-1196395000000.000000,,-526350000000.000000,,,538900000000.000000,-1208945000000.000000,,-1196395000000.000000,111125000000.000000,14547015000000.000000,14658140000000.000000
12M 2017,5356123000000.000000,,6423840000000.000000,1663444000000.000000,8087284000000.000000,13240000000.000000,50903000000.000000,13139000000.000000,,145855000000.000000,-2856507000000.000000,-3035268000000.000000,-409310000000.000000,,,,741796000000.000000,8316000000.000000,,-100000000000.000000,-8473624000000.000000,-243315000000.000000,117770000000.000000,,2364175000000.000000,244811000000.000000,7606218000000.000000,10215204000000.000000,1087124000000.000000,-6484000000.000000,,2596675000000.000000,5356123000000.000000,-1700054000000.000000,14450360000000.000000,-3210108000000.000000,7522000000.000000,-63495000000.000000,,-12884333000000.000000,-1700054000000.000000,-982175000000.000000,,-578950000000.000000,,,135675000000.000000,-538900000000.000000,,-982175000000.000000,2673894000000.000000,14658140000000.000000,17332034000000.000000
12M 2018,-3199929000000.000000,,6633858000000.000000,1907481000000.000000,8541339000000.000000,11216000000.000000,73922000000.000000,22312000000.000000,402654000000.000000,114764000000.000000,-3224035000000.000000,-2985911000000.000000,-338323000000.000000,,,,1520306000000.000000,563800000000.000000,,-200000000000.000000,-8110867000000.000000,317984000000.000000,-208758000000.000000,,-1214681000000.000000,872716000000.000000,-205174000000.000000,-547139000000.000000,798884000000.000000,47923000000.000000,,-7901973000000.000000,-3199929000000.000000,-5496493000000.000000,7229427000000.000000,98600000000.000000,7329000000.000000,-137412000000.000000,-1363000000000.000000,-11331437000000.000000,-5496493000000.000000,-793800000000.000000,,-650000000000.000000,,,,-143800000000.000000,,-793800000000.000000,-9490222000000.000000,17332034000000.000000,7841812000000.000000
12M 2019,3649734000000.000000,,7471736000000.000000,1912787000000.000000,9384523000000.000000,7624000000.000000,-55215000000.000000,21218000000.000000,390057000000.000000,-652415000000.000000,-3814379000000.000000,-3000290000000.000000,-433624000000.000000,,,,-1958554000000.000000,-654874000000.000000,,600000000000.000000,-11388877000000.000000,-600338000000.000000,-175603000000.000000,,-1209795000000.000000,698560000000.000000,12559939000000.000000,12048704000000.000000,3359321000000.000000,572456000000.000000,,4415663000000.000000,3649734000000.000000,3147712000000.000000,12142111000000.000000,1080007000000.000000,13927000000.000000,-93940000000.000000,,-9994393000000.000000,3147712000000.000000,-799650000000.000000,,-799650000000.000000,,,,,,-799650000000.000000,5997796000000.000000,7841812000000.000000,13839608000000.000000
12M 2020,-545449000000.000000,,7971482000000.000000,1607838000000.000000,9579320000000.000000,5697000000.000000,-17941000000.000000,58914000000.000000,298298000000.000000,,-4123268000000.000000,-2810080000000.000000,-715110000000.000000,,,684558000000.000000,-14859002000000.000000,6728728000000.000000,,,3073692000000.000000,-120092000000.000000,21484000000.000000,,3005084000000.000000,1237546000000.000000,2145602000000.000000,6388232000000.000000,-4208895000000.000000,-529984000000.000000,,4624437000000.000000,-545449000000.000000,-4932652000000.000000,24011617000000.000000,,5690000000.000000,-91204000000.000000,,-28858755000000.000000,-4932652000000.000000,-670350000000.000000,50000000000.000000,-1001350000000.000000,,,281000000000.000000,,,-670350000000.000000,-6148451000000.000000,13839608000000.000000,7691157000000.000000
