Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Jasa Administrasi,Keuntungan Transaksi Mata Uang Asing,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Kenaikan Nilai Wajar Aset Keuangan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Provisi Dan Komisi,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Others,Total Pendapatan Non-Operasional,Beban Non-Operasional,Others,Total Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3699937000000.000000,3567292000000.000000,132645000000.000000,3699937000000.000000,-2112213000000.000000,-2112213000000.000000,-2112213000000.000000,1587724000000.000000,-914287000000.000000,,,227182000000.000000,42059000000.000000,-15050000000.000000,,26504000000.000000,280695000000.000000,,,-160682000000.000000,5081000000.000000,-541612000000.000000,-497769000000.000000,,-1194982000000.000000,-914287000000.000000,673437000000.000000,1404000000.000000,15808000000.000000,,15808000000.000000,-14404000000.000000,,-14404000000.000000,1404000000.000000,674841000000.000000,-173160000000.000000,501681000000.000000,,,,,501681000000.000000,501681000000.000000,,501681000000.000000,,,,
12M 2009,3737455000000.000000,3628731000000.000000,108724000000.000000,3737455000000.000000,-2179095000000.000000,-2179095000000.000000,-2179095000000.000000,1558360000000.000000,-935976000000.000000,,,290191000000.000000,61813000000.000000,82187000000.000000,,244062000000.000000,678253000000.000000,,,-254794000000.000000,-958000000.000000,-660112000000.000000,-614921000000.000000,-83444000000.000000,-1614229000000.000000,-935976000000.000000,622384000000.000000,18365000000.000000,36736000000.000000,,36736000000.000000,-18371000000.000000,,-18371000000.000000,18365000000.000000,640749000000.000000,-103289000000.000000,537460000000.000000,,,,,537460000000.000000,537460000000.000000,,537460000000.000000,,,,
12M 2010,4090908000000.000000,4090908000000.000000,,4090908000000.000000,-1910379000000.000000,-1910379000000.000000,-1910379000000.000000,2180529000000.000000,-1112152000000.000000,,383261000000.000000,,24227000000.000000,,158097000000.000000,109841000000.000000,675426000000.000000,,-18797000000.000000,-145811000000.000000,-9453000000.000000,-843570000000.000000,-769947000000.000000,,-1787578000000.000000,-1112152000000.000000,1068377000000.000000,-27262000000.000000,42979000000.000000,,42979000000.000000,-70241000000.000000,,-70241000000.000000,-27262000000.000000,1041115000000.000000,-89315000000.000000,951800000000.000000,,,,,951800000000.000000,951800000000.000000,,951800000000.000000,,,,
12M 2011,5191379000000.000000,5191379000000.000000,,5191379000000.000000,-2485184000000.000000,-2485184000000.000000,-2485184000000.000000,2706195000000.000000,-1575741000000.000000,,630983000000.000000,,31271000000.000000,,225590000000.000000,75979000000.000000,963823000000.000000,,-17797000000.000000,-296448000000.000000,14209000000.000000,-1173491000000.000000,-1066037000000.000000,,-2539564000000.000000,-1575741000000.000000,1130454000000.000000,60862000000.000000,94046000000.000000,,94046000000.000000,-33184000000.000000,,-33184000000.000000,60862000000.000000,1191316000000.000000,-117964000000.000000,1073352000000.000000,-63095000000.000000,-63095000000.000000,-63095000000.000000,1010257000000.000000,1073352000000.000000,1073352000000.000000,,1073352000000.000000,1010257000000.000000,1010257000000.000000,,1010257000000.000000
12M 2012,5581049000000.000000,5581049000000.000000,,5581049000000.000000,-2238937000000.000000,-2238937000000.000000,-2238937000000.000000,3342112000000.000000,-1803593000000.000000,,881710000000.000000,,36217000000.000000,,-46987000000.000000,96622000000.000000,967562000000.000000,,-25424000000.000000,-207856000000.000000,,-1373710000000.000000,-1164165000000.000000,,-2771155000000.000000,-1803593000000.000000,1538519000000.000000,27495000000.000000,,,,,,,27495000000.000000,1566014000000.000000,-188602000000.000000,1377412000000.000000,9021000000.000000,9021000000.000000,9021000000.000000,1386433000000.000000,1377412000000.000000,1377412000000.000000,,1377412000000.000000,1386433000000.000000,1386433000000.000000,,1386433000000.000000
12M 2013,4865437000000.000000,4865437000000.000000,,4865437000000.000000,-2169386000000.000000,-2169386000000.000000,-2169386000000.000000,2696051000000.000000,-2088191000000.000000,,1148670000000.000000,,17562000000.000000,,-198852000000.000000,-63733000000.000000,903647000000.000000,,-23906000000.000000,-343520000000.000000,,-1502235000000.000000,-1122177000000.000000,,-2991838000000.000000,-2088191000000.000000,607860000000.000000,24690000000.000000,,,,,,,24690000000.000000,632550000000.000000,-107770000000.000000,524780000000.000000,23636000000.000000,23636000000.000000,23636000000.000000,548416000000.000000,524780000000.000000,524780000000.000000,,524780000000.000000,548416000000.000000,548416000000.000000,,548416000000.000000
12M 2014,5978672000000.000000,5978672000000.000000,,5978672000000.000000,-3233623000000.000000,-3233623000000.000000,-3233623000000.000000,2745049000000.000000,-2099669000000.000000,,1349396000000.000000,,28299000000.000000,,-6138000000.000000,8658000000.000000,1380215000000.000000,,-18879000000.000000,-666414000000.000000,,-1696517000000.000000,-1098074000000.000000,,-3479884000000.000000,-2099669000000.000000,645380000000.000000,52601000000.000000,,,,,,,52601000000.000000,697981000000.000000,-98743000000.000000,599238000000.000000,238932000000.000000,238932000000.000000,238932000000.000000,838170000000.000000,599238000000.000000,599238000000.000000,,599238000000.000000,838170000000.000000,838170000000.000000,,838170000000.000000
12M 2015,6458281000000.000000,6458281000000.000000,,6458281000000.000000,-3155463000000.000000,-3155463000000.000000,-3155463000000.000000,3302818000000.000000,-2123919000000.000000,,1530291000000.000000,,32746000000.000000,,-87986000000.000000,371794000000.000000,1846845000000.000000,,-23877000000.000000,-978308000000.000000,,-1859154000000.000000,-1109425000000.000000,,-3970764000000.000000,-2123919000000.000000,1178899000000.000000,59870000000.000000,,,,,,,59870000000.000000,1238769000000.000000,-185998000000.000000,1052771000000.000000,3594897000000.000000,3594897000000.000000,3594897000000.000000,4647668000000.000000,1052771000000.000000,1052771000000.000000,,1052771000000.000000,4647668000000.000000,4647668000000.000000,,4647668000000.000000
12M 2016,6151919000000.000000,6151919000000.000000,,6151919000000.000000,-2664285000000.000000,-2664285000000.000000,-2664285000000.000000,3487634000000.000000,-2017071000000.000000,,1433475000000.000000,,8259000000.000000,,189940000000.000000,292067000000.000000,1923741000000.000000,,-9647000000.000000,-892457000000.000000,,-1900924000000.000000,-1137784000000.000000,,-3940812000000.000000,-2017071000000.000000,1470563000000.000000,74860000000.000000,,,,,,,74860000000.000000,1545423000000.000000,-387423000000.000000,1158000000000.000000,116836000000.000000,116836000000.000000,116836000000.000000,1274836000000.000000,1158000000000.000000,1158000000000.000000,,1158000000000.000000,1274836000000.000000,1274836000000.000000,,1274836000000.000000
12M 2017,6393586000000.000000,6393586000000.000000,,6393586000000.000000,-2884980000000.000000,-2884980000000.000000,-2884980000000.000000,3508606000000.000000,-1904521000000.000000,,1675332000000.000000,,35607000000.000000,,-2610000000.000000,468207000000.000000,2176536000000.000000,,-11888000000.000000,-851106000000.000000,,-2021551000000.000000,-1196512000000.000000,,-4081057000000.000000,-1904521000000.000000,1604085000000.000000,45074000000.000000,,,,,,,45074000000.000000,1649159000000.000000,-349116000000.000000,1300043000000.000000,77842000000.000000,77842000000.000000,77842000000.000000,1377885000000.000000,1300043000000.000000,1300043000000.000000,,1300043000000.000000,1377885000000.000000,1377885000000.000000,,1377885000000.000000
