Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Kepada Kegiatan Operasional Lainnya,Penerimaan Pendapatan Keuangan,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Tanah Untuk Dikembangkan,Pembayaran Uang Muka Perolehan Tanah,Perolehan Aset Tetap,Penerimaan Penjualan Investasi Pada Entitas Asosiasi,Penambahan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Hasil Penawaran Umum Perdana Saham,Pembayaran Utang Sewa Pembiayaan,Setoran Modal,Utang Bank,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Penurunan (Peningkatan) Piutang Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Penambahan Modal Saham,Setoran Modal Entitas Anak Dari Kepentingan Non Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-28562003876.000000,22951479487.000000,-46756815682.000000,-1201214860.000000,-3555452821.000000,,,-28562003876.000000,-32628881025.000000,-8469181025.000000,,-7700000.000000,-990000000.000000,-23162000000.000000,-32628881025.000000,61726586282.000000,,,,,,,19756648435.000000,-18882416596.000000,200000000.000000,-1275000000.000000,-82645557.000000,62000000000.000000,10000000.000000,61726586282.000000,535701381.000000,4327678139.000000,4863379520.000000
12M 2020,-6397500566.000000,54745756038.000000,-53523606472.000000,-3318740366.000000,-4300909766.000000,,,-6397500566.000000,-40828046370.000000,-40763700000.000000,,-64346370.000000,,,-40828046370.000000,53470941666.000000,56338033379.000000,,,,,,-3852184675.000000,-200000000.000000,,1275000000.000000,-89907038.000000,,,53470941666.000000,6245394730.000000,4863379520.000000,11108774250.000000
12M 2021,16991914547.000000,69982808218.000000,-30394076628.000000,-3237511586.000000,-13207857705.000000,552743209.000000,-6704190961.000000,16991914547.000000,-3367414148.000000,-2335809750.000000,-1000000000.000000,-31604398.000000,,,-3367414148.000000,-10603730202.000000,,,100000000.000000,4484220000.000000,,,-15090143667.000000,,,,-97806535.000000,,,-10603730202.000000,3020770197.000000,11108774250.000000,14129544447.000000
12M 2022,14551162782.000000,66636064832.000000,-32981931521.000000,-4323853335.000000,-10598889141.000000,885311647.000000,-5065539700.000000,14551162782.000000,-20880648000.000000,-1500000000.000000,-19275000000.000000,-105648000.000000,,,-20880648000.000000,-1646174301.000000,,-7851731979.000000,,12119759645.000000,6456306193.000000,,-12353391194.000000,,,,-17116966.000000,,,-1646174301.000000,-7975659519.000000,14129544447.000000,6153884928.000000
12M 2023,20269533686.000000,48823751684.000000,-13904420877.000000,-3869651126.000000,-7486643077.000000,652381106.000000,-3945884024.000000,20269533686.000000,-7130510000.000000,-7090510000.000000,-40000000.000000,,,,-7130510000.000000,-15884444788.000000,,-4157815789.000000,,3189600000.000000,9288000000.000000,,-24204228999.000000,,,,,,,-15884444788.000000,-2745421102.000000,6153884928.000000,3408463826.000000
12M 2024,342787344.000000,24381449736.000000,-18328104649.000000,,-4361859259.000000,526984674.000000,-1875683158.000000,342787344.000000,,,,,,,,3031319136.000000,,,,,13005200109.000000,-9973880973.000000,,,,,,,,3031319136.000000,3374106480.000000,3408463826.000000,6782570306.000000
