Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Aset Tetap,Others,Total Aset Tetap,Persediaan,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Lain-Lain,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,2081523950.000000,2287433725.000000,,2287433725.000000,2287433725.000000,87710266680.000000,2555209620.000000,94634433975.000000,,20710225647.000000,452646699.000000,452646699.000000,452646699.000000,,23162000000.000000,6977136647.000000,51302008993.000000,145936442968.000000,,,53596482426.000000,,,13489222133.000000,13489222133.000000,50000000.000000,,5890175852.000000,,12954067753.000000,89907038.000000,13043974791.000000,21123109650.000000,53596482426.000000,35556893748.000000,,35155232247.000000,114923501.000000,35270155748.000000,200000000.000000,86738000.000000,35556893748.000000,89153376174.000000,,63000000000.000000,,-6226934204.000000,10000998.000000,56783066794.000000,145936442968.000000,630000000.000000
12M 2020,,,11108774250.000000,2359633190.000000,,2359633190.000000,2359633190.000000,117620944785.000000,1453332746.000000,132542684971.000000,,82783320591.000000,397727504.000000,,397727504.000000,,,19031647449.000000,102212695544.000000,234755380515.000000,,,100979827779.000000,,,5960056662.000000,5960056662.000000,79229821.000000,,9880401096.000000,,25020000000.000000,97806535.000000,25117806535.000000,59942333665.000000,100979827779.000000,19378602291.000000,,19237115325.000000,17116966.000000,19254232291.000000,,124370000.000000,19378602291.000000,120358430070.000000,,78750000000.000000,40588033379.000000,-4951083418.000000,10000484.000000,114396950445.000000,234755380515.000000,787500000.000000
12M 2021,,,14129544447.000000,2464226515.000000,,2464226515.000000,2464226515.000000,108441340728.000000,3418167193.000000,128453278883.000000,,85119130341.000000,312648341.000000,,312648341.000000,,,51924176641.000000,137355955323.000000,265809234206.000000,,,128670378862.000000,4484220000.000000,,1570534016.000000,1570534016.000000,319679454.000000,,6855255273.000000,,12029010258.000000,17116966.000000,12046127224.000000,103394562895.000000,128670378862.000000,17237922400.000000,,17137961400.000000,,17137961400.000000,,99961000.000000,17237922400.000000,145908301262.000000,,78750000000.000000,40588033379.000000,452950726.000000,109948839.000000,119900932944.000000,265809234206.000000,787500000.000000
12M 2022,,,6153884928.000000,1868121954.000000,,1868121954.000000,1868121954.000000,143897645315.000000,1342695148.000000,153262347345.000000,,40598649232.000000,304751565.000000,,304751565.000000,,,71156925400.000000,112060326197.000000,265322673542.000000,,,136445386663.000000,8752247666.000000,,2948889288.000000,2948889288.000000,233602409.000000,,11535286368.000000,,21426686657.000000,,21426686657.000000,91548674275.000000,136445386663.000000,1952395000.000000,,1843200000.000000,,1843200000.000000,,109195000.000000,1952395000.000000,138397781663.000000,,78750000000.000000,40588033379.000000,7476915715.000000,109942785.000000,126924891879.000000,265322673542.000000,787500000.000000
12M 2023,,,3408463826.000000,2374652760.000000,,2374652760.000000,2374652760.000000,113399954877.000000,592394430.000000,119775465893.000000,,68004159232.000000,197066457.000000,,197066457.000000,,,34401948669.000000,102603174358.000000,222378640251.000000,,,89952149368.000000,7784031877.000000,,3018520582.000000,3018520582.000000,231594166.000000,,10600483125.000000,,7301530146.000000,,7301530146.000000,61015989472.000000,89952149368.000000,1209630512.000000,,1052127512.000000,,1052127512.000000,,157503000.000000,1209630512.000000,91161779880.000000,,78750000000.000000,40588033379.000000,11768870126.000000,109956866.000000,131216860371.000000,222378640251.000000,1575000000.000000
12M 2024,,,6782570306.000000,3554732590.000000,,3554732590.000000,3554732590.000000,103393672571.000000,1166141686.000000,114897117153.000000,,61123649232.000000,102256329.000000,,102256329.000000,,,32480423300.000000,93706328861.000000,208603446014.000000,,,73529420559.000000,12441008671.000000,,1000496977.000000,1000496977.000000,272976259.000000,175930961.000000,12694525663.000000,,3583300000.000000,,3583300000.000000,43361182028.000000,73529420559.000000,3332928000.000000,,3144700000.000000,,3144700000.000000,,188228000.000000,3332928000.000000,76862348559.000000,,78750000000.000000,40588033379.000000,12293099929.000000,109964147.000000,131741097455.000000,208603446014.000000,1575000000.000000
