Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Kontraktor Proyek Anak Perusahaan,Pembayaran Kepada Pemasok Karyawan Dan Lain - Lain,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Lain-Lain,Total Pembayaran Kepada Pemasok Karyawan Dan Lain - Lain,Pembayaran Pajak Final,Penerimaan Bunga,Pembayaran Skpkb,Pembayaran Pajak Penghasilan,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Dari Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Pada Entitas Asosiasi,Hasil Penjualan Aset Tetap,Kenaikan (Penurunan) Piutang Lain-Lain Kepada Pihak Berelasi,Penerimaan Dividen Dari Entitas Asosiasi,Penempatan / Pencairan Pada Deposito Berjangka Yang Dibatasi Penggunaannya,Pencairan Deposito Berjangka Tidak Lancar Yang Dibatasi Penguunaanya,Penempatan Pada Deposito Berjangka Yang Dibatasi Penggunaannya,Total Penempatan / Pencairan Pada Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Bunga Deposito Berjangka Yang Dibatasi Penggunaannya,Penempatan Investasi Obligasi,Penempatan Investasi Saham,Penempatan Investasi Melalui Manajer Investasi,Kenaikan Dana Untuk Penggantian Perabotan Dan Perlengkapan Hotel,Uang Muka Aset Real Estat,Pencairan Investasi Sementara,Penyertaan Saham,Arus Kas Keluar Bersih Akuisisi Bisnis,Penambahan Properti Investasi Dan Aset Tetap,Perolehan Aset Tetap,Penambahan Properti Investasi,Total Penambahan Properti Investasi Dan Aset Tetap,Penjualan Entitas Anak,Hasil Penjualan Investasi Asosiasi,Tambahan Investasi Entitas Anak Dari Nonpengendali,Setoran Modal Oleh Kepentingan Nonpengendali Di Entitas Anak,Penempatan Pada Aset Keuangan Lainnya,Perolehan Entitas Anak-Bersih,Pengembalian Uang Muka Setoran Modal,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Entitas Anak,Pembayaran Biaya Emisi Saham,Penerimaan Utang Bank,Penerimaan Dividen,Pembayaran Dividen,Pencairan (Penempatan) Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Deposito Berjangka,Pembayaran Biaya Pinjaman,Pembayaran Atas Penalti Obligasi Wajib Konversi,Pembayaran Dividen Kepada Non-Pengendali,Penebusan Utang Obligasi,Premium Utang Obligasi,Penerimaan Dari Penerbitan Obligasi,Penerimaan Setoran Modal,Pembayaran Utang Bank,Pembayaran Utang Sewa Pembiayaan,Biaya Emisi Obligasi,Pembayaran Utang Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,134272183000.000000,757229621000.000000,-146685058000.000000,-344392207000.000000,,,,-344392207000.000000,,17575715000.000000,,-15272961000.000000,-134182927000.000000,,134272183000.000000,10890647000.000000,,571140000.000000,-756368000.000000,,,299179600000.000000,-7647756000.000000,291531844000.000000,7426871000.000000,,,,1926333000.000000,,,,,-289809173000.000000,,,-289809173000.000000,,,,,,,,,10890647000.000000,-35658736000.000000,,,3650000000.000000,,,,,,,,,,,,,,,-39308736000.000000,-35658736000.000000,109504094000.000000,146830225000.000000,4533649000.000000,260867968000.000000
12M 2009,82835045000.000000,759136331000.000000,-212704991000.000000,-318310460000.000000,,,,-318310460000.000000,,18251769000.000000,,-23839641000.000000,-180103443000.000000,40405480000.000000,82835045000.000000,-7987200000.000000,,167080000.000000,680775000.000000,,,288718329000.000000,-29138052000.000000,259580277000.000000,4801068000.000000,,,,-430068000.000000,,,,,-272786332000.000000,,,-272786332000.000000,,,,,,,,,-7987200000.000000,-124381398000.000000,,-27941267000.000000,455461000000.000000,,,,,,,,,,,,,,,-551901131000.000000,-124381398000.000000,-49533553000.000000,260867968000.000000,-8056221000.000000,203278194000.000000
12M 2010,538644223000.000000,1315212976000.000000,-330899890000.000000,-285727462000.000000,,,,-285727462000.000000,,9604155000.000000,,-46742106000.000000,-122803450000.000000,,538644223000.000000,-434881624000.000000,,531223000.000000,67246000.000000,,,6871330000.000000,,6871330000.000000,,,,,-1176140000.000000,,,,,-441175283000.000000,,,-441175283000.000000,,,,,,,,,-434881624000.000000,10440294000.000000,,,94464000000.000000,,,,,,,,,,,,-18523050000.000000,,,-65500656000.000000,10440294000.000000,114202893000.000000,203278194000.000000,-677707000.000000,316803380000.000000
12M 2011,346238989000.000000,1732055939000.000000,,,-1004026786000.000000,-73692319000.000000,-58451110000.000000,-1136170215000.000000,,24468612000.000000,,-102417932000.000000,-171697415000.000000,,346238989000.000000,-1476006065000.000000,-375000000.000000,857097000.000000,,,-51920212000.000000,,,-51920212000.000000,,,,,2059623000.000000,-9392381000.000000,,,,,-64023114000.000000,-53212078000.000000,-117235192000.000000,,,,,,-1300000000000.000000,,,-1476006065000.000000,1431449906000.000000,,-1400746000.000000,411822299000.000000,,-32000000000.000000,,,,,,,,,1304322565000.000000,-60806100000.000000,,,-190488112000.000000,1431449906000.000000,301682830000.000000,325370239000.000000,-125332000.000000,626927737000.000000
12M 2012,1367992038000.000000,2850163652000.000000,,,-962653240000.000000,-94081322000.000000,-103368462000.000000,-1160103024000.000000,,48811121000.000000,,-171439941000.000000,-199439770000.000000,,1367992038000.000000,-946626361000.000000,,408725000.000000,,,-101390727000.000000,,,-101390727000.000000,,,,,1436967000.000000,-225587697000.000000,,,,,-78264616000.000000,-543274013000.000000,-621538629000.000000,,,,,,45000000.000000,,,-946626361000.000000,278990109000.000000,64735600000.000000,,1389219404000.000000,,-68886782000.000000,,,,,,,,,,-705095850000.000000,,,-400982263000.000000,278990109000.000000,700355786000.000000,626927737000.000000,-4793773000.000000,1322489750000.000000
12M 2013,2103061995000.000000,3672110447000.000000,,,-1005525067000.000000,-134239275000.000000,-110674823000.000000,-1250439165000.000000,,112408752000.000000,,-227548424000.000000,-203469615000.000000,,2103061995000.000000,-942618011000.000000,-278500000000.000000,1198380000.000000,-55500000000.000000,,-61488939000.000000,,,-61488939000.000000,,,,,32953000.000000,-88246704000.000000,,,,,-42882441000.000000,-417215660000.000000,-460098101000.000000,,,-15600000.000000,,,,,,-942618011000.000000,-333456411000.000000,,,101600000000.000000,,-168977620000.000000,,,,,,,,,,-266078791000.000000,,,,-333456411000.000000,826987573000.000000,1322489750000.000000,-15895149000.000000,2133582174000.000000
12M 2014,1994263395000.000000,4579154064000.000000,,,-2080191155000.000000,-163844734000.000000,-97950363000.000000,-2341986252000.000000,,211796685000.000000,,-265949098000.000000,-188752004000.000000,,1994263395000.000000,-3051198504000.000000,-8000000000.000000,369685000.000000,55500000000.000000,640258000.000000,-199030003000.000000,,,-199030003000.000000,,,,,1935811000.000000,-318397011000.000000,,,,,-220422239000.000000,-552853605000.000000,-773275844000.000000,,,,,,-1810941400000.000000,,,-3051198504000.000000,1746218898000.000000,,,80250856000.000000,,-216379182000.000000,,,-16970034000.000000,,-20000000000.000000,,,,,-376594549000.000000,,-52164575000.000000,2348076382000.000000,1746218898000.000000,689283789000.000000,2133582174000.000000,-4519396000.000000,2818346567000.000000
12M 2015,1741992351000.000000,5003535062000.000000,-339818963000.000000,,-2241728495000.000000,-240620935000.000000,-144642418000.000000,-2626991848000.000000,,176809071000.000000,-48657563000.000000,-25392324000.000000,-397491084000.000000,,1741992351000.000000,-2055055334000.000000,,267795000.000000,,,89616336000.000000,,,89616336000.000000,,,,,3591582000.000000,-1270043536000.000000,112811436000.000000,,,,-520067891000.000000,-471231056000.000000,-991298947000.000000,,,,,,,,,-2055055334000.000000,-376598700000.000000,,,1251268204000.000000,-793868000000.000000,-216298776000.000000,,,,-88232172000.000000,-13147124000.000000,,,,,-516320832000.000000,,,,-376598700000.000000,-689661683000.000000,2818346567000.000000,-44617375000.000000,2084067509000.000000
12M 2016,1324703811000.000000,4901861725000.000000,-321854082000.000000,,-2433146423000.000000,-283009367000.000000,-180627369000.000000,-2896783159000.000000,,105266486000.000000,,-34146223000.000000,-453018330000.000000,23377394000.000000,1324703811000.000000,-1141363465000.000000,-45620000000.000000,3862570000.000000,,,33962664000.000000,,,33962664000.000000,,,,,2832360000.000000,-28638462000.000000,,,,,-250078760000.000000,-857683837000.000000,-1107762597000.000000,,,,,,,,,-1141363465000.000000,165358018000.000000,,,943924838000.000000,,-216330829000.000000,,,,,-12925768000.000000,,,,,-549310223000.000000,,,,165358018000.000000,348698364000.000000,2084067509000.000000,15421169000.000000,2448187042000.000000
12M 2017,2258239457000.000000,5960868007000.000000,-325949707000.000000,,-2374072538000.000000,-398645605000.000000,-292975857000.000000,-3065694000000.000000,,131808631000.000000,,-33087502000.000000,-451970137000.000000,42264165000.000000,2258239457000.000000,-1030777098000.000000,-11250000000.000000,979226000.000000,,,-148248666000.000000,,,-148248666000.000000,,,,,-8430369000.000000,-202404814000.000000,1500000000.000000,,,,-139033380000.000000,-523889095000.000000,-662922475000.000000,,,,,,,,,-1030777098000.000000,-257289968000.000000,,,270697305000.000000,,-216411939000.000000,,,,-138274920000.000000,-13976012000.000000,-2669400000000.000000,,3336750000000.000000,,-765678123000.000000,,-60996279000.000000,,-257289968000.000000,970172391000.000000,2448187042000.000000,-4830113000.000000,3413529320000.000000
