Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Persediaan,Tanah Untuk Dikembangkan,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Obligasi,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,258627135000.000000,40691197000.000000,40691197000.000000,40691197000.000000,3121331000.000000,3121331000.000000,3121331000.000000,3476616000.000000,,,3476616000.000000,66550376000.000000,372466655000.000000,,,724339166000.000000,217702859000.000000,631374661000.000000,1317401380000.000000,318411000.000000,298898011000.000000,3190034488000.000000,3562501143000.000000,,,410547555000.000000,,,8643032000.000000,37529292000.000000,46172324000.000000,,11286791000.000000,11286791000.000000,5489236000.000000,29128833000.000000,,,3614572000.000000,191562900000.000000,,195177472000.000000,123292899000.000000,410547555000.000000,2061710838000.000000,9433552000.000000,,3650000000.000000,8538315000.000000,1085521011000.000000,,,1097709326000.000000,498981069000.000000,455586891000.000000,2061710838000.000000,2472258393000.000000,,1003325050000.000000,,599931000.000000,,,599931000.000000,86317769000.000000,,1090242750000.000000,3562501143000.000000,10033250500.000000
12M 2009,,,200607293000.000000,42326754000.000000,42326754000.000000,42326754000.000000,2637976000.000000,2637976000.000000,2637976000.000000,2486435000.000000,,,2486435000.000000,81878179000.000000,329936637000.000000,,,734363880000.000000,220020964000.000000,626927138000.000000,1559359538000.000000,,6261547000.000000,3146933067000.000000,3476869704000.000000,,,348467649000.000000,,,649123000.000000,77307074000.000000,77956197000.000000,,11017022000.000000,11017022000.000000,12207182000.000000,29698400000.000000,,18523050000.000000,2791975000.000000,68568300000.000000,,89883325000.000000,127705523000.000000,348467649000.000000,1882492906000.000000,16422297000.000000,,440587950000.000000,5479434000.000000,484562065000.000000,,,930629449000.000000,441848340000.000000,493592820000.000000,1882492906000.000000,2230960555000.000000,,1003325050000.000000,,147222056000.000000,,,147222056000.000000,95362043000.000000,,1245909149000.000000,3476869704000.000000,10033250500.000000
12M 2010,,,312956339000.000000,117158203000.000000,117158203000.000000,117158203000.000000,6655853000.000000,6655853000.000000,6655853000.000000,2927075000.000000,,,2927075000.000000,84679023000.000000,524376493000.000000,,,431308358000.000000,232458235000.000000,1996240123000.000000,736173082000.000000,,16769333000.000000,3412949131000.000000,3937325624000.000000,,,501458461000.000000,,,,13615459000.000000,13615459000.000000,,13975264000.000000,13975264000.000000,29603454000.000000,32550215000.000000,,88010100000.000000,,191108683000.000000,,279118783000.000000,132595286000.000000,501458461000.000000,1867278397000.000000,18271896000.000000,,447041850000.000000,3160569000.000000,313626313000.000000,,,763828732000.000000,436051646000.000000,649126123000.000000,1867278397000.000000,2368736858000.000000,,1003325050000.000000,,425732487000.000000,,,425732487000.000000,139531229000.000000,,1568588766000.000000,3937325624000.000000,10033250500.000000
12M 2011,,,621021073000.000000,108926033000.000000,108926033000.000000,108926033000.000000,7870085000.000000,7870085000.000000,7870085000.000000,3120864000.000000,,,3120864000.000000,167773882000.000000,908711937000.000000,,1015572000.000000,819426109000.000000,274834935000.000000,2032455983000.000000,1659292063000.000000,,48974436000.000000,4835999098000.000000,5744711035000.000000,,,640044131000.000000,131704000000.000000,,,65240747000.000000,65240747000.000000,,32470408000.000000,32470408000.000000,35188559000.000000,42204162000.000000,,165569150000.000000,,1660454000.000000,,167229604000.000000,166006651000.000000,640044131000.000000,2731531437000.000000,19405930000.000000,,953633621000.000000,3160569000.000000,360290197000.000000,,,1317084387000.000000,453871193000.000000,941169927000.000000,2731531437000.000000,3371575568000.000000,,1203990060000.000000,1099362509000.000000,667747635000.000000,,,667747635000.000000,139203669000.000000,-737168406000.000000,2373135467000.000000,5744711035000.000000,12039900600.000000
12M 2012,,,1315146118000.000000,127672383000.000000,127672383000.000000,127672383000.000000,10836883000.000000,10836883000.000000,10836883000.000000,963171376000.000000,957607342000.000000,5564034000.000000,963171376000.000000,292442841000.000000,2709269601000.000000,,215696000.000000,298964504000.000000,,3365097210000.000000,844547927000.000000,47862000.000000,347677116000.000000,4856550315000.000000,7565819916000.000000,,,2018287628000.000000,1000000000.000000,,,33928967000.000000,33928967000.000000,,35508774000.000000,35508774000.000000,28912298000.000000,62262720000.000000,,262170196000.000000,,,,262170196000.000000,1594504673000.000000,2018287628000.000000,2412996739000.000000,20367110000.000000,,1662797204000.000000,3160569000.000000,,,,1665957773000.000000,499623507000.000000,227048349000.000000,2412996739000.000000,4431284367000.000000,,1203990060000.000000,1099362509000.000000,1345904961000.000000,1000000000.000000,1344904961000.000000,1345904961000.000000,222446425000.000000,-737168406000.000000,3134535549000.000000,7565819916000.000000,48159602400.000000
12M 2013,,,2126205589000.000000,149289157000.000000,149289157000.000000,149289157000.000000,17625933000.000000,17625933000.000000,17625933000.000000,1051080776000.000000,1046565189000.000000,4515587000.000000,1051080776000.000000,366114566000.000000,3710316021000.000000,,268531122000.000000,438535058000.000000,,3702706889000.000000,673095853000.000000,248459000.000000,504812006000.000000,5587929387000.000000,9298245408000.000000,,,2849867237000.000000,,,,54754091000.000000,54754091000.000000,,70256457000.000000,70256457000.000000,53744771000.000000,75029632000.000000,,373959300000.000000,,,,373959300000.000000,2222122986000.000000,2849867237000.000000,2345869289000.000000,21446355000.000000,,1390430042000.000000,3160569000.000000,,,,1393590611000.000000,650251481000.000000,280580842000.000000,2345869289000.000000,5195736526000.000000,,1203990060000.000000,362194103000.000000,2310166458000.000000,2000000000.000000,2308166458000.000000,2310166458000.000000,226158261000.000000,,4102508882000.000000,9298245408000.000000,48159602400.000000
12M 2014,,,2809034171000.000000,262955540000.000000,262955540000.000000,262955540000.000000,40392266000.000000,40392266000.000000,40392266000.000000,1671766462000.000000,1665195630000.000000,6570832000.000000,1671766462000.000000,722842787000.000000,5506991226000.000000,,20971321000.000000,1461183231000.000000,,8155974676000.000000,964375227000.000000,94570000.000000,661152287000.000000,11263751312000.000000,16770742538000.000000,,,3913147398000.000000,,,,133696678000.000000,133696678000.000000,,69766253000.000000,69766253000.000000,76753336000.000000,193966487000.000000,,514191751000.000000,,,,514191751000.000000,2924772893000.000000,3913147398000.000000,4574524360000.000000,21933608000.000000,,956489147000.000000,3160569000.000000,2440339030000.000000,22486183000.000000,,3422474929000.000000,685377213000.000000,444738610000.000000,4574524360000.000000,8487671758000.000000,,1203990060000.000000,362194103000.000000,4608953650000.000000,3000000000.000000,4605953650000.000000,4608953650000.000000,2109995095000.000000,-2062128000.000000,8283070780000.000000,16770742538000.000000,48159602400.000000
12M 2015,,,2071163531000.000000,267679776000.000000,267679776000.000000,267679776000.000000,33848716000.000000,33848716000.000000,33848716000.000000,2254347345000.000000,2244082624000.000000,10264721000.000000,2254347345000.000000,781522370000.000000,5408561738000.000000,,18055566000.000000,1591806550000.000000,,8886936622000.000000,1457275104000.000000,,1415486887000.000000,13369560729000.000000,18778122467000.000000,,,4423677906000.000000,,,198258709000.000000,,198258709000.000000,,114589500000.000000,114589500000.000000,50444939000.000000,237950585000.000000,,536423640000.000000,,,,536423640000.000000,3286010533000.000000,4423677906000.000000,4899388584000.000000,22560109000.000000,,1650947296000.000000,3160569000.000000,2720722525000.000000,21173895000.000000,,4396004285000.000000,,480824190000.000000,4899388584000.000000,9323066490000.000000,,1203990060000.000000,362194103000.000000,5654567573000.000000,4000000000.000000,5650567573000.000000,5654567573000.000000,2236050776000.000000,-1746535000.000000,9455055977000.000000,18778122467000.000000,48159602400.000000
12M 2016,,,2432450704000.000000,185527013000.000000,185527013000.000000,185527013000.000000,51768992000.000000,51768992000.000000,51768992000.000000,2859709620000.000000,2843669702000.000000,16039918000.000000,2859709620000.000000,597396218000.000000,6126852547000.000000,,54810119000.000000,1979992827000.000000,,10464727506000.000000,1699652156000.000000,61899876000.000000,286206623000.000000,14547289107000.000000,20674141654000.000000,,,4618261907000.000000,,,211649226000.000000,,211649226000.000000,,100761827000.000000,100761827000.000000,77840148000.000000,211984955000.000000,,769456459000.000000,,,,769456459000.000000,3246569292000.000000,4618261907000.000000,5036185947000.000000,,,1811518039000.000000,2658990595000.000000,3160569000.000000,5390013000.000000,,4479059216000.000000,,557126731000.000000,5036185947000.000000,9654447854000.000000,,1203990060000.000000,362194103000.000000,7108616297000.000000,5000000000.000000,7103616297000.000000,7108616297000.000000,2335945960000.000000,8947380000.000000,11019693800000.000000,20674141654000.000000,48159602400.000000
12M 2017,,,3406223405000.000000,448497029000.000000,448497029000.000000,448497029000.000000,74546408000.000000,74546408000.000000,74546408000.000000,3741162632000.000000,3722954934000.000000,18207698000.000000,3741162632000.000000,757176167000.000000,8427605641000.000000,,52964630000.000000,1958830173000.000000,,10779118206000.000000,1681938098000.000000,58465784000.000000,399795204000.000000,14931112095000.000000,23358717736000.000000,,,4913178190000.000000,,,364134878000.000000,,364134878000.000000,,140614459000.000000,140614459000.000000,98574451000.000000,179631322000.000000,,401946773000.000000,,,,401946773000.000000,3728276307000.000000,4913178190000.000000,5654049521000.000000,,,1692366857000.000000,3333232641000.000000,,3160569000.000000,,5028760067000.000000,,625289454000.000000,5654049521000.000000,10567227711000.000000,,1203990060000.000000,362194103000.000000,8764678943000.000000,6000000000.000000,8758678943000.000000,8764678943000.000000,2471923984000.000000,-11297065000.000000,12791490025000.000000,23358717736000.000000,48159602400.000000
