Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.92,100.06,3.92,100.06,195 B,"1,597 B","1,792 B","1,533 B",(38 B)
12M 2009,4.53,114.67,4.53,114.67,90 B,"1,372 B","1,462 B","1,262 B",(19 B)
12M 2010,6.09,142.43,6.09,142.43,279 B,"1,200 B","1,479 B","1,166 B",23 B
12M 2011,4.05,185.54,4.05,185.54,299 B,"1,771 B","2,070 B","1,449 B",269 B
12M 2012,3.72,60.47,3.72,60.47,263 B,"2,166 B","2,429 B","1,114 B",691 B
12M 2013,3.35,80.49,3.35,80.49,374 B,"2,044 B","2,418 B",292 B,860 B
12M 2014,4.02,128.18,4.02,128.18,514 B,"4,108 B","4,622 B","1,813 B","1,594 B"
12M 2015,3.31,149.90,3.31,149.90,536 B,"4,396 B","4,932 B","2,861 B",985 B
12M 2016,3.13,180.31,3.13,180.31,769 B,"4,479 B","5,249 B","2,816 B","1,509 B"
12M 2017,3.20,214.28,3.20,214.28,402 B,"5,029 B","5,431 B","2,024 B","3,514 B"
12M 2018,2.37,261.55,2.37,261.55,647 B,"4,937 B","5,583 B","1,123 B","5,376 B"
12M 2019,1.83,310.87,1.83,310.87,912 B,"3,888 B","4,800 B",487 B,"6,269 B"
12M 2020,1.68,303.90,1.68,303.90,397 B,"3,550 B","3,947 B","1,060 B","4,253 B"
12M 2021,1.39,333.20,1.39,333.20,50 B,"5,657 B","5,707 B",(737 B),"8,434 B"
12M 2022,1.27,359.38,1.27,359.38,,"6,249 B","6,249 B","(1,196 B)","9,620 B"
12M 2023,1.14,396.53,1.14,396.53,,"6,133 B","6,133 B","(1,467 B)","10,523 B"
12M 2024,0.93,429.89,0.93,429.89,,"6,436 B","6,436 B","(2,718 B)","11,712 B"
