Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Lainnya,Penerimaan Dari Penghasilan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Piutang Pihak Berelasi,Pembayaran Untuk Piutang Pihak Berelasi,Penambahan Piutang Lain-Lain Kepada Pihak Berelasi,Penempatan Setara Kas Yang Dibatasi Penggunaannya,Pencairan Setara Kas Yang Dibatasi Penggunannya,Uang Muka Perolehan Aset Tetap,Perolehan Aset Tetap,Penjualan Aset Tetap,Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal,Penerimaan Agio Saham,Pembayaran Dividen,Penerimaan Dari :,Utang Bank,Utang Pihak Berelasi,Total Penerimaan Dari :,Pembayaran Untuk :,Utang Bank,Utang Sewa Pembiayaan,Utang Pihak Ketiga,Utang Pihak Berelasi,Total Pembayaran Untuk :,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,21576008421.000000,160004846705.000000,-108413240418.000000,-13122090746.000000,-13852943881.000000,142140098.000000,-3182703337.000000,21576008421.000000,-19832852155.000000,33491978833.000000,-30691494556.000000,,,963500000.000000,,-23596836432.000000,,,-19832852155.000000,-18156256728.000000,,,,,20494355508.000000,20067201753.000000,40561557261.000000,,-20844940505.000000,-19168472629.000000,,-18704400855.000000,-58717813989.000000,-18156256728.000000,-16413100462.000000,14306985729.000000,-2106114733.000000
12M 2019,27034657056.000000,178911716660.000000,-114975261424.000000,-15655333389.000000,-14951816754.000000,223325158.000000,-6517973195.000000,27034657056.000000,-71335055819.000000,13628769308.000000,-11822689226.000000,,-963500000.000000,,,-72177635901.000000,,,-71335055819.000000,38217262645.000000,45580000000.000000,,,,19466702004.000000,,19466702004.000000,,-22363484012.000000,-217966791.000000,,-4247988556.000000,-26829439359.000000,38217262645.000000,-6083136118.000000,-2106114733.000000,-8189250851.000000
12M 2020,25247654725.000000,176805238783.000000,-107120014576.000000,-23257225291.000000,-16245454748.000000,84399363.000000,-5019288806.000000,25247654725.000000,-116929461663.000000,,,,-1550000000.000000,,-62459628886.000000,-53382108819.000000,462276042.000000,,-116929461663.000000,100012086400.000000,17563750000.000000,96600625000.000000,,,22067500000.000000,,22067500000.000000,,-29712824023.000000,-4207223503.000000,,-2299741074.000000,-36219788600.000000,100012086400.000000,8330279462.000000,-8189250851.000000,141028611.000000
12M 2021,102796364713.000000,242989955100.000000,-95590838965.000000,-24488482429.000000,-13800547122.000000,628681999.000000,-6942403870.000000,102796364713.000000,-71937679023.000000,-1017000000.000000,,,-4986500000.000000,,-2051934887.000000,-68482244136.000000,4600000000.000000,,-71937679023.000000,-8333471349.000000,,,,,21800000000.000000,,21800000000.000000,,-27119919302.000000,-2981092981.000000,,-32459066.000000,-30133471349.000000,-8333471349.000000,22525214341.000000,141028611.000000,22666242952.000000
12M 2022,92023237393.000000,352867308322.000000,-208017113033.000000,-36659011608.000000,-11702442549.000000,1027671827.000000,-5493175566.000000,92023237393.000000,-22029824106.000000,1210900000.000000,,-5917071000.000000,,1400000000.000000,-12928330829.000000,-7365322277.000000,1570000000.000000,,-22029824106.000000,-14858181167.000000,,,,,,,,,-12540017765.000000,-2291959494.000000,,-26203908.000000,-14858181167.000000,-14858181167.000000,55135232120.000000,22666242952.000000,77801475072.000000
12M 2023,58123916093.000000,291237241074.000000,-166351613903.000000,-44482174628.000000,-17685157080.000000,1846311715.000000,-6440691085.000000,58123916093.000000,-51527210798.000000,5763171000.000000,,-4247500.000000,,500000000.000000,-7776980907.000000,-50470153391.000000,461000000.000000,,-51527210798.000000,-22461212884.000000,,,-17000000000.000000,,10802600000.000000,343561.000000,10802943561.000000,,-11393977648.000000,-4870178797.000000,,,-16264156445.000000,-22461212884.000000,-15864507589.000000,77801475072.000000,61936967483.000000
12M 2024,69315626366.000000,371615331802.000000,-223260791464.000000,-46926530820.000000,-28271386589.000000,1788528765.000000,-5629525328.000000,69315626366.000000,-59587983281.000000,,,-45648810.000000,,-2245651552.000000,-1852446554.000000,-54527836365.000000,1083600000.000000,-2000000000.000000,-59587983281.000000,-1260870634.000000,,,,,21113048000.000000,-343561.000000,21112704439.000000,,-14493925366.000000,-5279649707.000000,-2600000000.000000,,-22373575073.000000,-1260870634.000000,8466772451.000000,61936967483.000000,70403739934.000000
