Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,236783885421.000000,-127557643180.000000,109226242241.000000,,76771889348.000000,-5809869714.000000,-5366124536.000000,-443745178.000000,-5809869714.000000,70962019634.000000,,70962019634.000000,3020729.000000,70965040363.000000,70962019634.000000,70962019634.000000,,70962019634.000000,70965040363.000000,70965040363.000000,,70965040363.000000
12M 2019,182181039109.000000,-87091702969.000000,95089336140.000000,,52968699366.000000,-6189840678.000000,-7170958793.000000,981118115.000000,-6189840678.000000,46778858688.000000,,46778858688.000000,595505769.000000,47374364457.000000,46778858688.000000,46778858688.000000,,46778858688.000000,47374364457.000000,47374364457.000000,,47374364457.000000
12M 2020,187886276093.000000,-108366465300.000000,79519810793.000000,,39880802238.000000,-8800895795.000000,-9770431766.000000,969535971.000000,-8800895795.000000,31079906443.000000,-38367120.000000,31041539323.000000,-435636868.000000,30605902455.000000,31041539323.000000,31041539323.000000,,31041539323.000000,30605902455.000000,30605902455.000000,,30605902455.000000
12M 2021,301396833220.000000,-192373621931.000000,109023211289.000000,,57283712081.000000,-5139259741.000000,-7458090615.000000,2318830874.000000,-5139259741.000000,52144452340.000000,-96809900.000000,52047642440.000000,159752705.000000,52207395145.000000,52047642440.000000,52047642440.000000,,52047642440.000000,52207395145.000000,52207395145.000000,,52207395145.000000
12M 2022,338340862503.000000,-205183211403.000000,133157651100.000000,,84132356359.000000,-3889652513.000000,-5855310419.000000,1965657906.000000,-3889652513.000000,80242703846.000000,-11121660.000000,80231582186.000000,21379132.000000,80252961318.000000,80231582186.000000,80231588486.000000,-6300.000000,80231582186.000000,80252961318.000000,80252961318.000000,,80252961318.000000
12M 2023,395518504651.000000,-230522140241.000000,164996364410.000000,,106821877984.000000,-3961912029.000000,-6921332212.000000,2959420183.000000,-3961912029.000000,102859965955.000000,-33415360.000000,102826550595.000000,789432103.000000,103615982698.000000,102826550595.000000,102827263180.000000,-712585.000000,102826550595.000000,103615982698.000000,103616695283.000000,-712585.000000,103615982698.000000
12M 2024,371976241228.000000,-256190933742.000000,115785307486.000000,,35292514355.000000,-7060111057.000000,-6044164908.000000,-1015946149.000000,-7060111057.000000,28232403298.000000,-29800760.000000,28202602538.000000,223456503.000000,28426059041.000000,28202602538.000000,28075245070.000000,127357468.000000,28202602538.000000,28426059041.000000,28298701573.000000,127357468.000000,28426059041.000000
