Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,22 B,(24 B),(2 B),-8189.78
12M 2019,27 B,(72 B),(45 B),-64.26
12M 2020,25 B,(53 B),(28 B),-32.04
12M 2021,103 B,(68 B),34 B,39.07
12M 2022,92 B,(7 B),85 B,96.40
12M 2023,58 B,(50 B),8 B,8.72
12M 2024,69 B,(55 B),15 B,16.84
