Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Pinjaman Jangka Pendek,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Dari Pihak Ketiga,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Lain Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Surat Promes,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,5483209086.000000,53076718.000000,53076718.000000,,53076718.000000,9388923583.000000,3895919.000000,9385027664.000000,9388923583.000000,9107043.000000,2976216324.000000,17910532754.000000,,,136640173818.000000,671980017.000000,54684345000.000000,191996498835.000000,209907031589.000000,,,108674040769.000000,72776653.000000,,11605334207.000000,11605334207.000000,,1134175000.000000,68131309144.000000,69265484144.000000,,553885796.000000,581163372.000000,,771336480.000000,,1300000008.000000,2071336488.000000,24524060109.000000,108674040769.000000,110533709181.000000,,,,,,108514495168.000000,1177054276.000000,,109691549444.000000,842159737.000000,110533709181.000000,219207749950.000000,,2000000000.000000,,-2074539276.000000,-3520821219.000000,-5705357866.000000,-9300718361.000000,209907031589.000000,4000.000000
12M 2011,,,3148373800.000000,771899462.000000,771899462.000000,,771899462.000000,11973004.000000,11973004.000000,,11973004.000000,26721634071.000000,18271006745.000000,48924887082.000000,,,414128780470.000000,1622614057.000000,81047244876.000000,496798639403.000000,545723526485.000000,,,240607982237.000000,1870907646.000000,,68919607500.000000,68919607500.000000,,14938063932.000000,63497908035.000000,78435971967.000000,,5823055806.000000,1348949900.000000,,1069911458.000000,,26549777426.000000,27619688884.000000,56589800534.000000,240607982237.000000,223279790845.000000,,,,,,219251646836.000000,1039569988.000000,,220291216824.000000,2988574021.000000,223279790845.000000,463887773082.000000,,126000000000.000000,,-33118289548.000000,1475864019.000000,-12521821068.000000,81835753403.000000,545723526485.000000,1260000000.000000
12M 2012,,,12246854685.000000,5170378020.000000,5170378020.000000,,5170378020.000000,104049453.000000,104049453.000000,,104049453.000000,11781397114.000000,21753551102.000000,51056230374.000000,,,705675496984.000000,742645218.000000,86142572030.000000,792560714232.000000,843616944606.000000,,,146665705246.000000,1844673534.000000,,62292547335.000000,62292547335.000000,,11153984648.000000,,11153984648.000000,,11463300555.000000,7328134623.000000,,1058639700.000000,,40950010153.000000,42008649853.000000,10574414698.000000,146665705246.000000,422911382916.000000,,,,,,415970118999.000000,703915514.000000,,416674034513.000000,6237348403.000000,422911382916.000000,569577088162.000000,,300000000000.000000,,-16157362049.000000,2719039561.000000,-12521821068.000000,274039856444.000000,843616944606.000000,3000000000.000000
12M 2013,,,14657264971.000000,3018162984.000000,3018162984.000000,,3018162984.000000,22464193424.000000,22085734416.000000,378459008.000000,22464193424.000000,11211659679.000000,58226407817.000000,109577688875.000000,,13000000000.000000,769703186052.000000,4104668246.000000,78946353200.000000,865754207498.000000,975331896373.000000,,,281628004753.000000,1762584942.000000,,121736838710.000000,121736838710.000000,,,14226826485.000000,14226826485.000000,21074450000.000000,12389216972.000000,11899764714.000000,,771153836.000000,,86450181128.000000,87221334964.000000,11316987966.000000,281628004753.000000,314678050733.000000,13000000000.000000,,,13000000000.000000,,293008630185.000000,794436338.000000,,293803066523.000000,7874984210.000000,314678050733.000000,596306055486.000000,,355000000000.000000,27787243380.000000,-6662542819.000000,2901140326.000000,,379025840887.000000,975331896373.000000,3550000000.000000
12M 2014,,,31023681254.000000,1225718078.000000,1225718078.000000,,1225718078.000000,32371959.000000,32371959.000000,,32371959.000000,11741866799.000000,52487718360.000000,96511356450.000000,,,799021592870.000000,7305692307.000000,77535189206.000000,883862474383.000000,980373830833.000000,,,402306246685.000000,1746359559.000000,,171634871521.000000,171634871521.000000,,17904631004.000000,11516367389.000000,29420998393.000000,13000000000.000000,18456457389.000000,21848297522.000000,,545208213.000000,,104976090274.000000,105521298487.000000,40677963814.000000,402306246685.000000,197255585174.000000,,,,,,188563012728.000000,240464753.000000,,188803477481.000000,8452107693.000000,197255585174.000000,599561831859.000000,,355000000000.000000,27787243380.000000,-4986006166.000000,3010761760.000000,,380811998974.000000,980373830833.000000,3550000000.000000
12M 2015,,,6501066022.000000,1631264355.000000,1631264355.000000,,1631264355.000000,,,,,11647875940.000000,54030636213.000000,73810842530.000000,,,796084810026.000000,7071536598.000000,76115008621.000000,879271355245.000000,953082197775.000000,,,366228222593.000000,1811876120.000000,,160446632979.000000,160446632979.000000,,24098208368.000000,29456024248.000000,53554232616.000000,,21038379795.000000,28839614673.000000,,216831375.000000,,55094311750.000000,55311143125.000000,45226343285.000000,366228222593.000000,204896816346.000000,,,,,,197479741373.000000,23633378.000000,,197503374751.000000,7393441595.000000,204896816346.000000,571125038939.000000,,355000025000.000000,27787273380.000000,-3850499953.000000,3020360409.000000,,381957158836.000000,953082197775.000000,3550000250.000000
12M 2016,,,9177379326.000000,1668166326.000000,1668166326.000000,,1668166326.000000,,,,,319219648342.000000,38813295998.000000,368878489992.000000,,,620309427909.000000,7071536598.000000,73945981239.000000,701326945746.000000,1070205435738.000000,,,291676713986.000000,12101857515.000000,,129851166926.000000,129851166926.000000,,18224290148.000000,,18224290148.000000,,20938416270.000000,23974623859.000000,,6447558.000000,,42411856128.000000,42418303686.000000,44168055582.000000,291676713986.000000,395074878620.000000,,,,,,385280596346.000000,23641050.000000,,385304237396.000000,9770641224.000000,395074878620.000000,686751592606.000000,,355000025000.000000,27787273380.000000,-2294804505.000000,2961349257.000000,,383453843132.000000,1070205435738.000000,3550000250.000000
12M 2017,,,6334198515.000000,2153765313.000000,2153765313.000000,,2153765313.000000,,,,,319217178640.000000,33010489397.000000,360715631865.000000,,,649938436096.000000,7192162486.000000,72506469178.000000,729637067760.000000,1090352699625.000000,,,290385239283.000000,12414068674.000000,,120229503594.000000,120229503594.000000,,37585923526.000000,,37585923526.000000,,41738328825.000000,8376883999.000000,,4298377.000000,,25500000000.000000,25504298377.000000,44536232288.000000,290385239283.000000,410704787596.000000,,,,,,397517525662.000000,,,397517525662.000000,13187261934.000000,410704787596.000000,701090026879.000000,,355000145200.000000,35028926344.000000,-3633863412.000000,2867464615.000000,,389262672747.000000,1090352699626.000000,3550000452.000000
12M 2018,,,10633475634.000000,2934866737.000000,,2934866737.000000,2934866737.000000,64860744.000000,64860744.000000,,64860744.000000,319045579192.000000,43906517916.000000,376585300223.000000,,,749750148238.000000,7723351034.000000,71067435718.000000,828540934990.000000,1205126235213.000000,,,229045674614.000000,,,103005584640.000000,103005584640.000000,,48451527723.000000,,48451527723.000000,,24883729364.000000,12358511821.000000,,,,1300000000.000000,1300000000.000000,39046321066.000000,229045674614.000000,596716183066.000000,580977732626.000000,,,580977732626.000000,,324999930.000000,,,324999930.000000,15413450510.000000,596716183066.000000,825761857680.000000,,355000145200.000000,35088926344.000000,-13516672326.000000,2791978315.000000,,379364377533.000000,1205126235213.000000,3550001452.000000
12M 2019,,,9139752690.000000,3933802600.000000,,3933802600.000000,3933802600.000000,,,,,2240614963.000000,92517560776.000000,107831731029.000000,,,1171281534144.000000,5532673034.000000,69628402258.000000,1246442609436.000000,1354274340465.000000,,,187585508254.000000,336712446.000000,,85038583865.000000,85038583865.000000,,23034375863.000000,,23034375863.000000,,27256734773.000000,12797011685.000000,,176429994.000000,,324999922.000000,501429916.000000,38620659706.000000,187585508254.000000,795067840493.000000,767209257610.000000,,,767209257610.000000,,11259219204.000000,365357204.000000,,11624576408.000000,16234006475.000000,795067840493.000000,982653348747.000000,,355000145200.000000,35088926344.000000,-21406907777.000000,2938827951.000000,,371620991718.000000,1354274340465.000000,3550001452.000000
12M 2020,,,9128520247.000000,2906697890.000000,,2906697890.000000,2906697890.000000,,,,,712927206929.000000,84715170771.000000,809677595837.000000,,,447462723745.000000,4848033990.000000,68053543198.000000,520364300933.000000,1330041896770.000000,,,922712266118.000000,1921616259.000000,,86527880470.000000,86527880470.000000,,30613745183.000000,,30613745183.000000,,30731713932.000000,16537376558.000000,,116508000.000000,715530607620.000000,1545366159.000000,717192481779.000000,39187451937.000000,922712266118.000000,78951302561.000000,55319372822.000000,,,55319372822.000000,,9456439508.000000,300680483.000000,,9757119991.000000,13874809748.000000,78951302561.000000,1001663568679.000000,,355000145200.000000,35088926344.000000,-64934057832.000000,3223314382.000000,,328378328094.000000,1330041896773.000000,3550001452.000000
12M 2021,,,5826146330.000000,5150027530.000000,,5150027530.000000,5150027530.000000,,,,,712606395984.000000,85124270906.000000,808706840750.000000,,,431088117590.000000,3214886867.000000,66478684138.000000,500781688595.000000,1309488529345.000000,,,931820701510.000000,1998684071.000000,,86621385221.000000,86621385221.000000,,23494237071.000000,,23494237071.000000,,41100931541.000000,18845857099.000000,,113894455.000000,718457284763.000000,1545366159.000000,720116545377.000000,39643061130.000000,931820701510.000000,77319527575.000000,,55319372822.000000,3070478728.000000,58389851550.000000,,9456439508.000000,48221960.000000,,9504661468.000000,9425014557.000000,77319527575.000000,1009140229085.000000,,355000145200.000000,35088926344.000000,-93352570693.000000,3611799410.000000,,300348300261.000000,1309488529346.000000,3550001452.000000
12M 2022,,,867565151.000000,13261825.000000,,13261825.000000,13261825.000000,3386301141.000000,3386301141.000000,,3386301141.000000,,27812900045.000000,32080028162.000000,,,157535196612.000000,2183385174.000000,179709845862.000000,339428427648.000000,371508455810.000000,,,64583080423.000000,2000000000.000000,,26538594464.000000,26538594464.000000,,17693763444.000000,,17693763444.000000,,8479293172.000000,7926063184.000000,,,400000000.000000,1545366159.000000,1945366159.000000,,64583080423.000000,10239987427.000000,,,,,,9426439508.000000,,,9426439508.000000,813547919.000000,10239987427.000000,74823067850.000000,,355000145200.000000,35088926344.000000,-93797531525.000000,393847940.000000,,296685387959.000000,371508455809.000000,3550001452.000000
12M 2023,,,939366876.000000,60084564.000000,,60084564.000000,60084564.000000,3386301142.000000,3386301142.000000,,3386301142.000000,,1627190418.000000,6012943000.000000,,,157292150480.000000,2593760741.000000,277354504334.000000,437240415555.000000,443253358555.000000,,,63860702836.000000,1859151834.000000,,26507210990.000000,26507210990.000000,,17693763442.000000,,17693763442.000000,,8130935748.000000,7724274663.000000,,,400000000.000000,1545366159.000000,1945366159.000000,,63860702836.000000,12968234019.000000,,,3129342219.000000,3129342219.000000,,8721667119.000000,,,8721667119.000000,1117224681.000000,12968234019.000000,76828936855.000000,,355000145200.000000,35088926344.000000,-24019037944.000000,354388100.000000,,366424421700.000000,443253358555.000000,3550001452.000000
