Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,12537647348.000000,-5546215489.000000,6991431859.000000,-35850301089.000000,-4105123210.000000,-31745177879.000000,-35850301089.000000,-28858869230.000000,-8068634090.000000,,40699700.000000,40699700.000000,-1641243458.000000,-2151357149.000000,,-4316733183.000000,-8068634090.000000,-36927503320.000000,891485610.000000,-59148430.000000,,950634040.000000,891485610.000000,-36036017710.000000,4747524389.000000,,-31288493321.000000,,-31288493321.000000,-31288493321.000000,-31043750272.000000,-244743049.000000,,-31288493321.000000,-31288493321.000000,-31043750272.000000,-244743049.000000,,-31288493321.000000
12M 2012,126596502987.000000,-50202144432.000000,76394358555.000000,-44830106028.000000,-1622683353.000000,-43207422675.000000,-44830106028.000000,31564252527.000000,-8505661030.000000,,156305820.000000,156305820.000000,-8089385377.000000,-625133656.000000,,52552183.000000,-8505661030.000000,23058591497.000000,-5932770148.000000,-4404944393.000000,-647856917.000000,-879968838.000000,-5932770148.000000,17125821349.000000,,,17125821349.000000,,17125821349.000000,17125821349.000000,16960927499.000000,164893850.000000,,17125821349.000000,17125821349.000000,16960927499.000000,164893850.000000,,17125821349.000000
12M 2013,149192492189.000000,-72791778922.000000,76400713267.000000,-47119623870.000000,-580159342.000000,-46539464528.000000,-47119623870.000000,29281089397.000000,-16781039550.000000,,1501418506.000000,1501418506.000000,-883799826.000000,-99208128.000000,,-17299450102.000000,-16781039550.000000,12500049847.000000,-2823129852.000000,-5769390380.000000,-415762500.000000,3362023028.000000,-2823129852.000000,9676919995.000000,,,9676919995.000000,,9676919995.000000,9676919995.000000,9494819230.000000,182100765.000000,,9676919995.000000,9676919995.000000,9494819230.000000,182100765.000000,,9676919995.000000
12M 2014,139224709070.000000,-68135498143.000000,71089210927.000000,-41966676818.000000,-729208800.000000,-41237468018.000000,-41966676818.000000,29122534109.000000,-22550599969.000000,,2534183787.000000,2534183787.000000,-24406476068.000000,-794197980.000000,,115890292.000000,-22550599969.000000,6571934140.000000,-4785776053.000000,-7455925000.000000,-530875114.000000,3201024061.000000,-4785776053.000000,1786158087.000000,,,1786158087.000000,,1786158087.000000,1786158087.000000,1786158087.000000,,,1786158087.000000,1786158087.000000,1676536653.000000,109621434.000000,,1786158087.000000
12M 2015,114442129506.000000,-58262951013.000000,56179178493.000000,-41053965171.000000,-108308986.000000,-40945656185.000000,-41053965171.000000,15125213322.000000,-14881325441.000000,,22071663.000000,22071663.000000,-14761577772.000000,-869552944.000000,833850000.000000,-106116388.000000,-14881325441.000000,243887881.000000,-1621682387.000000,,-2019125537.000000,397443150.000000,-1621682387.000000,-1377794506.000000,,,-1377794506.000000,1647847796.000000,270053290.000000,270053290.000000,247550481.000000,22502809.000000,,270053290.000000,-1377794506.000000,-1400129035.000000,22334529.000000,,-1377794506.000000
12M 2016,118980274935.000000,-29246943578.000000,89733331357.000000,-41898221001.000000,-75868566.000000,-41822352435.000000,-41898221001.000000,47835110356.000000,-45933162223.000000,39981713.000000,,39981713.000000,-45403215650.000000,-211674408.000000,,-358253878.000000,-45933162223.000000,1901948133.000000,-405263837.000000,,-405263837.000000,,-405263837.000000,1496684296.000000,,,1496684296.000000,,1496684296.000000,1496684296.000000,1555695448.000000,-59011152.000000,,1496684296.000000,1496684296.000000,1555695448.000000,-59011152.000000,,1496684296.000000
12M 2017,101290601189.000000,-32150617746.000000,69139983443.000000,-49195296031.000000,-102024954.000000,-49093271077.000000,-49195296031.000000,19944687412.000000,-7163762478.000000,18938235153.000000,,18938235153.000000,-25982344898.000000,65802602.000000,,-185455335.000000,-7163762478.000000,12780924934.000000,654651560.000000,,-225718436.000000,880369996.000000,654651560.000000,13435576494.000000,,,13435576494.000000,-460568181.000000,12975008313.000000,13435576494.000000,13403931872.000000,31644622.000000,,13435576494.000000,12975008313.000000,12943436602.000000,31571711.000000,,12975008313.000000
12M 2018,124080164208.000000,-54507260740.000000,69572903468.000000,-61156507607.000000,,-61156507607.000000,-61156507607.000000,8416395861.000000,-20151584491.000000,4929492.000000,,4929492.000000,-19785246472.000000,-236719403.000000,55000000.000000,-189548108.000000,-20151584491.000000,-11735188630.000000,580356724.000000,,-349677387.000000,930034111.000000,580356724.000000,-11154831906.000000,,,-11154831906.000000,1196536691.000000,-9958295215.000000,-11154831904.000000,-11079240030.000000,-75591874.000000,,-11154831904.000000,-9958295215.000000,-9882808915.000000,-75486300.000000,,-9958295215.000000
12M 2019,124404122319.000000,-57753179405.000000,66650942914.000000,-63452909141.000000,,-63452909141.000000,-63452909141.000000,3198033773.000000,-10054882474.000000,4773684.000000,,4773684.000000,-6654837923.000000,-98108659.000000,100000000.000000,-3406709576.000000,-10054882474.000000,-6856848701.000000,-1256400818.000000,,,-1256400818.000000,-1256400818.000000,-8113249519.000000,,,-8113249519.000000,369863701.000000,-7743385818.000000,-8113249517.000000,-8257388038.000000,144138521.000000,,-8113249517.000000,-7743385817.000000,-7890235452.000000,146849635.000000,,-7743385817.000000
12M 2020,58353052116.000000,-48434905268.000000,9918146848.000000,-43700413228.000000,,-43700413228.000000,-43700413228.000000,-33782266380.000000,-14668310885.000000,1396650.000000,,1396650.000000,-15299708999.000000,172674811.000000,,457326653.000000,-14668310885.000000,-48450577265.000000,500574816.000000,,,500574816.000000,500574816.000000,-47950002449.000000,,,-47950002449.000000,4707338825.000000,-43242663624.000000,-47950002449.000000,-48193522548.000000,243520099.000000,,-47950002449.000000,-43242663624.000000,-43527150055.000000,284486431.000000,,-43242663624.000000
12M 2021,62865727528.000000,-49723341044.000000,13142386484.000000,-40599927508.000000,,-40599927508.000000,-40599927508.000000,-27457541024.000000,-5403279094.000000,1087585.000000,,1087585.000000,-886582447.000000,-3386420593.000000,264000000.000000,-1395363639.000000,-5403279094.000000,-32860820118.000000,-211080453.000000,,,-211080453.000000,-211080453.000000,-33071900571.000000,,,-33071900571.000000,5041872738.000000,-28030027833.000000,,,,,,-28030027833.000000,-28418512862.000000,388485029.000000,,-28030027833.000000
12M 2022,2109713641.000000,-803517087.000000,1306196554.000000,-1714945367.000000,,-1714945367.000000,-1714945367.000000,-408748813.000000,-830330811.000000,891289.000000,,891289.000000,-394439477.000000,789237.000000,,-437571860.000000,-830330811.000000,-1239079624.000000,1097120921.000000,,,1097120921.000000,1097120921.000000,-141958703.000000,,,-141958703.000000,-302749473.000000,-444708176.000000,-141958704.000000,-141643917.000000,-314787.000000,,-141958704.000000,-444708177.000000,-444960830.000000,252653.000000,,-444708177.000000
12M 2023,2982198590.000000,-1251282202.000000,1730916388.000000,-6953793729.000000,,-6953793729.000000,-6953793729.000000,-5222877341.000000,74671155059.000000,1620717.000000,,1620717.000000,-1398815874.000000,-120280.000000,,76068470496.000000,74671155059.000000,69448277718.000000,392100359.000000,,,392100359.000000,392100359.000000,69840378077.000000,,,69840378077.000000,-101344335.000000,69739033742.000000,69840378076.000000,69879837916.000000,-39459840.000000,,69840378076.000000,69739033741.000000,69778493581.000000,-39459840.000000,,69739033741.000000
