Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kembali Untuk:,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Beban Bunga Dan Keuangan,Total Pembayaran Kembali Untuk:,Penerimaan Dari Operasi Lainnya,Pembayaran Untuk Beban Usaha,Penerimaan Dari Pendapatan Keuangan,Pembayaran Untuk Beban Keuangan,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Kenaikan Dana Dalam Pembatasan,Agio Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Piutang Non Usaha Kepada Pihak Berelasi,Penambahan Utang Pihak Berelasi,Penurunan Utang Pihak Berelasi,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Berelasi,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Ketiga,Peningkatan Modal Ditempatkan Dan Disetor,Peneriman Dari Setoran Modal,Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan (Pembyaran) Utang Bank Jangka Panjang,Total Penerimaan (Pembayaran) Utang Bank,Penerimaan (Pembayaran) Hasil Penerbitan Surat Utang,Pemberian Surat Utang Kepada Pihak Berelasi,Pelunasan Utang Pembiayaan Konsumen,Penerimaan Dari Eksekusi Waran Seri 1,Penerimaan Dari Pemegang Saham,Dana Dalam Pembatasan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Penurunan Kas Sehubungan Dengan Dekonsolidasi Entitas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,-36882913956.000000,43884565029.000000,,-42794968738.000000,-37972510247.000000,-80767478985.000000,,,,,,,-36882913956.000000,-221804026436.000000,-221817217118.000000,13190682.000000,,,-221804026436.000000,256352105106.000000,,,-4633401109.000000,,,124000000000.000000,,,,137785060079.000000,137785060079.000000,,,-799553864.000000,,,,256352105106.000000,-2334835286.000000,,5483209086.000000,3148373800.000000
12M 2012,-365688940.000000,76182638593.000000,,-68879975701.000000,-7668351832.000000,-76548327533.000000,,,,,,,-365688940.000000,-311783466686.000000,-311796293911.000000,12827225.000000,,,-311783466686.000000,321247636511.000000,,,-63497908035.000000,,,174000000000.000000,,,,211092470778.000000,211092470778.000000,,,-346926232.000000,,,,321247636511.000000,9098480885.000000,,3148373800.000000,12246854685.000000
12M 2013,85945033373.000000,152087280493.000000,,-50125057505.000000,-16017189615.000000,-66142247120.000000,,,,,,,85945033373.000000,-100419565882.000000,-100419565882.000000,,,,-100419565882.000000,17515822959.000000,,,,,,95309064448.000000,,,,-77543406431.000000,-77543406431.000000,34074450000.000000,-34074450000.000000,-196965040.000000,,,-52870018.000000,17515822959.000000,3041290450.000000,,11615974521.000000,14657264971.000000
12M 2014,139389950720.000000,170378129824.000000,,-9115886823.000000,-21872292281.000000,-30988179104.000000,,,,,,,139389950720.000000,-61807465874.000000,-61807465874.000000,,,,-61807465874.000000,-61216068563.000000,35085734416.000000,11516367389.000000,,,,,,,,-85935933694.000000,-85935933694.000000,-21074450000.000000,,-779917208.000000,,,-27869466.000000,-61216068563.000000,16366416283.000000,,14657264971.000000,31023681254.000000
12M 2015,39484657900.000000,118584962701.000000,,-56547876686.000000,-4253349584.000000,-60801226270.000000,3719159209.000000,,22071663.000000,-14761577772.000000,-7278731631.000000,,39484657900.000000,-27502243460.000000,-28538890585.000000,1055500000.000000,-18852875.000000,,-27502243460.000000,-36505029672.000000,,17939656859.000000,,,,,,,65516561.000000,-40965049879.000000,-40899533318.000000,-13000000000.000000,,-545208213.000000,55000.000000,,,-36505029672.000000,-24522615232.000000,,31023681254.000000,6501066022.000000
12M 2016,-21319825246.000000,117885085260.000000,,-93802342351.000000,,-93802342351.000000,,,,-45402568155.000000,,,-21319825246.000000,-131745841804.000000,-132475835725.000000,,729993921.000000,,-131745841804.000000,155741980354.000000,,,,,,,,,436977824457.000000,-251569443711.000000,185408380746.000000,-29456024248.000000,,-210376144.000000,,,,155741980354.000000,2676313304.000000,,6501066022.000000,9177379326.000000
12M 2017,30664411493.000000,118606669602.000000,,-20877703757.000000,-49195296032.000000,-70072999789.000000,-10825148575.000000,,18938235153.000000,-25982344898.000000,,,30664411493.000000,-29117564205.000000,-29117564205.000000,,,,-29117564205.000000,-4388505879.000000,,,,,,,,,312211159.000000,-4674926806.000000,-4362715647.000000,,,-25790232.000000,,,,-4388505879.000000,-2841658591.000000,,9175857106.000000,6334198515.000000
12M 2018,-53632092966.000000,118994614802.000000,,-98206352157.000000,-54744959667.000000,-152951311824.000000,341640439.000000,,4929492.000000,-20021965875.000000,,,-53632092966.000000,-100161073956.000000,-100216073956.000000,55000000.000000,,,-100161073956.000000,158092444040.000000,,,,,591843336823.000000,,60000000.000000,,-12414068674.000000,-421392525732.000000,-433806594406.000000,,,-4298377.000000,,,,158092444040.000000,4299277118.000000,,6334198515.000000,10633475633.000000
12M 2019,-93936545092.000000,122979525098.000000,,-94795344374.000000,-63452909141.000000,-158248253515.000000,-3406709576.000000,,4773684.000000,-55265880783.000000,,,-93936545092.000000,-104626421678.000000,-104726421678.000000,100000000.000000,,,-104626421678.000000,197069243825.000000,,,,,186231524984.000000,,,,-638287632.000000,10934219275.000000,10295931643.000000,,,541787198.000000,,,,197069243825.000000,-1493722945.000000,,10633475634.000000,9139752689.000000
12M 2020,-4356283236.000000,59946949055.000000,,-45460063254.000000,,-45460063254.000000,-289054716.000000,-11058191977.000000,1396650.000000,-7497318994.000000,,,-4356283236.000000,-173563678.000000,-173563678.000000,,,,-173563678.000000,4518614470.000000,,,,,3640722832.000000,,,,2805270050.000000,-1802779697.000000,1002490353.000000,,,-124598715.000000,,,,4518614470.000000,-11232444.000000,,9139752690.000000,9128520246.000000
