Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,182649786429.000000,-148837922493.000000,33811863936.000000,-24245285312.000000,,-13335253114.000000,-10910032198.000000,,-24245285312.000000,9566578624.000000,-2674751303.000000,-1994112214.000000,,-1984863701.000000,157119192.000000,,1147105420.000000,-2674751303.000000,6891827321.000000,-3226019661.000000,,,-3226019661.000000,3665807660.000000,940561693.000000,4606369353.000000,,4606369353.000000,4606369353.000000,3665807660.000000,940561693.000000,4606369353.000000,4606369353.000000,4606369353.000000,,,4606369353.000000
12M 2009,205218226732.000000,-151739556476.000000,53478670256.000000,-27554696914.000000,,-15353449146.000000,-12201247768.000000,,-27554696914.000000,25923973342.000000,-2978483733.000000,-3865742737.000000,,611403083.000000,220304708.000000,,55551213.000000,-2978483733.000000,22945489609.000000,-6938605571.000000,,,-6938605571.000000,16006884038.000000,436454415.000000,16443338453.000000,,16443338453.000000,16443338453.000000,16006884038.000000,436454415.000000,16443338453.000000,16443338453.000000,16443338453.000000,,,16443338453.000000
12M 2010,254275936956.000000,-184845926815.000000,69430010141.000000,-32357207953.000000,,-18870737271.000000,-13486470682.000000,,-32357207953.000000,37072802188.000000,-3400839529.000000,-5285612120.000000,1003783940.000000,380630201.000000,375063149.000000,,125295301.000000,-3400839529.000000,33671962659.000000,-7458620201.000000,,,-7458620201.000000,26213342458.000000,-1728177560.000000,24485164898.000000,,24485164898.000000,24485164898.000000,26213342458.000000,-1728177560.000000,24485164898.000000,24485164898.000000,24485164898.000000,,,24485164898.000000
12M 2011,328459768003.000000,-246909084681.000000,81550683322.000000,-40232338910.000000,,-24389247513.000000,-15843091397.000000,,-40232338910.000000,41318344412.000000,-6098857264.000000,-5623134511.000000,128579959.000000,-1151415183.000000,304952168.000000,,242160303.000000,-6098857264.000000,35219487148.000000,-9070607153.000000,,,-9070607153.000000,26148879995.000000,,26148879995.000000,1598745878.000000,27747625873.000000,26148879995.000000,26378674541.000000,-229794546.000000,26148879995.000000,27747625873.000000,27977420419.000000,-229794546.000000,,27747625873.000000
12M 2012,385037050333.000000,-284652639102.000000,100384411231.000000,-48370576502.000000,,-31189614957.000000,-17180961545.000000,,-48370576502.000000,52013834729.000000,-4083335097.000000,-4337376214.000000,12570000.000000,-823187549.000000,358284053.000000,,706374613.000000,-4083335097.000000,47930499632.000000,-11732752262.000000,,,-11732752262.000000,36197747370.000000,,36197747370.000000,13025956418.000000,49223703788.000000,36197747370.000000,35970304664.000000,227442706.000000,36197747370.000000,49223703788.000000,48996261082.000000,227442706.000000,,49223703788.000000
12M 2013,418668758096.000000,-302323719956.000000,116345038140.000000,-56082750416.000000,,-36203839744.000000,-19878910672.000000,,-56082750416.000000,60262287724.000000,-8273984900.000000,-3895602222.000000,72157273.000000,-5160885345.000000,401542824.000000,,308802570.000000,-8273984900.000000,51988302824.000000,-12537650003.000000,,,-12537650003.000000,39450652821.000000,,39450652821.000000,11869301495.000000,51319954316.000000,39450652821.000000,38853310468.000000,597342353.000000,39450652821.000000,51319954316.000000,50722611963.000000,597342353.000000,,51319954316.000000
12M 2014,526573620057.000000,-392784005228.000000,133789614829.000000,-69258847899.000000,,-44708556534.000000,-24550291365.000000,,-69258847899.000000,64530766930.000000,-5808989207.000000,-4826471907.000000,-66204022.000000,-1644638410.000000,409746233.000000,,318578899.000000,-5808989207.000000,58721777723.000000,-17965699441.000000,,,-17965699441.000000,40756078282.000000,,40756078282.000000,1024567327.000000,41780645609.000000,40756078282.000000,40042934792.000000,713143490.000000,40756078282.000000,41780645609.000000,41067502119.000000,713143490.000000,,41780645609.000000
12M 2015,531537606573.000000,-380173104733.000000,151364501840.000000,-74324129273.000000,,-44701934723.000000,-29622194550.000000,,-74324129273.000000,77040372567.000000,-10733454451.000000,-5162159128.000000,59696288.000000,-6436405493.000000,430817025.000000,,374596857.000000,-10733454451.000000,66306918116.000000,-19266661660.000000,,,-19266661660.000000,47040256456.000000,,47040256456.000000,-16638855532.000000,30401400924.000000,47040256456.000000,47148747496.000000,-108491040.000000,47040256456.000000,30401400924.000000,30509891964.000000,-108491040.000000,,30401400924.000000
12M 2016,568638832579.000000,-370430890081.000000,198207942498.000000,-78964880309.000000,-77712783827.000000,,,-1252096482.000000,-78964880309.000000,119243062189.000000,-794032210.000000,-3069890000.000000,,,2403137268.000000,-127279478.000000,,-794032210.000000,118449029979.000000,-27763208449.000000,,,-27763208449.000000,90685821530.000000,,90685821530.000000,216429396840.000000,307115218370.000000,90685821530.000000,87814993495.000000,2870828035.000000,90685821530.000000,307115218370.000000,304244390335.000000,2870828035.000000,,307115218370.000000
12M 2017,643591823505.000000,-450211453881.000000,193380369624.000000,-91816420342.000000,-88863894329.000000,,,-2952526013.000000,-91816420342.000000,101563949282.000000,1085360399.000000,-3109860211.000000,,,4221107845.000000,-25887235.000000,,1085360399.000000,102649309681.000000,-26453643952.000000,,,-26453643952.000000,76195665729.000000,,76195665729.000000,5797652011.000000,81993317740.000000,76195665729.000000,75355058010.000000,840607719.000000,76195665729.000000,81993317740.000000,81152710021.000000,840607719.000000,,81993317740.000000
12M 2018,739578860399.000000,-536822941320.000000,202755919079.000000,-102060604721.000000,-104224073351.000000,,,2163468630.000000,-102060604721.000000,100695314358.000000,760101543.000000,-2915405215.000000,,,3618024515.000000,57482243.000000,,760101543.000000,101455415901.000000,-27410228138.000000,,,-27410228138.000000,74045187763.000000,,74045187763.000000,297538019.000000,74342725782.000000,74045187763.000000,72355265974.000000,1689921789.000000,74045187763.000000,74342725782.000000,72652803993.000000,1689921789.000000,,74342725782.000000
12M 2019,758299364555.000000,-536138472828.000000,222160891727.000000,-111468984669.000000,-112892803173.000000,,,1423818504.000000,-111468984669.000000,110691907058.000000,1142594898.000000,-2514450960.000000,,,3501703523.000000,155342335.000000,,1142594898.000000,111834501956.000000,-34431929404.000000,,,-34431929404.000000,77402572552.000000,,77402572552.000000,72500011876.000000,149902584428.000000,77402572552.000000,73765183109.000000,3637389443.000000,77402572552.000000,149902584428.000000,146265194985.000000,3637389443.000000,,149902584428.000000
12M 2020,671540878728.000000,-446523367351.000000,225017511377.000000,-107013533562.000000,-102860009283.000000,,,-4153524279.000000,-107013533562.000000,118003977815.000000,5518676955.000000,-3215738564.000000,,,8599067976.000000,135347543.000000,,5518676955.000000,123522654770.000000,-27593583956.000000,,,-27593583956.000000,95929070814.000000,,95929070814.000000,2600613925.000000,98529684739.000000,95929070814.000000,93502477372.000000,2426593442.000000,95929070814.000000,98529684739.000000,96103091297.000000,2426593442.000000,,98529684739.000000
