Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan Dan Pajak Pertambahan Nilai,Penerimaan (Pembayaran) Piutang Lain-Lain,Penerimaan Utang Lain-Lain,Penerimaan Aset Lain-Lain,Pembayaran Aset Tidak Lancar Lainnya,Pendapatan Bunga,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penempatan Investasi Pada Obligasi,Hasil Penjualan Obligasi,Penambahan Aset Tidak Berwujud,Hasil Penjualan Aset Keuangan Tidak Lancar Lainnya,Penempatan Aset Keuangan Biaya Perolehan Diamortisasi,Investasi,Penempatan Investasi Pada Intrumen Ekuitas,Investasi Pada Perusahaan Asosiasi,Deposito Berjangka,Setoran Modal,Penurunan (Kenaikan) Piutang Berelasi,Penyertaan Saham,Penurunan Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Pembayaran Pinjaman Bank Jangka Panjang,Penerimaan Dari Pinjaman Bank,Hutang Leasing,Penerimaan Dari Pencairan Reksadana,Setoran Modal Anak Perusahaan,Jaminan Deposito,Pembayaran Dividen Tunai,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kepentingan Nonpengendali,Penerimaan Dividen Tunai,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-57107269027.000000,185865394032.000000,-196821941281.000000,-14605198102.000000,-23774403257.000000,-1681086233.000000,-2912851949.000000,-2505633148.000000,146191540.000000,15843715.000000,,157119192.000000,-990703536.000000,-57107269027.000000,-9214644233.000000,-1678485679.000000,,242933333.000000,,,,,,,,,-9530002605.000000,,,,1750910718.000000,-9214644233.000000,62756572613.000000,,,42957148742.000000,,,20909208131.000000,,-1109784260.000000,,,,,62756572613.000000,-3565340647.000000,1491310253.000000,6295823440.000000,4221793046.000000
12M 2009,-5568259218.000000,199467670261.000000,-169619642003.000000,-21583924950.000000,-7158426643.000000,-3389792011.000000,-3677212114.000000,2650647550.000000,201959017.000000,15843715.000000,,220304708.000000,-2695686748.000000,-5568259218.000000,-3302680711.000000,-1975274062.000000,-1519640925.000000,156945835.000000,,,,,,,,,,,35288441.000000,,,-3302680711.000000,5987787525.000000,,,7664847525.000000,,,,,-1677060000.000000,,,,,5987787525.000000,-2883152404.000000,1046826024.000000,4221793046.000000,2385466666.000000
12M 2010,13961224282.000000,248068922513.000000,-182125582547.000000,-27892653520.000000,-11156749540.000000,-4834796407.000000,-9700858419.000000,-123349257.000000,66436158.000000,-3350361.000000,,375063149.000000,1288142513.000000,13961224282.000000,-11998665625.000000,-4833689538.000000,-8261307953.000000,1190543792.000000,,,,,,,,,,,-94211926.000000,,,-11998665625.000000,-1007190252.000000,,,669869748.000000,,,,,-1677060000.000000,,,,,-1007190252.000000,955368405.000000,-1641836122.000000,2385466666.000000,1698998949.000000
12M 2011,14468283957.000000,317614657905.000000,-248747856689.000000,-27858944961.000000,-10519025640.000000,-5721916791.000000,-8454092723.000000,142719065.000000,173530730.000000,15843720.000000,,304952168.000000,-2481582827.000000,14468283957.000000,-5069867854.000000,-4328104218.000000,-1068285683.000000,319616028.000000,,,,,,,,,,,6906019.000000,,,-5069867854.000000,-5067812494.000000,-595652494.000000,,,,,,,-4472160000.000000,,,,,-5067812494.000000,4330603609.000000,1026716032.000000,1698998949.000000,7056318590.000000
12M 2012,28582923169.000000,377087352843.000000,-289380238405.000000,-31135984604.000000,-19942954287.000000,-4217077670.000000,-10174335751.000000,30789393.000000,-320267722.000000,,,358284053.000000,6277355319.000000,28582923169.000000,-18837700947.000000,-17012437402.000000,-1865583545.000000,40320000.000000,,,,,,,,,,,,,,-18837700947.000000,-10070278063.000000,-261518138320.000000,,256191673116.000000,,,,,-4743812859.000000,,,,,-10070278063.000000,-325055841.000000,-303587974.000000,7056318590.000000,6427674775.000000
12M 2013,23212236950.000000,405833027776.000000,-314513456964.000000,-36679873669.000000,-23166265007.000000,-3747099787.000000,-13695585803.000000,-8039018.000000,946388474.000000,,,401542824.000000,7841598124.000000,23212236950.000000,-29475171484.000000,-26178326687.000000,-3369002070.000000,72157273.000000,,,,,,,,,,,,,,-29475171484.000000,9840851053.000000,-337004450052.000000,,352231695968.000000,,,,,-5386394863.000000,,,,,9840851053.000000,3577916519.000000,-165072019.000000,6427674775.000000,9840519275.000000
12M 2014,4641305865.000000,515352505684.000000,-413525943907.000000,-43926938390.000000,-29376256939.000000,-4863010605.000000,-18517921240.000000,25712647.000000,272753824.000000,,-216602100.000000,409746233.000000,-992739342.000000,4641305865.000000,-12113426596.000000,-7756495940.000000,-4883947600.000000,527016944.000000,,,,,,,,,,,,,,-12113426596.000000,10915085143.000000,-624832575077.000000,,641798559189.000000,,,,,-6050898969.000000,,,,,10915085143.000000,3442964412.000000,-60930059.000000,9840519275.000000,13222553628.000000
12M 2015,100935448358.000000,535360081059.000000,-325846694494.000000,-49028105779.000000,-30197915299.000000,-5265164142.000000,-16994604063.000000,-1039516586.000000,1033360802.000000,,-83863550.000000,430817025.000000,-7432946615.000000,100935448358.000000,-10007610318.000000,-6125145575.000000,-4345997698.000000,463532955.000000,,,,,,,,,,,,,,-10007610318.000000,-54737506820.000000,-537367185978.000000,,488680026370.000000,,,,,-6050347212.000000,,,,,-54737506820.000000,36190331220.000000,106930721.000000,13222553628.000000,49519815569.000000
12M 2016,84490481400.000000,557204672943.000000,-358760725679.000000,-51957120815.000000,-28193458368.000000,-3001903402.000000,-15028285649.000000,,,,,2403137268.000000,-18175834898.000000,84490481400.000000,-41893775600.000000,-36131105046.000000,-5625573519.000000,75025455.000000,,,,,,,,,,,,-212122490.000000,,-41893775600.000000,2766852985.000000,-223511508608.000000,,233005312727.000000,,,,,-6726951134.000000,,,,,2766852985.000000,45363558785.000000,-33671687.000000,49519815569.000000,94849702667.000000
12M 2017,51605876745.000000,633831537147.000000,-446505380326.000000,-59223934524.000000,-33976453129.000000,-3247098887.000000,-38261692997.000000,,,,,4221107844.000000,-5232208383.000000,51605876745.000000,-27945652598.000000,-25599419128.000000,-6204097105.000000,3857863635.000000,,,,,,,,,,,,,,-27945652598.000000,-6347595449.000000,-156013963375.000000,,160759297902.000000,,,,,-11092929976.000000,,,,,-6347595449.000000,17312628698.000000,61858310.000000,94849702667.000000,112224189675.000000
