Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha,Penerimaan Dari (Pembayaran Untuk):,Pendapatan Bunga,Pajak Penghasilan,Penurunan Pajak Dibayar Dimuka,Beban Bunga,Restitusi Pajak,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Pada Entitas Asosiasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Uang Muka Untuk Perolehan Aset Tetap,Pendapatan Bunga,Pendapatan Dari Kontrak Pengelolaan Dana,Pengembalian Uang Muka Pembelian Aset Takberwujud,Penambahan Aset Dalam Penyelesaian,Penjualan Aset Tetap,Pencairan (Penempatan) Deposito Berjangka,Pencairan Deposito,Penambahan Uang Jaminan,Perolehan Perangkat Lunak,Perolehan Dividen Dari Entitas Asosiasi,Penempatan Pada Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Penerimaan Dari Investasi Jangka Panjang,Penempatan Pada Investasi Jangka Panjang,Penempatan Investasi Pada Ventura Bersama,Penghasilan Dari Investasi Jangka Pendek,Penghasilan Bunga Dari Investasi Jangka Panjang,Akuisisi Bisnis Dan Entitas Anak,Penerimaan Dari Pengalihan Bisnis Perangkat Lunak,Penjualan Segmen Usaha,Penerimaan Dari Pengalihan Hmetd,Pembayaran Utang Usaha Terkait Perolehan Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham Melalui Penawaran Umum Terbatas I,Biaya Penerbitan Saham Melalui Penawaran Umum Terbatas I,Penerimaan Dari Utang Pihak Berelasi,Penerimaan Utang Obligasi Wajib Konversi,Pembayaran Utang Obligasi Wajib Konversi,Penerimaan Utang Jangka Panjang,Pembayaran Utang Jangka Panjang,Pembayaran Utang Jangka Pendek Lainnya,Piutang Pada Pihak Yang Mempunyai Hubungan Istimewa,Penempatan Dana Yang Dibatasi Penggunannya,Pembayaran Dividen Kas,Kontribusi Modal Dari Kepentingan Non Pengendali,Pembayaran Pinjaman Ke Pihak Ketiga,Utang Pembiayaan Konsumen,Pembayaran Provisi Atas Pinjaman Bank,Uang Muka Setoran Modal,Pengembalian Uang Muka Setoran Modal,Pembayaran Utang Sewa,Pembayaran Bunga Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,4702727729.000000,9674578267.000000,-4971850538.000000,,,,,,,,,,,,4702727729.000000,-5747361561.000000,,-11700472727.000000,,,128856049.000000,,,,5824255117.000000,,,,,,,,,,,,,,,,,,,-5747361561.000000,1894811548.000000,,,,,,,,,2500000000.000000,,,,,,,,,-605188452.000000,,1894811548.000000,,850177716.000000,824068339.000000,1674246055.000000
12M 2009,-1060964507.000000,16115013317.000000,-17175977824.000000,,,,,,,,,,,,-1060964507.000000,-3023466918.000000,,-1734284322.000000,,,22161773.000000,,,-1311344369.000000,,,,,,,,,,,,,,,,,,,,-3023466918.000000,2500000000.000000,,,,,,,,,2500000000.000000,,,,,,,,,,,2500000000.000000,,-1584431425.000000,1674246055.000000,89814630.000000
12M 2010,1447294124.000000,16195191916.000000,-14747897792.000000,,,,,,,,,,,,1447294124.000000,-950495939.000000,,-958626899.000000,,,8130960.000000,,,,,,,,,,,,,,,,,,,,,,,-950495939.000000,,,,,,,,,,,,,,,,,,,,,,,496798185.000000,89814630.000000,586612815.000000
12M 2011,-78896851.000000,17865376530.000000,-17944273381.000000,,,,,,,,,,,,-78896851.000000,43005018.000000,,-6845028.000000,,,6209990.000000,,,,,,,,,,,,,,,,,,,,,,43640056.000000,43005018.000000,267383370.000000,,,267383370.000000,,,,,,,,,,,,,,,,,267383370.000000,,231491537.000000,586412815.000000,817904352.000000
12M 2012,367523618.000000,13443143034.000000,-7933005536.000000,-2929345226.000000,-473115993.000000,,,-174452126.000000,,-3344961.000000,,,-1562355574.000000,,367523618.000000,-43919700.000000,,-43919700.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-43919700.000000,-34931409.000000,,,,,,-34931409.000000,,,,,,,,,,,,,,-34931409.000000,,288672509.000000,817954351.000000,1106626860.000000
12M 2013,3881510833.000000,9767652182.000000,-9015321477.000000,-3451386593.000000,-1898989215.000000,,8637987783.000000,-171636099.000000,,-181643.000000,,64403413.000000,-51017518.000000,,3881510833.000000,-6716314556040.000000,-6715006451300.000000,-980645087.000000,,,,,,,,,,-327459653.000000,,,,,,,,,,,,,,,,-6716314556040.000000,6982806263326.000000,7000000000000.000000,-15824899162.000000,-1359421387.000000,,,-9416125.000000,,,,,,,,,,,,,,6982806263326.000000,,270373218119.000000,1106626860.000000,271479844979.000000
12M 2014,8246109022.000000,2424252937.000000,-229300768.000000,-6868206839.000000,-7999982696.000000,,20947380430.000000,-57929094.000000,,,,91167773.000000,-61272721.000000,,8246109022.000000,26203716876.000000,,-1196676605.000000,-3338359863.000000,,,4316666667.000000,,,,,,-4382743.000000,,26426469420.000000,,,,,,,,,,,,,,26203716876.000000,,,,,,,,,,,,,,,,,,,,,,,34449825898.000000,271479844979.000000,305929670877.000000
12M 2015,-18551966137.000000,8296072727.000000,,-16823603127.000000,-12492833762.000000,,3380662552.000000,-569761730.000000,,-234169438.000000,,,-108333359.000000,,-18551966137.000000,-236622053365.000000,,-13031593826.000000,-1780115200.000000,,,1036291667.000000,,,73359509.000000,,,,,30269134890.000000,-250000000000.000000,,,,,,,-3189130405.000000,,,,,,-236622053365.000000,-31505580000.000000,,,,,,,,,,,-28368000000.000000,1000000.000000,-3095000000.000000,-43580000.000000,,,,,,-31505580000.000000,,-286679599502.000000,305929670877.000000,19250071375.000000
12M 2016,-59295089561.000000,12943637974.000000,,-27711634109.000000,-25021372708.000000,,2225876860.000000,-6640550099.000000,,-13987502427.000000,,,-1103545052.000000,,-59295089561.000000,90127719179.000000,,-184042322776.000000,-6265516990.000000,,,,,,3381818.000000,,,-262904920.000000,,31218449790.000000,241304814075.000000,,,,,,,,8171818182.000000,,,,,90127719179.000000,12902838474.000000,,,,,,83451196474.000000,-40000000000.000000,,,,-28368000000.000000,,-2000000000.000000,-180358000.000000,,,,,,12902838474.000000,,43735468092.000000,19250071375.000000,62985539467.000000
12M 2017,-121774273690.000000,17958888242.000000,,-45995969732.000000,-75627218007.000000,,4243543810.000000,-3109458223.000000,,-17665827209.000000,,,-1578232571.000000,,-121774273690.000000,-1045805474733.000000,,-183813794113.000000,-1705024321.000000,,,,,,,,,-408749207.000000,,39768475560.000000,-900000000000.000000,,,,,,,,,,353617348.000000,,,-1045805474733.000000,2142593122881.000000,,,,150000000000.000000,-150000000000.000000,2143195921485.000000,,,,,,,,-602798604.000000,,,,,,2142593122881.000000,,975013374458.000000,62985539467.000000,1037998913925.000000
12M 2018,-294354133522.000000,84955851445.000000,,-63682853032.000000,-122717842271.000000,,14325750860.000000,-2813105647.000000,,-223766589720.000000,20775750476.000000,,-1431095633.000000,,-294354133522.000000,-3549044749804.000000,,-388405668933.000000,-138795000.000000,,,,,,22500000.000000,,,-4318028968.000000,,27156241590.000000,-3186692497336.000000,,,,,175879659747.000000,,,,,,-172548160904.000000,,-3549044749804.000000,3147683373388.000000,,,,120000000000.000000,,3028642888137.000000,,,,,,,,-959514749.000000,,,,,,3147683373388.000000,,-695715509938.000000,1037998913925.000000,342283403987.000000
12M 2019,-531706155518.000000,205311206490.000000,,-84405924908.000000,-151368453102.000000,,9952936096.000000,-16370002314.000000,,-526533974940.000000,31708057160.000000,,,,-531706155518.000000,-343453478938.000000,,-522815709616.000000,-13977500.000000,,,,,,,-17900000000.000000,,3649930880.000000,,38475735132.000000,-102000000000.000000,,,,-1250000000.000000,437772103306.000000,,,,,,-179371561140.000000,,-343453478938.000000,691130568879.000000,,,,138000000000.000000,,566930976046.000000,,,,-12871189944.000000,,,,-929217223.000000,,,,,,691130568879.000000,,-184029065577.000000,342283403987.000000,158254338410.000000
12M 2020,-310073793849.000000,419387223984.000000,,-92107935917.000000,-107962144337.000000,,3955994147.000000,-24296103328.000000,,-557403608096.000000,48883214429.000000,,-530434731.000000,,-310073793849.000000,-753496300486.000000,,-475055857005.000000,-796665000.000000,,,,,,344454107.000000,17900000000.000000,,233463560.000000,,41025635911.000000,-759500000000.000000,,26887108154.000000,-164640000000.000000,,572102181679.000000,12473285177.000000,,,,,-24469907069.000000,,-753496300486.000000,1082674485907.000000,,,,150000000000.000000,,957946643241.000000,,,,-338209616.000000,,,,-575669332.000000,,,,-18144402108.000000,-6213876278.000000,1082674485907.000000,,19104391572.000000,158254338410.000000,177358729982.000000
12M 2021,-47696000000.000000,768460000000.000000,,-116523000000.000000,-131989000000.000000,,5478000000.000000,-47154000000.000000,,-564613000000.000000,41346000000.000000,,-2701000000.000000,,-47696000000.000000,711995000000.000000,,-386874000000.000000,-501000000.000000,,,,,,105000000.000000,,,-2024000000.000000,,77316000000.000000,481000000000.000000,,51468000000.000000,,-15000000000.000000,566414000000.000000,16007000000.000000,,,,,-75916000000.000000,,711995000000.000000,-401606000000.000000,,,,,,13006000000.000000,-510500000000.000000,,,-5975000000.000000,,,,-365000000.000000,,145000000000.000000,,-42772000000.000000,,-401606000000.000000,,262693000000.000000,177359000000.000000,440052000000.000000
12M 2022,-65131000000.000000,993240000000.000000,,-166648000000.000000,-334764000000.000000,,7550000000.000000,-55716000000.000000,,-509478000000.000000,98000000.000000,,587000000.000000,,-65131000000.000000,722413000000.000000,,-273504000000.000000,-555000000.000000,,,,,,97000000.000000,-179500000000.000000,,260000000.000000,,95987000000.000000,671000000000.000000,,59125000000.000000,,-5000000000.000000,519747000000.000000,13560000000.000000,,,,,-178804000000.000000,,722413000000.000000,-728276000000.000000,,,,,-150000000000.000000,360278000000.000000,-751750000000.000000,,,-291000000.000000,,,,-421000000.000000,,,-145000000000.000000,-41092000000.000000,,-728276000000.000000,,-70994000000.000000,440052000000.000000,369058000000.000000
12M 2023,333657000000.000000,1336180000000.000000,,-207609000000.000000,-252392000000.000000,,21446000000.000000,-54532000000.000000,,-523458000000.000000,16784000000.000000,,-2762000000.000000,,333657000000.000000,-510067000000.000000,,-395273000000.000000,-1340000000.000000,,,,,,189000000.000000,179500000000.000000,,375000000.000000,,169890000000.000000,1801500000000.000000,,27160000000.000000,-2400000000000.000000,,385250000000.000000,88050000000.000000,,,,,-365368000000.000000,,-510067000000.000000,721062000000.000000,,,,,,3978438000000.000000,-3658500000000.000000,,,-302000000.000000,,,,-697000000.000000,,420000000000.000000,,-17877000000.000000,,721062000000.000000,,544652000000.000000,369058000000.000000,913710000000.000000
12M 2024,199496000000.000000,1387349000000.000000,,-232634000000.000000,-390629000000.000000,,42819000000.000000,-93765000000.000000,,-540522000000.000000,18983000000.000000,,7895000000.000000,,199496000000.000000,395772000000.000000,,-552331000000.000000,-57510000000.000000,,,,,,,,,-1461000000.000000,,139787000000.000000,750000000000.000000,,,,,210637000000.000000,281615000000.000000,,,,,-374965000000.000000,,395772000000.000000,-441473000000.000000,,,,,,982683000000.000000,-992250000000.000000,,,-312000000.000000,,,,-1271000000.000000,,-420000000000.000000,,-10323000000.000000,,-441473000000.000000,,153795000000.000000,913710000000.000000,1067505000000.000000
