Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Investasi Jangka Panjang,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Dari Pihak Berelasi,Pinjaman Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Konversi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1674246055.000000,,,,,,,,3514813109.000000,5189059164.000000,,,,2500000000.000000,1001248978.000000,12217357859.000000,,,,15718606837.000000,20907666001.000000,,,259905569.000000,,,,259905569.000000,,,,,,,,,,259905569.000000,8786439630.000000,,,,,8786439630.000000,,,8786439630.000000,,,,8786439630.000000,9046345199.000000,,46000000000.000000,,-31813956746.000000,,,-31813956746.000000,,-2324722452.000000,11861320802.000000,20907666001.000000,184000000.000000
12M 2009,,,89814630.000000,,374308636.000000,374308636.000000,,374308636.000000,115310998.000000,,693314156.000000,1272748420.000000,,,,,1102653256.000000,14930110240.000000,,,,16032763496.000000,17305511916.000000,,,1069679231.000000,35500000.000000,244311669.000000,396173291.000000,54603362.000000,,,,,,,,,339090909.000000,1069679231.000000,1310411159.000000,,,,,968178675.000000,,,968178675.000000,,,342232484.000000,1310411159.000000,2380090390.000000,,46000000000.000000,,-28749856022.000000,,,-28749856022.000000,,-2324722452.000000,14925421526.000000,17305511916.000000,184000000.000000
12M 2010,,,586612815.000000,,633128615.000000,633128615.000000,,633128615.000000,28864502.000000,,360655473.000000,1609261405.000000,,,,,222311468.000000,14808219853.000000,,,,15030531321.000000,16639792726.000000,,,560296432.000000,,229006817.000000,182952123.000000,72832446.000000,,,,,,,,,75505046.000000,560296432.000000,1629082206.000000,,,,,1180505014.000000,,,1180505014.000000,,,448577192.000000,1629082206.000000,2189378638.000000,,46000000000.000000,,-29224863460.000000,,,-29224863460.000000,,-2324722452.000000,14450414088.000000,16639792726.000000,184000000.000000
12M 2011,,,817954352.000000,,1135960810.000000,1135960810.000000,,1135960810.000000,32349995.000000,,295813290.000000,2282078447.000000,,,,,276216457.000000,14560919110.000000,,,,14837135567.000000,17119214014.000000,,,2291568933.000000,845311262.000000,2500000.000000,9642654.000000,1388260666.000000,,,,,,,,,45854351.000000,2291568933.000000,1986853235.000000,,,,,1359421387.000000,,,1359421387.000000,,,627431848.000000,1986853235.000000,4278422168.000000,,46000000000.000000,,-30834485701.000000,,,-30834485701.000000,,-2324722452.000000,12840791847.000000,17119214015.000000,184000000.000000
12M 2012,,,1106626860.000000,,1728310974.000000,8800000.000000,1719510974.000000,1728310974.000000,16728832.000000,,30936426.000000,2882603092.000000,,,,,207038222.000000,13731574773.000000,,,,13938612995.000000,16821216087.000000,,,3341551514.000000,1444418861.000000,2523342.000000,376407084.000000,131612515.000000,1359421387.000000,,,,9416125.000000,,,9416125.000000,17752200.000000,3341551514.000000,778216998.000000,,,,,,,,,,,778216998.000000,778216998.000000,4119768512.000000,,46000000000.000000,-2324722452.000000,-30973829973.000000,,,-30973829973.000000,,,12701447575.000000,16821216087.000000,184000000.000000
12M 2013,,,271479844979.000000,,451000000.000000,451000000.000000,,451000000.000000,2067379050.000000,,1449157889.000000,275447381918.000000,,6902103434836.000000,,,226162336.000000,14096430398.000000,,,495860805.000000,6916921888375.000000,7192369270293.000000,,,1763468314.000000,,,1638167692.000000,95246544.000000,,,,,,,,,30054078.000000,1763468314.000000,840646000.000000,,,,,,,,,,,840646000.000000,840646000.000000,2604114314.000000,,3546000000000.000000,3481850378386.000000,161914777593.000000,,,161914777593.000000,,,7189765155979.000000,7192369270293.000000,14184000000.000000
12M 2014,,,305929670877.000000,,,,,,362023719.000000,,137938904.000000,306429633500.000000,,7258956026097.000000,,,311344162.000000,14557138436.000000,3971762593.000000,,546328606.000000,7278342599894.000000,7584772233394.000000,,,1239967906.000000,78322132.000000,,825208408.000000,166064193.000000,,,,,,,,,170373173.000000,1239967906.000000,1187026000.000000,,,,,,,,,,,1187026000.000000,1187026000.000000,2426993906.000000,,3546000000000.000000,3481850378386.000000,554494861102.000000,,,554494861102.000000,,,7582345239488.000000,7584772233394.000000,14184000000.000000
12M 2015,,,19250071375.000000,250000000000.000000,4939360616.000000,4852236307.000000,87124309.000000,4939360616.000000,24540195036.000000,,6295350772.000000,305024977799.000000,,7534460042284.000000,,,647050750.000000,78493697103.000000,4907954085.000000,,4994970485.000000,7623503714707.000000,7928528692506.000000,,,17723582704.000000,4272460783.000000,199000000.000000,6847929491.000000,4060597805.000000,,2000000000.000000,,,207005000.000000,,,207005000.000000,136589625.000000,17723582704.000000,42716805000.000000,40000000000.000000,,,,,130740000.000000,,130740000.000000,,,2586065000.000000,42716805000.000000,60440387704.000000,,3546000000000.000000,3481850378386.000000,831990365964.000000,5000000000.000000,826990365964.000000,831990365964.000000,8165142952.000000,82417500.000000,7868088304802.000000,7928528692506.000000,14184000000.000000
12M 2016,,,62985539467.000000,45058471471.000000,14316991462.000000,14033619912.000000,283371550.000000,14316991462.000000,4264272162.000000,,21472263776.000000,148097538338.000000,,7922618950675.000000,,,1118190597.000000,198840506207.000000,7453655253.000000,,56936374364.000000,8186967677096.000000,8335065215434.000000,,,17536357951.000000,9909069850.000000,2734312032.000000,1734638843.000000,2790933027.000000,,,,,254762300.000000,,,254762300.000000,112641899.000000,17536357951.000000,88152137853.000000,83451196474.000000,,,,,307203379.000000,,307203379.000000,,,4393738000.000000,88152137853.000000,105688495804.000000,,3546000000000.000000,3481850378386.000000,1214486371920.000000,10000000000.000000,1204486371920.000000,1214486371920.000000,-4707047599.000000,-8252983077.000000,8229376719630.000000,8335065215434.000000,14184000000.000000
12M 2017,,,1037998913925.000000,949205941527.000000,50644395911.000000,48983091284.000000,1661304627.000000,50644395911.000000,6964855191.000000,,55028380249.000000,2099842486803.000000,,8206322704716.000000,,,2433812633.000000,521315676002.000000,8609941056.000000,,61420261966.000000,8800102396373.000000,10899944883176.000000,,,338416277625.000000,172739534300.000000,5822172686.000000,5116413198.000000,4460421137.000000,,,,149384614368.000000,,689210506.000000,,150073824874.000000,203911430.000000,338416277625.000000,2090694561922.000000,2081090240322.000000,,,,,832585600.000000,,832585600.000000,,,8771736000.000000,2090694561922.000000,2429110839547.000000,,3546000000000.000000,3481850378386.000000,1422844886073.000000,11000000000.000000,1411844886073.000000,1422844886073.000000,-37805332182.000000,57944111352.000000,8470834043629.000000,10899944883176.000000,14184000000.000000
