Period,Aset,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Deposito Berjangka,Piutang Pembiayaan Konsumen,Pihak Ketiga,Pihak Berelasi,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Pinjaman Yang Diterima,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diterima,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Surat Berharga Jangka Menengah,Pihak Ketiga,Pihak Berelasi,Total Surat Berharga Jangka Menengah,Utang Obligasi,Pihak Ketiga,Pihak Berelasi,Total Utang Obligasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Liabilitas Derivatif,Sukuk Mudharabah,Pihak Ketiga,Pihak Berelasi,Total Sukuk Mudharabah,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,376303000000.000000,376303000000.000000,10000000.000000,,1886017000000.000000,19339000000.000000,1905356000000.000000,,13222000000.000000,1708000000.000000,14930000000.000000,176620000000.000000,,,,828599000000.000000,3301818000000.000000,,,145833000000.000000,,,145833000000.000000,259897000000.000000,259364000000.000000,533000000.000000,259897000000.000000,,,,,1199833000000.000000,1165833000000.000000,34000000000.000000,1199833000000.000000,243328000000.000000,179502000000.000000,63826000000.000000,243328000000.000000,37081000000.000000,,,,,,191233000000.000000,,2077205000000.000000,,100000000000.000000,,1124613000000.000000,17008000000.000000,1107605000000.000000,1124613000000.000000,,1224613000000.000000,3301818000000.000000,1000000000.000000
12M 2008,,,474195000000.000000,474195000000.000000,,,1816195000000.000000,5259000000.000000,1821454000000.000000,,11148000000.000000,4392000000.000000,15540000000.000000,201006000000.000000,,,,1079829000000.000000,3592024000000.000000,,,95833000000.000000,,,95833000000.000000,298885000000.000000,298747000000.000000,138000000.000000,298885000000.000000,,,,,749043000000.000000,734043000000.000000,15000000000.000000,749043000000.000000,65330000000.000000,26206000000.000000,39124000000.000000,65330000000.000000,224863000000.000000,,,,,,208067000000.000000,,1642021000000.000000,,100000000000.000000,,1850003000000.000000,22608000000.000000,1827395000000.000000,1850003000000.000000,,1950003000000.000000,3592024000000.000000,1000000000.000000
12M 2009,,,487007000000.000000,487007000000.000000,,,2561914000000.000000,,2561914000000.000000,,14902000000.000000,2297000000.000000,17199000000.000000,188514000000.000000,,,,1074915000000.000000,4329549000000.000000,,,225000000000.000000,,,225000000000.000000,353852000000.000000,351450000000.000000,2402000000.000000,353852000000.000000,,,,,676854000000.000000,550854000000.000000,126000000000.000000,676854000000.000000,151452000000.000000,109075000000.000000,42377000000.000000,151452000000.000000,51004000000.000000,,,,,,218984000000.000000,,1677146000000.000000,,100000000000.000000,,2552403000000.000000,32810000000.000000,2519593000000.000000,2552403000000.000000,,2652403000000.000000,4329549000000.000000,1000000000.000000
12M 2010,,,618529000000.000000,618529000000.000000,,,6543673000000.000000,153000000.000000,6543826000000.000000,,29826000000.000000,1574000000.000000,31400000000.000000,191360000000.000000,,34843000000.000000,,179657000000.000000,7599615000000.000000,,,50000000000.000000,,,50000000000.000000,618286000000.000000,614391000000.000000,3895000000.000000,618286000000.000000,,,,,2535232000000.000000,2314232000000.000000,221000000000.000000,2535232000000.000000,245057000000.000000,163335000000.000000,81722000000.000000,245057000000.000000,53479000000.000000,,,,,,302802000000.000000,,3804856000000.000000,,100000000000.000000,,3694759000000.000000,44934000000.000000,3649825000000.000000,3694759000000.000000,,3794759000000.000000,7599615000000.000000,1000000000.000000
12M 2011,,,2793446000000.000000,2793446000000.000000,,,13240556000000.000000,316000000.000000,13240872000000.000000,,113333000000.000000,9368000000.000000,122701000000.000000,263440000000.000000,,28513000000.000000,,440480000000.000000,16889452000000.000000,,,2956654000000.000000,,,2956654000000.000000,745302000000.000000,736312000000.000000,8990000000.000000,745302000000.000000,399011000000.000000,,,399011000000.000000,7405932000000.000000,6888932000000.000000,517000000000.000000,7405932000000.000000,495580000000.000000,283302000000.000000,212278000000.000000,495580000000.000000,62129000000.000000,,,,,,403475000000.000000,,12468083000000.000000,,100000000000.000000,,4323940000000.000000,59613000000.000000,4264327000000.000000,4323940000000.000000,-2571000000.000000,4421369000000.000000,16889452000000.000000,1000000000.000000
12M 2012,,,2248641000000.000000,2248641000000.000000,,,22151556000000.000000,619000000.000000,22152175000000.000000,,148734000000.000000,10846000000.000000,159580000000.000000,289840000000.000000,,41048000000.000000,,569173000000.000000,25460457000000.000000,,,8285757000000.000000,6358481000000.000000,1927276000000.000000,8285757000000.000000,397037000000.000000,366249000000.000000,30788000000.000000,397037000000.000000,399611000000.000000,359611000000.000000,40000000000.000000,399611000000.000000,9401960000000.000000,9243960000000.000000,158000000000.000000,9401960000000.000000,895056000000.000000,786621000000.000000,108435000000.000000,895056000000.000000,145986000000.000000,16263000000.000000,,,,,395722000000.000000,487298000000.000000,20424690000000.000000,,100000000000.000000,,4951078000000.000000,75446000000.000000,4875632000000.000000,4951078000000.000000,-15311000000.000000,5035767000000.000000,25460457000000.000000,1000000000.000000
12M 2013,,,342547000000.000000,342547000000.000000,921584000000.000000,,27007796000000.000000,321000000.000000,27008117000000.000000,,126356000000.000000,9349000000.000000,135705000000.000000,282981000000.000000,,47635000000.000000,,2255842000000.000000,30994411000000.000000,,,11251911000000.000000,8818007000000.000000,2433904000000.000000,11251911000000.000000,510476000000.000000,453774000000.000000,56702000000.000000,510476000000.000000,,,,,10983556000000.000000,10501756000000.000000,481800000000.000000,10983556000000.000000,852113000000.000000,720640000000.000000,131473000000.000000,852113000000.000000,88813000000.000000,2639000000.000000,379000000000.000000,,,379000000000.000000,347425000000.000000,556493000000.000000,24972426000000.000000,,100000000000.000000,,5948983000000.000000,89633000000.000000,5859350000000.000000,5948983000000.000000,-26998000000.000000,6021985000000.000000,30994411000000.000000,1000000000.000000
12M 2014,,,422120000000.000000,422120000000.000000,457050000000.000000,,26072609000000.000000,366000000.000000,26072975000000.000000,,119221000000.000000,44385000000.000000,163606000000.000000,296144000000.000000,,62177000000.000000,,2456810000000.000000,29930882000000.000000,,,12454111000000.000000,11215833000000.000000,1238278000000.000000,12454111000000.000000,591797000000.000000,563107000000.000000,28690000000.000000,591797000000.000000,,,,,10724658000000.000000,10081403000000.000000,643255000000.000000,10724658000000.000000,827406000000.000000,668680000000.000000,158726000000.000000,827406000000.000000,64300000000.000000,27823000000.000000,446000000000.000000,,,446000000000.000000,154939000000.000000,572279000000.000000,25863313000000.000000,,100000000000.000000,,4041148000000.000000,106705000000.000000,3934443000000.000000,4041148000000.000000,-73579000000.000000,4067569000000.000000,29930882000000.000000,1000000000.000000
12M 2015,,,433302000000.000000,433302000000.000000,626683000000.000000,,23389605000000.000000,323000000.000000,23389928000000.000000,,102188000000.000000,41615000000.000000,143803000000.000000,243392000000.000000,,73990000000.000000,65663000000.000000,2767446000000.000000,27744207000000.000000,,,11388433000000.000000,11388433000000.000000,,11388433000000.000000,685099000000.000000,647765000000.000000,37334000000.000000,685099000000.000000,,,,,9088134000000.000000,8579934000000.000000,508200000000.000000,9088134000000.000000,733280000000.000000,609689000000.000000,123591000000.000000,733280000000.000000,58261000000.000000,,831000000000.000000,,,831000000000.000000,,599211000000.000000,23383418000000.000000,,100000000000.000000,,4240619000000.000000,114626000000.000000,4125993000000.000000,4240619000000.000000,20170000000.000000,4360789000000.000000,27744207000000.000000,1000000000.000000
12M 2016,,,360555000000.000000,360555000000.000000,580393000000.000000,,24439733000000.000000,40000000.000000,24439773000000.000000,,149175000000.000000,53371000000.000000,202546000000.000000,224963000000.000000,,80350000000.000000,311225000000.000000,1443299000000.000000,27643104000000.000000,,,11619525000000.000000,10919525000000.000000,700000000000.000000,11619525000000.000000,700223000000.000000,694383000000.000000,5840000000.000000,700223000000.000000,,,,,8432979000000.000000,8111379000000.000000,321600000000.000000,8432979000000.000000,990200000000.000000,822546000000.000000,167654000000.000000,990200000000.000000,33645000000.000000,,190000000000.000000,,,190000000000.000000,,699333000000.000000,22665905000000.000000,,100000000000.000000,,4886349000000.000000,121275000000.000000,4765074000000.000000,4886349000000.000000,-9150000000.000000,4977199000000.000000,27643104000000.000000,1000000000.000000
