Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Pembiayaan Konsumen,Others,Total Pendapatan Pembiayaan Konsumen,Pendapatan Sewa Pembiayaan,Others,Total Pendapatan,Total Beban Usaha,Beban Tenaga Kerja,Beban Bunga,Pembentukan Cadangan Kerugian Penurunan Nilai,Others,Total Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,2483609000000.000000,1726531000000.000000,,,1726531000000.000000,,757078000000.000000,2483609000000.000000,-1682790000000.000000,-503508000000.000000,-195796000000.000000,-47294000000.000000,,-47294000000.000000,-276613000000.000000,-5536000000.000000,-654043000000.000000,-1682790000000.000000,800819000000.000000,,800819000000.000000,-241109000000.000000,,-241109000000.000000,559710000000.000000,,,,,559710000000.000000,559710000000.000000,,559710000000.000000,,,,
12M 2008,3378703000000.000000,2330757000000.000000,,,2330757000000.000000,,1047946000000.000000,3378703000000.000000,-1959381000000.000000,-654911000000.000000,-142548000000.000000,-26002000000.000000,,-26002000000.000000,-330737000000.000000,-4480000000.000000,-800703000000.000000,-1959381000000.000000,1419322000000.000000,,1419322000000.000000,-399089000000.000000,,-399089000000.000000,1020233000000.000000,,,,,1020233000000.000000,1020233000000.000000,,1020233000000.000000,,,,
12M 2009,3941162000000.000000,2777866000000.000000,,,2777866000000.000000,,1163296000000.000000,3941162000000.000000,-2282815000000.000000,-732102000000.000000,-123624000000.000000,-32679000000.000000,,-32679000000.000000,-351020000000.000000,-50528000000.000000,-992862000000.000000,-2282815000000.000000,1658347000000.000000,,1658347000000.000000,-445947000000.000000,,-445947000000.000000,1212400000000.000000,,,,,1212400000000.000000,1212400000000.000000,,1212400000000.000000,,,,
12M 2010,3897185000000.000000,2118888000000.000000,,,2118888000000.000000,,1778297000000.000000,3897185000000.000000,-1965462000000.000000,-979506000000.000000,-134991000000.000000,,-193466000000.000000,-193466000000.000000,-442598000000.000000,-170445000000.000000,-44456000000.000000,-1965462000000.000000,1931723000000.000000,,1931723000000.000000,-463817000000.000000,,-463817000000.000000,1467906000000.000000,,,,,1467906000000.000000,1467906000000.000000,,1467906000000.000000,,,,
12M 2011,5303513000000.000000,3008350000000.000000,,,3008350000000.000000,,2295163000000.000000,5303513000000.000000,-3191974000000.000000,-1318487000000.000000,-533215000000.000000,,-456339000000.000000,-456339000000.000000,-618940000000.000000,-110599000000.000000,-154394000000.000000,-3191974000000.000000,2111539000000.000000,,2111539000000.000000,-528218000000.000000,,-528218000000.000000,1583321000000.000000,-2571000000.000000,,-2571000000.000000,1580750000000.000000,1583321000000.000000,1583321000000.000000,,1583321000000.000000,1580750000000.000000,1580750000000.000000,,1580750000000.000000
12M 2012,6752924000000.000000,4180012000000.000000,,,4180012000000.000000,28092000000.000000,2544820000000.000000,6752924000000.000000,-4857006000000.000000,-1643577000000.000000,-1193106000000.000000,,-749855000000.000000,-749855000000.000000,-767019000000.000000,-200111000000.000000,-303338000000.000000,-4857006000000.000000,1895918000000.000000,,1895918000000.000000,-477280000000.000000,,-477280000000.000000,1418638000000.000000,-12740000000.000000,-12740000000.000000,-12740000000.000000,1405898000000.000000,1418638000000.000000,1418638000000.000000,,1418638000000.000000,1405898000000.000000,1405898000000.000000,,1405898000000.000000
12M 2013,8064626000000.000000,5054872000000.000000,,,5054872000000.000000,107986000000.000000,2901768000000.000000,8064626000000.000000,-5782424000000.000000,-1761574000000.000000,-1670513000000.000000,,-1278431000000.000000,-1278431000000.000000,-778136000000.000000,-176647000000.000000,-117123000000.000000,-5782424000000.000000,2282202000000.000000,,2282202000000.000000,-574997000000.000000,,-574997000000.000000,1707205000000.000000,-11687000000.000000,-11687000000.000000,-11687000000.000000,1695518000000.000000,1707205000000.000000,1707205000000.000000,,1707205000000.000000,1695518000000.000000,1695518000000.000000,,1695518000000.000000
12M 2014,8251148000000.000000,5749916000000.000000,,,5749916000000.000000,241718000000.000000,2259514000000.000000,8251148000000.000000,-7190585000000.000000,-1886966000000.000000,-2261879000000.000000,,-1809170000000.000000,-1809170000000.000000,-880440000000.000000,-230419000000.000000,-121711000000.000000,-7190585000000.000000,1060563000000.000000,,1060563000000.000000,-268398000000.000000,,-268398000000.000000,792165000000.000000,-46581000000.000000,-46581000000.000000,-46581000000.000000,745584000000.000000,792165000000.000000,792165000000.000000,,792165000000.000000,745584000000.000000,745584000000.000000,,745584000000.000000
12M 2015,8063757000000.000000,5814343000000.000000,,,5814343000000.000000,264454000000.000000,1984960000000.000000,8063757000000.000000,-7163202000000.000000,-1585363000000.000000,-2197885000000.000000,,-1778058000000.000000,-1778058000000.000000,-928082000000.000000,-282506000000.000000,-391308000000.000000,-7163202000000.000000,900555000000.000000,,900555000000.000000,-235719000000.000000,,-235719000000.000000,664836000000.000000,58278000000.000000,58278000000.000000,58278000000.000000,723114000000.000000,664836000000.000000,664836000000.000000,,664836000000.000000,723114000000.000000,723114000000.000000,,723114000000.000000
12M 2016,8413074000000.000000,6323794000000.000000,,,6323794000000.000000,191523000000.000000,1897757000000.000000,8413074000000.000000,-6695570000000.000000,-1731674000000.000000,-1937419000000.000000,,-1652402000000.000000,-1652402000000.000000,-1060817000000.000000,-271435000000.000000,-41823000000.000000,-6695570000000.000000,1717504000000.000000,,1717504000000.000000,-708153000000.000000,,-708153000000.000000,1009351000000.000000,-60441000000.000000,-60441000000.000000,-60441000000.000000,948910000000.000000,1009351000000.000000,1009351000000.000000,,1009351000000.000000,948910000000.000000,948910000000.000000,,948910000000.000000
