Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari:,Transaksi Pembiayaan Konsumen,Pembiayaan Bersama,Bunga Bank Dan Deposito Berjangka,Transaksi Sewa Pembiayaan,Total Penerimaan Kas Dari:,Pembayaran Kas Untuk:,Transaksi Pembiayaan Konsumen,Pokok Pembiayaan Bersama,Bunga Pembiayaan Bersama,Gaji Dan Tunjangan,Premi Asuransi,Beban Bunga Efek Utang Yang Diterbitkan/Obligasi,Pajak Penghasilan,Beban Bunga Dan Provisi Bank,Beban Umum Dan Administrasi,Tantiem Dewan Komisaris Dan Direksi,Bagi Hasil Untuk Investor Dana,Beban Bunga Liabilitas Sewa,Penerimaan (Pembayaran) Lain-Lain Bersih,Total Pembayaran Kas Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Penerimaan Dividen Kas,Penempatan Investasi Pada Entitas Asosiasi,Penerimaan Dari Likuidasi Investee,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Investasi Dalam Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Dan Pembiayaan Bersama,Penerimaan Dari Penerbitan Efek Utang/Obligasi,Penerimaan Dari Penerbitan Sukuk Mudharabah,Pembayaran Pinjaman Bank Dan Pembiayaan Bersama,Pembayaran Pokok Efek Utang Yang Diterbitan/Obligasi,Pembayaran Pokok Sukuk Mudharabah,Pembayaran Biaya Emisi Obligasi,Pembayaran Biaya Transaksi Pinjaman Bank,Pembayaran Biaya Emisi Sukuk Mudharabah,Pembayaran Biaya Transaksi Pinjaman Mudharabah,Pembayaran Pokok Libilitas Sewa,Pembayaran Bunga Obligasi,Pembayaran Dividen Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2007,-1830500000000.000000,,12778318000000.000000,,2524000000.000000,,12780842000000.000000,,-11502712000000.000000,,-1742869000000.000000,-495403000000.000000,-376949000000.000000,,-255992000000.000000,-17128000000.000000,-264323000000.000000,-9748000000.000000,,,53782000000.000000,-14611342000000.000000,-1830500000000.000000,-63852000000.000000,3180000000.000000,,,,-67032000000.000000,,,-63852000000.000000,1924746000000.000000,10916108000000.000000,,,-8553587000000.000000,-31500000000.000000,,,,,,,-174275000000.000000,-232000000000.000000,1924746000000.000000,30394000000.000000,345909000000.000000,376303000000.000000
12M 2008,-3068109000000.000000,,15728145000000.000000,,4563000000.000000,,15732708000000.000000,,-15089534000000.000000,,-1963161000000.000000,-624390000000.000000,-542561000000.000000,,-275189000000.000000,-8070000000.000000,-289267000000.000000,-14843000000.000000,,,6198000000.000000,-18800817000000.000000,-3068109000000.000000,-68921000000.000000,4238000000.000000,,,,-73159000000.000000,,,-68921000000.000000,3234922000000.000000,13951950000000.000000,,,-9844957000000.000000,-452750000000.000000,,,,,,,-139321000000.000000,-280000000000.000000,3234922000000.000000,97892000000.000000,376303000000.000000,474195000000.000000
12M 2009,-1377367000000.000000,,18405868000000.000000,,25193000000.000000,,18431061000000.000000,,-15380057000000.000000,,-2291206000000.000000,-677376000000.000000,-462387000000.000000,,-676952000000.000000,-19518000000.000000,-288992000000.000000,-15594000000.000000,,,3654000000.000000,-19808428000000.000000,-1377367000000.000000,-33650000000.000000,6670000000.000000,,,,-39670000000.000000,,-650000000.000000,-33650000000.000000,1423829000000.000000,13541387000000.000000,500000000000.000000,,-11434567000000.000000,-570000000000.000000,,,,,,,-102991000000.000000,-510000000000.000000,1423829000000.000000,12812000000.000000,474195000000.000000,487007000000.000000
12M 2010,-9504615000000.000000,,23787156000000.000000,,8255000000.000000,,23795411000000.000000,,-27588924000000.000000,,-2909247000000.000000,-955871000000.000000,-811280000000.000000,-88380000000.000000,-481609000000.000000,-23052000000.000000,-418117000000.000000,-17814000000.000000,,,-5732000000.000000,-33300026000000.000000,-9504615000000.000000,-87386000000.000000,3884000000.000000,,,,-86578000000.000000,-4692000000.000000,,-87386000000.000000,9723523000000.000000,22524856000000.000000,2000000000000.000000,,-14422853000000.000000,-136000000000.000000,,,,,,,,-242480000000.000000,9723523000000.000000,131522000000.000000,487007000000.000000,618529000000.000000
12M 2011,-9906904000000.000000,,32158129000000.000000,,8491000000.000000,,32166620000000.000000,,-34600062000000.000000,,-3378355000000.000000,-1351155000000.000000,-1026854000000.000000,-360607000000.000000,-558626000000.000000,-124386000000.000000,-598331000000.000000,-23831000000.000000,,,-51317000000.000000,-42073524000000.000000,-9906904000000.000000,-135728000000.000000,7136000000.000000,303000000.000000,,,-135608000000.000000,-7559000000.000000,,-135728000000.000000,12217549000000.000000,25091831000000.000000,5423000000000.000000,,-17202142000000.000000,-141000000000.000000,,,,,,,,-954140000000.000000,12217549000000.000000,2174917000000.000000,618529000000.000000,2793446000000.000000
12M 2012,-3136223000000.000000,,39701247000000.000000,,11569000000.000000,,39712816000000.000000,,-34097520000000.000000,,-3673261000000.000000,-1596543000000.000000,-1025286000000.000000,-754188000000.000000,-559285000000.000000,-412952000000.000000,-705271000000.000000,-25380000000.000000,,,647000000.000000,-42849039000000.000000,-3136223000000.000000,-110340000000.000000,5555000000.000000,910000000.000000,,,-92864000000.000000,-23941000000.000000,,-110340000000.000000,2701758000000.000000,25754036000000.000000,3477000000000.000000,,-24255778000000.000000,-1482000000000.000000,,,,,,,,-791500000000.000000,2701758000000.000000,-544805000000.000000,2793446000000.000000,2248641000000.000000
12M 2013,-1538188000000.000000,,43609836000000.000000,,20183000000.000000,,43630019000000.000000,,-36280739000000.000000,,-2763173000000.000000,-1768471000000.000000,-1167582000000.000000,-858876000000.000000,-884424000000.000000,-776378000000.000000,-634102000000.000000,-28850000000.000000,-21707000000.000000,,16095000000.000000,-45168207000000.000000,-1538188000000.000000,-97846000000.000000,3621000000.000000,807000000.000000,,,-76093000000.000000,-26181000000.000000,,-97846000000.000000,651524000000.000000,24788849000000.000000,4092000000000.000000,379000000000.000000,-24991025000000.000000,-2908000000000.000000,,,,,,,,-709300000000.000000,651524000000.000000,-984510000000.000000,2248641000000.000000,1264131000000.000000
12M 2014,-1031747000000.000000,,45220866000000.000000,,15659000000.000000,,45236525000000.000000,,-36739929000000.000000,,-2648250000000.000000,-1887822000000.000000,-1240781000000.000000,-1003988000000.000000,-744315000000.000000,-1249710000000.000000,-724910000000.000000,-32906000000.000000,-25678000000.000000,,30017000000.000000,-46268272000000.000000,-1031747000000.000000,-141856000000.000000,3352000000.000000,740000000.000000,,,-111212000000.000000,-34736000000.000000,,-141856000000.000000,788642000000.000000,28830293000000.000000,3003000000000.000000,133000000000.000000,-25146651000000.000000,-3265000000000.000000,-66000000000.000000,,,,,,,-2700000000000.000000,788642000000.000000,-384961000000.000000,1264131000000.000000,879170000000.000000
12M 2015,2657452000000.000000,,44834503000000.000000,,9910000000.000000,,44844413000000.000000,,-32385263000000.000000,,-2949169000000.000000,-1724134000000.000000,-1035259000000.000000,-946908000000.000000,-741731000000.000000,-1269904000000.000000,-783446000000.000000,-25338000000.000000,-58448000000.000000,,-267361000000.000000,-42186961000000.000000,2657452000000.000000,-73039000000.000000,4707000000.000000,,,,-45559000000.000000,-32187000000.000000,,-73039000000.000000,-2403598000000.000000,28360502000000.000000,2416000000000.000000,500000000000.000000,-29115100000000.000000,-4054000000000.000000,-115000000000.000000,,,,,,,-396000000000.000000,-2403598000000.000000,180815000000.000000,879170000000.000000,1059985000000.000000
12M 2016,2541812000000.000000,,42301468000000.000000,,5607000000.000000,,42307075000000.000000,,-30186356000000.000000,,-2649653000000.000000,-1603307000000.000000,-1316785000000.000000,-957065000000.000000,-966743000000.000000,-989675000000.000000,-1079671000000.000000,-14535000000.000000,-38507000000.000000,,37034000000.000000,-39765263000000.000000,2541812000000.000000,-84340000000.000000,4145000000.000000,,,,-60716000000.000000,-27769000000.000000,,-84340000000.000000,-2576509000000.000000,32150056000000.000000,2801000000000.000000,86000000000.000000,-33096065000000.000000,-3458000000000.000000,-727000000000.000000,,,,,,,-332500000000.000000,-2576509000000.000000,-119037000000.000000,1059985000000.000000,940948000000.000000
12M 2017,1006285000000.000000,,41127728000000.000000,13424133000000.000000,8220000000.000000,,54560081000000.000000,,-31479444000000.000000,-12515986000000.000000,-2261606000000.000000,-1711116000000.000000,-1582828000000.000000,-908136000000.000000,-923729000000.000000,-909768000000.000000,-1075734000000.000000,-22311000000.000000,-41966000000.000000,,-121172000000.000000,-53553796000000.000000,1006285000000.000000,-91718000000.000000,4328000000.000000,,,,-47561000000.000000,-48485000000.000000,,-91718000000.000000,366203000000.000000,27736404000000.000000,4083000000000.000000,586000000000.000000,-28707201000000.000000,-2752000000000.000000,-75000000000.000000,,,,,,,-505000000000.000000,366203000000.000000,1280770000000.000000,940948000000.000000,2221718000000.000000
12M 2018,-656053000000.000000,,42213367000000.000000,17383425000000.000000,25526000000.000000,,59622318000000.000000,,-37200088000000.000000,-12565381000000.000000,-2382854000000.000000,-1981574000000.000000,-1851020000000.000000,-852630000000.000000,-1238720000000.000000,-801366000000.000000,-1020747000000.000000,-14059000000.000000,-61634000000.000000,,-308298000000.000000,-60278371000000.000000,-656053000000.000000,-145468000000.000000,5405000000.000000,,,,-103992000000.000000,-46881000000.000000,,-145468000000.000000,269127000000.000000,17692060000000.000000,3890000000000.000000,490000000000.000000,-16445433000000.000000,-4230000000000.000000,-423000000000.000000,,,,,,,-704500000000.000000,269127000000.000000,-532394000000.000000,2221718000000.000000,1689324000000.000000
12M 2019,1179409000000.000000,,45405216000000.000000,15764758000000.000000,33752000000.000000,,61203726000000.000000,,-36727533000000.000000,-13457038000000.000000,-2729205000000.000000,-2228431000000.000000,-1778059000000.000000,-829973000000.000000,-734028000000.000000,-1071109000000.000000,-1279654000000.000000,-23187000000.000000,-53695000000.000000,,887595000000.000000,-60024317000000.000000,1179409000000.000000,-149358000000.000000,5947000000.000000,,,,-79429000000.000000,-75876000000.000000,,-149358000000.000000,403117000000.000000,15510770000000.000000,3810000000000.000000,310000000000.000000,-15043903000000.000000,-2834750000000.000000,-441000000000.000000,,,,,,,-908000000000.000000,403117000000.000000,1433168000000.000000,1689324000000.000000,3122492000000.000000
12M 2020,8452733000000.000000,,38424311000000.000000,8878703000000.000000,61351000000.000000,,47364365000000.000000,,-18652655000000.000000,-11797994000000.000000,-2350731000000.000000,-2048528000000.000000,-971552000000.000000,-785792000000.000000,-798008000000.000000,-992572000000.000000,-1266399000000.000000,-27653000000.000000,-39578000000.000000,-16590000000.000000,836420000000.000000,-38911632000000.000000,8452733000000.000000,-132291000000.000000,2377000000.000000,,,,-50430000000.000000,-84238000000.000000,,-132291000000.000000,-7215525000000.000000,9713675000000.000000,1300000000000.000000,200000000000.000000,-12444120000000.000000,-4553000000000.000000,-359000000000.000000,,,,,-18580000000.000000,,-1054500000000.000000,-7215525000000.000000,1104917000000.000000,3122492000000.000000,4227409000000.000000
12M 2021,4066425000000.000000,,37760350000000.000000,12593034000000.000000,42872000000.000000,,50396256000000.000000,,-26815000000000.000000,-11554610000000.000000,-2272792000000.000000,-1968460000000.000000,-1153160000000.000000,-496966000000.000000,-558940000000.000000,-565511000000.000000,-1274677000000.000000,-14100000000.000000,-32264000000.000000,-15296000000.000000,391945000000.000000,-46329831000000.000000,4066425000000.000000,-67852000000.000000,2352000000.000000,,,,-27166000000.000000,-43038000000.000000,,-67852000000.000000,-6588432000000.000000,5700000000000.000000,1300000000000.000000,200000000000.000000,-10100009000000.000000,-2879950000000.000000,-276000000000.000000,,,,,-19473000000.000000,,-513000000000.000000,-6588432000000.000000,-2589859000000.000000,4227409000000.000000,1637550000000.000000
12M 2022,819451000000.000000,,36816559000000.000000,15169087000000.000000,25087000000.000000,,52010733000000.000000,,-31408947000000.000000,-11988671000000.000000,-2376383000000.000000,-2175973000000.000000,-1331296000000.000000,-452152000000.000000,-654018000000.000000,-265473000000.000000,-1138734000000.000000,-21972000000.000000,-31199000000.000000,-14287000000.000000,667823000000.000000,-51191282000000.000000,819451000000.000000,-16576000000.000000,31217000000.000000,,,,-25958000000.000000,-21835000000.000000,,-16576000000.000000,-1154063000000.000000,9234167000000.000000,1700000000000.000000,300000000000.000000,-9224112000000.000000,-2275750000000.000000,-261000000000.000000,,,,,-20368000000.000000,,-607000000000.000000,-1154063000000.000000,-351188000000.000000,1637550000000.000000,1286362000000.000000
12M 2023,-4052033000000.000000,,40813016000000.000000,20392659000000.000000,25693000000.000000,,61231368000000.000000,,-42029559000000.000000,-13380622000000.000000,-2655890000000.000000,-2404629000000.000000,-1829971000000.000000,-319947000000.000000,-897180000000.000000,-608207000000.000000,-1386140000000.000000,-19538000000.000000,-23330000000.000000,-12653000000.000000,284265000000.000000,-65283401000000.000000,-4052033000000.000000,-533488000000.000000,450000000.000000,,,1441000000.000000,-108595000000.000000,-40424000000.000000,-386360000000.000000,-533488000000.000000,4734650000000.000000,21193215000000.000000,2950000000000.000000,600000000000.000000,-16911131000000.000000,-2058800000000.000000,-182000000000.000000,-11037000000.000000,-13779000000.000000,-2508000000.000000,-250000000.000000,-26060000000.000000,,-803000000000.000000,4734650000000.000000,149129000000.000000,1286362000000.000000,1435491000000.000000
12M 2024,461396000000.000000,,46242100000000.000000,17383114000000.000000,61280000000.000000,,63686494000000.000000,,-37179612000000.000000,-15195132000000.000000,-3254385000000.000000,-2526359000000.000000,-1580914000000.000000,-372318000000.000000,-751466000000.000000,-859647000000.000000,-1685330000000.000000,-28986000000.000000,-62034000000.000000,-11212000000.000000,282297000000.000000,-63225098000000.000000,461396000000.000000,-1147249000000.000000,667000000.000000,,-880653000000.000000,,-110575000000.000000,-158470000000.000000,1782000000.000000,-1147249000000.000000,804220000000.000000,15545843000000.000000,3600000000000.000000,400000000000.000000,-14197828000000.000000,-3106140000000.000000,-427170000000.000000,-10628000000.000000,-6446000000.000000,-1374000000.000000,,-20037000000.000000,,-972000000000.000000,804220000000.000000,118367000000.000000,1435491000000.000000,1553858000000.000000
