Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,188.59,0.00,186.99,,12 B,12 B,(21 B),181 B
12M 2014,8.89,354.44,8.92,352.95,,60 B,60 B,23 B,951 B
12M 2015,8.13,409.58,8.16,408.10,,45 B,45 B,29 B,918 B
12M 2016,3.19,563.85,3.20,562.37,,108 B,108 B,92 B,"1,571 B"
12M 2017,2.55,67.40,2.56,67.23,162 B,"1,511 B","1,673 B","1,610 B","3,572 B"
12M 2018,2.22,61.25,2.23,61.08,538 B,"1,094 B","1,631 B","1,616 B","2,884 B"
12M 2019,0.79,62.90,0.80,62.73,"1,566 B",1 B,"1,568 B","1,557 B","1,921 B"
12M 2020,0.87,64.29,0.87,64.12,"1,594 B",1 B,"1,594 B","1,582 B","2,010 B"
12M 2021,0.75,66.63,0.75,66.46,960 B,1 B,961 B,953 B,"2,086 B"
12M 2022,0.70,74.65,0.70,74.47,"1,777 B",0 B,"1,778 B","1,771 B","1,756 B"
12M 2023,1.03,48.78,1.03,48.61,"1,742 B",4 B,"1,745 B","1,736 B","1,154 B"
