Period,Total Pendapatan,Total Beban Pokok Penjualan,Beban Program Dan Penyiaran,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,835490460000.000000,-303257789000.000000,-303257789000.000000,-303257789000.000000,532232671000.000000,-288261276000.000000,-288261276000.000000,-288261276000.000000,243971395000.000000,-57966065000.000000,981311000.000000,-70713804000.000000,-2998396000.000000,-1008000.000000,459000000.000000,14306832000.000000,-57966065000.000000,186005330000.000000,-67041557000.000000,118963773000.000000,118963773000.000000,,118963773000.000000,118963773000.000000,119019440000.000000,-55667000.000000,118963773000.000000,118963773000.000000,119019440000.000000,-55667000.000000,118963773000.000000
12M 2014,1345818698000.000000,-470259234000.000000,-470259234000.000000,-470259234000.000000,875559464000.000000,-394136680000.000000,-394136680000.000000,-394136680000.000000,481422784000.000000,-6973249000.000000,4442557000.000000,-2853882000.000000,-1883744000.000000,,514074000.000000,-7192254000.000000,-6973249000.000000,474449535000.000000,-121295982000.000000,353153553000.000000,353153553000.000000,,353153553000.000000,353153553000.000000,353164699000.000000,-11146000.000000,353153553000.000000,353153553000.000000,353164699000.000000,-11146000.000000,353153553000.000000
12M 2015,1385956950000.000000,-519597555000.000000,-519597555000.000000,-519597555000.000000,866359395000.000000,-480067570000.000000,-480067570000.000000,-480067570000.000000,386291825000.000000,-33881639000.000000,14301292000.000000,,-660379000.000000,,1057663000.000000,-48580215000.000000,-33881639000.000000,352410186000.000000,-91515345000.000000,260894841000.000000,260894841000.000000,1275970000.000000,262170811000.000000,260894841000.000000,256732194000.000000,4162647000.000000,260894841000.000000,262170811000.000000,258008170000.000000,4162641000.000000,262170811000.000000
12M 2016,1756614281000.000000,-584020443000.000000,-584020443000.000000,-584020443000.000000,1172593838000.000000,-635913262000.000000,-635913262000.000000,-635913262000.000000,536680576000.000000,240806728000.000000,2057943000.000000,,-622442000.000000,,1614748000.000000,237756479000.000000,240806728000.000000,777487304000.000000,-127684874000.000000,649802430000.000000,649802430000.000000,-6981730000.000000,642820700000.000000,649802430000.000000,645571701000.000000,4230729000.000000,649802430000.000000,642820700000.000000,638590000000.000000,4230700000.000000,642820700000.000000
12M 2017,1990144575000.000000,-691978224000.000000,-691978224000.000000,-691978224000.000000,1298166351000.000000,-617587708000.000000,-617587708000.000000,-617587708000.000000,680578643000.000000,-40366283000.000000,43914867000.000000,,-7680857000.000000,,1377321000.000000,-77977614000.000000,-40366283000.000000,640212360000.000000,-86709733000.000000,553502627000.000000,553502627000.000000,-16331756000.000000,537170871000.000000,553502627000.000000,550228434000.000000,3274193000.000000,553502627000.000000,537170871000.000000,533896752000.000000,3274119000.000000,537170871000.000000
12M 2018,1819777135000.000000,-815696633000.000000,-815696633000.000000,-815696633000.000000,1004080502000.000000,-677780297000.000000,-677780297000.000000,-677780297000.000000,326300205000.000000,-437040860000.000000,239030441000.000000,,-112476088000.000000,,835267000.000000,-564430480000.000000,-437040860000.000000,-110740655000.000000,-26169651000.000000,-136910306000.000000,-136910306000.000000,9211192000.000000,-127699114000.000000,-136910306000.000000,-140642573000.000000,3732267000.000000,-136910306000.000000,-127699114000.000000,-131431353000.000000,3732239000.000000,-127699114000.000000
12M 2019,1496914210000.000000,-806632804000.000000,-806632804000.000000,-806632804000.000000,690281406000.000000,-590836836000.000000,-590836836000.000000,-590836836000.000000,99444570000.000000,5206291000.000000,302271583000.000000,,58465115000.000000,,887919000.000000,-356418326000.000000,5206291000.000000,104650861000.000000,-35810606000.000000,68840255000.000000,68840255000.000000,159103000.000000,68999358000.000000,68840255000.000000,64540094000.000000,4300161000.000000,68840255000.000000,68999358000.000000,64705233000.000000,4294125000.000000,68999358000.000000
12M 2020,1282045937000.000000,-627992827000.000000,-627992827000.000000,-627992827000.000000,654053110000.000000,-454458732000.000000,-454458732000.000000,-454458732000.000000,199594378000.000000,-70526830000.000000,329149406000.000000,,-19189146000.000000,,1333650000.000000,-381820740000.000000,-70526830000.000000,129067548000.000000,-28861603000.000000,100205945000.000000,100205945000.000000,-20562650000.000000,79643295000.000000,100205945000.000000,100881726000.000000,-675781000.000000,100205945000.000000,79643295000.000000,80318994000.000000,-675699000.000000,79643295000.000000
12M 2021,1354248158000.000000,-657385442000.000000,-657385442000.000000,-657385442000.000000,696862716000.000000,-444011917000.000000,-444011917000.000000,-444011917000.000000,252850799000.000000,-112610286000.000000,350365148000.000000,,-27296793000.000000,,54324000.000000,-435732965000.000000,-112610286000.000000,140240513000.000000,-59578002000.000000,80662511000.000000,80662511000.000000,10130145000.000000,90792656000.000000,80662511000.000000,81590948000.000000,-928437000.000000,80662511000.000000,90792656000.000000,91721132000.000000,-928476000.000000,90792656000.000000
12M 2022,1265960458000.000000,-639191593000.000000,-639191593000.000000,-639191593000.000000,626768865000.000000,-461391442000.000000,-461391442000.000000,-461391442000.000000,165377423000.000000,-112207124000.000000,466760329000.000000,,1173826000.000000,,8717580000.000000,-588858859000.000000,-112207124000.000000,53170299000.000000,-22120944000.000000,31049355000.000000,31049355000.000000,282657689000.000000,313707044000.000000,31049355000.000000,31655408000.000000,-606053000.000000,31049355000.000000,313707044000.000000,314311862000.000000,-604818000.000000,313707044000.000000
