Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Langganan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan (Penempatan) Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Kenaikan (Penurunan) Uang Jaminan,Penambahan Aset Keuangan Lain,Kenaikan (Penurunan) Aset Keuangan Lain,Penerimaan (Pemberian) Piutang Lain-Lain,Penerimaan (Pembayaran) Piutang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain,Hasil Likuidasi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangak Pendek,Pembayaran Dividen Tunai,Pembelian Kembali Utang Jangka Panjang,Pembelian Kembali Saham Beredar Perusahaan,Penurunan Utang Lain-Lain Kepada Pihak Berelasi,Peningkatan Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan Piutang Pihak Berelasi,Utang Lain-Lain,Beban Keuangan Lainnya,Penempatan Pada Aset Keuangan Lain- Rekening Bank Dibatasi Penggunaannya,Pembelian Saham Diperoleh Kembali,Penjualan Saham Diperoleh Kembali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kenaikan (Penurunan) Rekening Bank Dibatasi Penggunaannya,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,267919968000.000000,3316616052000.000000,-3042568201000.000000,-5208295000.000000,-919588000.000000,,267919968000.000000,-26123101000.000000,61458683000.000000,8465074000.000000,-98522837000.000000,2443379000.000000,,32600000.000000,,,,,,,-26123101000.000000,-166347379000.000000,,,,,,-166347379000.000000,,,,,,,,,,-166347379000.000000,75449488000.000000,109958514000.000000,-9849000.000000,,,185398153000.000000
12M 2009,548396982000.000000,3275271348000.000000,-2714835397000.000000,-5213743000.000000,-6825226000.000000,,548396982000.000000,-79206048000.000000,-27793677000.000000,13327386000.000000,-67160445000.000000,2396488000.000000,,24200000.000000,,,,,,,-79206048000.000000,-325233383000.000000,,,,,,-325233383000.000000,,,,,,,,,,-325233383000.000000,143957551000.000000,185398153000.000000,9570000.000000,,,329365274000.000000
12M 2010,519766440000.000000,3393460427000.000000,-2832170486000.000000,-11532373000.000000,-29991128000.000000,,519766440000.000000,-256925547000.000000,37627582000.000000,2257465000.000000,-299256797000.000000,2061653000.000000,,384550000.000000,,,,,,,-256925547000.000000,-487838747000.000000,,,,,,-495413178000.000000,,,,7574431000.000000,,,,,,-487838747000.000000,-224997854000.000000,329365274000.000000,49022000.000000,,,104416442000.000000
12M 2011,180066457000.000000,3835408741000.000000,-3381436764000.000000,-140945559000.000000,-132959961000.000000,,180066457000.000000,-125925884000.000000,-562901000.000000,4001510000.000000,-131732203000.000000,2617535000.000000,,-249825000.000000,,,,,,,-125925884000.000000,-103710000000.000000,614448000000.000000,-718158000000.000000,,,,,,,,,,,,,,-103710000000.000000,-49569427000.000000,104416442000.000000,-83659000.000000,,,54763356000.000000
12M 2012,518836783000.000000,4561906153000.000000,-3790307994000.000000,-158402176000.000000,-94359200000.000000,,518836783000.000000,-333998780000.000000,15742837000.000000,1485776000.000000,-352663555000.000000,1054112000.000000,,382050000.000000,,,,,,,-333998780000.000000,-143534000000.000000,579920000000.000000,-723454000000.000000,,,,,,,,,,,,,,-143534000000.000000,41304003000.000000,54763356000.000000,-210201000.000000,,,95857158000.000000
12M 2013,638446530000.000000,5106739265000.000000,-4120564755000.000000,-258391175000.000000,-94444778000.000000,5107973000.000000,638446530000.000000,-401269516000.000000,-14911414000.000000,2060294000.000000,-390828833000.000000,1980115000.000000,,-106036000.000000,,,,,,536358000.000000,-401269516000.000000,-196497153000.000000,400000000000.000000,-590187200000.000000,,,,,-6309953000.000000,,,,,,,,,-196497153000.000000,40679861000.000000,95857158000.000000,-250102000.000000,5255597000.000000,,141542514000.000000
12M 2014,460633645000.000000,5586609493000.000000,-4706886436000.000000,-341428688000.000000,-131026646000.000000,53365922000.000000,460633645000.000000,-220143178000.000000,3729510000.000000,2041918000.000000,-226937767000.000000,1206153000.000000,,-57827000.000000,,-125165000.000000,,,,,-220143178000.000000,-275311075000.000000,490000000000.000000,-751260293000.000000,,,,,-14050782000.000000,,,,,,,,,-275311075000.000000,-34820608000.000000,141542514000.000000,,-752285000.000000,,105969621000.000000
12M 2015,367602920000.000000,5833958642000.000000,-5042800544000.000000,-353128164000.000000,-96302359000.000000,25875345000.000000,367602920000.000000,-208841778000.000000,9467687000.000000,898897000.000000,-222649573000.000000,3715751000.000000,,-156244000.000000,,-118296000.000000,,,,,-208841778000.000000,-209505827000.000000,546864975000.000000,-838929152000.000000,85557130000.000000,,,,-2998780000.000000,,,,,,,,,-209505827000.000000,-50744685000.000000,105969621000.000000,,-1856411000.000000,,53368525000.000000
12M 2016,234571143000.000000,5744642206000.000000,-5049558818000.000000,-422915785000.000000,-52829340000.000000,15232880000.000000,234571143000.000000,-180684822000.000000,-7104675000.000000,1056756000.000000,-180846122000.000000,9573259000.000000,-3685279000.000000,17805000.000000,,303434000.000000,,,,,-180684822000.000000,-52411002000.000000,1001414777000.000000,-1282557306000.000000,393574592000.000000,-164843065000.000000,,,,,,,,,,,,-52411002000.000000,1475319000.000000,53368525000.000000,,-127060000.000000,,54716784000.000000
12M 2017,243550943000.000000,6157967584000.000000,-5577493100000.000000,-388172444000.000000,-25009427000.000000,76258330000.000000,243550943000.000000,294233215000.000000,-3144809000.000000,1022049000.000000,-122475477000.000000,1006725000.000000,-5308670000.000000,-1397000.000000,,-11086000.000000,-1854120000.000000,,,425000000000.000000,294233215000.000000,-485714780000.000000,636065000000.000000,-1162228375000.000000,403569073000.000000,-401455328000.000000,,,,,,38334850000.000000,,,,,,-485714780000.000000,52069378000.000000,54716784000.000000,,2356858000.000000,,109143020000.000000
12M 2018,227388878000.000000,5705885247000.000000,-5249281176000.000000,-170111870000.000000,-80146021000.000000,21042698000.000000,227388878000.000000,-227355464000.000000,,819083000.000000,-175713066000.000000,494800000.000000,-8893332000.000000,404583000.000000,,404193000.000000,1594791000.000000,,-46466516000.000000,,-227355464000.000000,-54569075000.000000,,-140255125000.000000,106958296000.000000,-18380000000.000000,,,,,,-2892246000.000000,,,,,,-54569075000.000000,-54535661000.000000,109143020000.000000,,1309835000.000000,,55917194000.000000
12M 2019,175969808000.000000,3872242820000.000000,-3356358736000.000000,-176177489000.000000,-163736787000.000000,,175969808000.000000,-335589935000.000000,,977296000.000000,-191803529000.000000,1221638000.000000,-117535191000.000000,218428000.000000,,,-175214000.000000,,-28493363000.000000,,-335589935000.000000,241731541000.000000,386187251000.000000,-175428245000.000000,628284487000.000000,-532482578000.000000,,,,,,4578994000.000000,,,-140611874000.000000,,71203506000.000000,241731541000.000000,82111414000.000000,55917194000.000000,,-825115000.000000,,137203493000.000000
