Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Dari Pihak Ketiga,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,185398153000.000000,483351733000.000000,119060904000.000000,364290829000.000000,483351733000.000000,7873740000.000000,,,7873740000.000000,775991541000.000000,181584054000.000000,1634199221000.000000,,109736842000.000000,7628820000.000000,1905249467000.000000,83832108000.000000,2106447237000.000000,3740646458000.000000,,,8482018294000.000000,,,13882664000.000000,307746968000.000000,321629632000.000000,22988351000.000000,,,22988351000.000000,26870691000.000000,2806725300000.000000,,5303804320000.000000,,5303804320000.000000,,8482018294000.000000,220652471000.000000,,,,36987358000.000000,183665113000.000000,220652471000.000000,8702670765000.000000,,661500000000.000000,154800000000.000000,-5778324307000.000000,6308000000.000000,-5784632307000.000000,-5778324307000.000000,,-4962024307000.000000,3740646458000.000000,1323000000.000000
12M 2009,,,329365274000.000000,372771552000.000000,31241457000.000000,341530095000.000000,372771552000.000000,6442676000.000000,,,6442676000.000000,557563585000.000000,151717244000.000000,1417860331000.000000,,7574431000.000000,8117831000.000000,1690584778000.000000,114455163000.000000,1820732203000.000000,3238592534000.000000,,,6544974708000.000000,,,8747077000.000000,212000114000.000000,220747191000.000000,19560090000.000000,,,19560090000.000000,21296875000.000000,2195724934000.000000,,4087645618000.000000,,4087645618000.000000,,6544974708000.000000,213621447000.000000,,,,17674170000.000000,195947277000.000000,213621447000.000000,6758596155000.000000,,661500000000.000000,154800000000.000000,-4336303621000.000000,6308000000.000000,-4342611621000.000000,-4336303621000.000000,,-3520003621000.000000,3238592534000.000000,1323000000.000000
12M 2010,,,104416442000.000000,360077770000.000000,25583088000.000000,334494682000.000000,360077770000.000000,3231776000.000000,,,3231776000.000000,605248646000.000000,108471926000.000000,1181446560000.000000,,,9733402000.000000,3285931092000.000000,55188471000.000000,3350852965000.000000,4532299525000.000000,,,756065805000.000000,,,7736844000.000000,301462471000.000000,309199315000.000000,29182759000.000000,,,29182759000.000000,92017590000.000000,145846141000.000000,,179820000000.000000,,179820000000.000000,,756065805000.000000,4261455236000.000000,,3904096206000.000000,3904096206000.000000,122258602000.000000,235100428000.000000,4261455236000.000000,5017521041000.000000,,661500000000.000000,154800000000.000000,-2761559385000.000000,6308000000.000000,-2767867385000.000000,-2761559385000.000000,1460037869000.000000,-485221516000.000000,4532299525000.000000,1323000000.000000
12M 2011,,,54763356000.000000,408241445000.000000,29191510000.000000,379049935000.000000,408241445000.000000,7458876000.000000,,,7458876000.000000,686899413000.000000,185370438000.000000,1342733528000.000000,,,11209112000.000000,4668875255000.000000,96367770000.000000,4776452137000.000000,6119185665000.000000,,,869330538000.000000,,,15134888000.000000,380626541000.000000,395761429000.000000,18160153000.000000,,,18160153000.000000,39534194000.000000,253295562000.000000,,162579200000.000000,,162579200000.000000,,869330538000.000000,4377279233000.000000,,3826136154000.000000,3826136154000.000000,264537354000.000000,286605725000.000000,4377279233000.000000,5246609771000.000000,,661500000000.000000,154800000000.000000,-2799684428000.000000,6308000000.000000,-2805992428000.000000,-2799684428000.000000,2855960322000.000000,872575894000.000000,6119185665000.000000,1323000000.000000
12M 2012,,,95857158000.000000,427045411000.000000,34661220000.000000,392384191000.000000,427045411000.000000,12687037000.000000,,,12687037000.000000,654083460000.000000,228984361000.000000,1418657427000.000000,,,13842443000.000000,5070281470000.000000,56173894000.000000,5140297807000.000000,6558955234000.000000,,,967054285000.000000,,,9856318000.000000,361779689000.000000,371636007000.000000,6855249000.000000,,,6855249000.000000,68511383000.000000,311032691000.000000,,188152000000.000000,,188152000000.000000,20866955000.000000,967054285000.000000,4354332728000.000000,,3789354409000.000000,3789354409000.000000,212883595000.000000,352094724000.000000,4354332728000.000000,5321387013000.000000,,661500000000.000000,154800000000.000000,-2830048387000.000000,6308000000.000000,-2836356387000.000000,-2830048387000.000000,3251316608000.000000,1237568221000.000000,6558955234000.000000,1323000000.000000
12M 2013,,,141542514000.000000,506103231000.000000,61864055000.000000,444239176000.000000,506103231000.000000,11069237000.000000,,,11069237000.000000,682151686000.000000,163783926000.000000,1504650594000.000000,,,15643394000.000000,5556239354000.000000,113366103000.000000,5685248851000.000000,7189899445000.000000,,,1332135012000.000000,,,10283957000.000000,525075502000.000000,535359459000.000000,12747645000.000000,,,12747645000.000000,84293135000.000000,445806763000.000000,,244273600000.000000,,244273600000.000000,9654410000.000000,1332135012000.000000,4667652082000.000000,,4067554663000.000000,4067554663000.000000,196376784000.000000,403720635000.000000,4667652082000.000000,5999787094000.000000,,661500000000.000000,154800000000.000000,-3300404440000.000000,6308000000.000000,-3306712440000.000000,-3300404440000.000000,3674216791000.000000,1190112351000.000000,7189899445000.000000,1323000000.000000
12M 2014,,,105969621000.000000,550188973000.000000,21581923000.000000,528607050000.000000,550188973000.000000,13469478000.000000,,,13469478000.000000,830802449000.000000,127895495000.000000,1628326016000.000000,,,18297987000.000000,5497490587000.000000,71037730000.000000,5586826304000.000000,7215152320000.000000,,,1462013369000.000000,,,7450135000.000000,662481939000.000000,669932074000.000000,10593842000.000000,,,10593842000.000000,59648584000.000000,440805947000.000000,,270380000000.000000,,270380000000.000000,10652922000.000000,1462013369000.000000,4431566852000.000000,,3791508253000.000000,3791508253000.000000,163637040000.000000,476421559000.000000,4431566852000.000000,5893580221000.000000,,661500000000.000000,154800000000.000000,-3174797487000.000000,6308000000.000000,-3181105487000.000000,-3174797487000.000000,3680069586000.000000,1321572099000.000000,7215152320000.000000,1323000000.000000
12M 2015,,,53368525000.000000,432343271000.000000,3769303000.000000,428573968000.000000,432343271000.000000,6123565000.000000,,,6123565000.000000,923103960000.000000,115258466000.000000,1530197787000.000000,,,26122429000.000000,5520673718000.000000,48806343000.000000,5595602490000.000000,7125800277000.000000,,,1757515738000.000000,85557130000.000000,,15858298000.000000,828879837000.000000,844738135000.000000,10029121000.000000,,,10029121000.000000,40245941000.000000,370911433000.000000,,393257549000.000000,,393257549000.000000,12776429000.000000,1757515738000.000000,4253165495000.000000,,3397875096000.000000,3397875096000.000000,107817161000.000000,747473238000.000000,4253165495000.000000,6010681233000.000000,,661500000000.000000,154800000000.000000,-3290041898000.000000,6308000000.000000,-3296349898000.000000,-3290041898000.000000,3588860942000.000000,1115119044000.000000,7125800277000.000000,1323000000.000000
12M 2016,,,54716784000.000000,478664545000.000000,2423243000.000000,476241302000.000000,478664545000.000000,7808600000.000000,,,7808600000.000000,890959036000.000000,157795765000.000000,1589944730000.000000,,,29254908000.000000,6042932759000.000000,61446280000.000000,6133633947000.000000,7723578677000.000000,,,1849891122000.000000,314288657000.000000,,,908232351000.000000,908232351000.000000,40458518000.000000,,,40458518000.000000,38619616000.000000,291003710000.000000,,247285979000.000000,,247285979000.000000,10002291000.000000,1849891122000.000000,4260587861000.000000,,3081535955000.000000,3081535955000.000000,86515416000.000000,1092536490000.000000,4260587861000.000000,6110478983000.000000,,661500000000.000000,154800000000.000000,-3277839073000.000000,6308000000.000000,-3284147073000.000000,-3277839073000.000000,4074638767000.000000,1613099694000.000000,7723578677000.000000,1323000000.000000
12M 2017,,,109143020000.000000,593638841000.000000,18852361000.000000,574786480000.000000,593638841000.000000,3633550000.000000,,,3633550000.000000,514568482000.000000,40030857000.000000,1261014750000.000000,,,24706488000.000000,3893303720000.000000,7660650000.000000,3925670858000.000000,5186685608000.000000,,,1449898887000.000000,19176404000.000000,,355880355000.000000,387745698000.000000,743626053000.000000,87236057000.000000,,,87236057000.000000,50745024000.000000,164473236000.000000,,140255124000.000000,238578527000.000000,378833651000.000000,5808462000.000000,1449898887000.000000,1982491638000.000000,,1415928920000.000000,1415928920000.000000,40172197000.000000,526390521000.000000,1982491638000.000000,3432390525000.000000,,661500000000.000000,256596602000.000000,-1569501282000.000000,6308000000.000000,-1575809282000.000000,-1569501282000.000000,2405699763000.000000,1754295083000.000000,5186685608000.000000,1323000000.000000
