Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Others,Total Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3346702520000.000000,-2717011254000.000000,629691266000.000000,-496013508000.000000,-344634443000.000000,-151379065000.000000,-496013508000.000000,133677758000.000000,-714374949000.000000,-5208295000.000000,-1043846820000.000000,13295712000.000000,321384454000.000000,-714374949000.000000,-580697191000.000000,-178024550000.000000,-758721741000.000000,,,,-758721741000.000000,,,-758721741000.000000,-758721741000.000000,,-758721741000.000000,,,,
12M 2009,3164691167000.000000,-2649638579000.000000,515052588000.000000,-477828461000.000000,-308484419000.000000,-169344042000.000000,-477828461000.000000,37224127000.000000,1399139519000.000000,-5213743000.000000,991869198000.000000,8604837000.000000,403879227000.000000,1399139519000.000000,1436363646000.000000,5657040000.000000,1442020686000.000000,,,,1442020686000.000000,,,1442020686000.000000,1442020686000.000000,,1442020686000.000000,,,,
12M 2010,3380766645000.000000,-2679105528000.000000,701661117000.000000,-537350113000.000000,-336283883000.000000,-201066230000.000000,-537350113000.000000,164311004000.000000,192277983000.000000,-32722888000.000000,210261002000.000000,2069987000.000000,12669882000.000000,192277983000.000000,356588987000.000000,-65710202000.000000,290878785000.000000,1283865451000.000000,1283865451000.000000,1283865451000.000000,1574744236000.000000,,1574744236000.000000,1574744236000.000000,1574744236000.000000,,1574744236000.000000,1574744236000.000000,1574744236000.000000,,1574744236000.000000
12M 2011,3883572416000.000000,-3057715710000.000000,825856706000.000000,-567191097000.000000,-333062835000.000000,-234128262000.000000,-567191097000.000000,258665609000.000000,-276580320000.000000,-258914149000.000000,-11196881000.000000,,-6469290000.000000,-276580320000.000000,-17914711000.000000,-20210332000.000000,-38125043000.000000,,,,-38125043000.000000,1395922453000.000000,1357797410000.000000,-38125043000.000000,-38125043000.000000,,-38125043000.000000,1357797410000.000000,1357797410000.000000,,1357797410000.000000
12M 2012,4580710119000.000000,-3619178581000.000000,961531538000.000000,-636557017000.000000,-382327206000.000000,-254229811000.000000,-636557017000.000000,324974521000.000000,-348491200000.000000,-229163339000.000000,-252259115000.000000,,132931254000.000000,-348491200000.000000,-23516679000.000000,-6847280000.000000,-30363959000.000000,,,,-30363959000.000000,395356286000.000000,364992327000.000000,-30363959000.000000,-30363959000.000000,,-30363959000.000000,364992327000.000000,364992327000.000000,,364992327000.000000
12M 2013,5197009630000.000000,-4001230560000.000000,1195779070000.000000,-713868048000.000000,-420476698000.000000,-293391350000.000000,-713868048000.000000,481911022000.000000,-925635947000.000000,-322279754000.000000,-627419338000.000000,,24063145000.000000,-925635947000.000000,-443724925000.000000,-30320728000.000000,-474045653000.000000,,,,-474045653000.000000,432899736000.000000,-41145917000.000000,-474045653000.000000,-474045653000.000000,,-474045653000.000000,-41145917000.000000,-41145917000.000000,,-41145917000.000000
12M 2014,5629696723000.000000,-4360614925000.000000,1269081798000.000000,-784635745000.000000,-455788525000.000000,-328847220000.000000,-784635745000.000000,484446053000.000000,-320952641000.000000,-329152950000.000000,-15154153000.000000,,23354462000.000000,-320952641000.000000,163493412000.000000,-38480077000.000000,125013335000.000000,,,,125013335000.000000,20497195000.000000,145510530000.000000,125013335000.000000,125013335000.000000,,125013335000.000000,145510530000.000000,145510530000.000000,,145510530000.000000
12M 2015,5713989433000.000000,-4760283900000.000000,953705533000.000000,-775798009000.000000,-440181471000.000000,-335616538000.000000,-775798009000.000000,177907524000.000000,-368116188000.000000,-313360099000.000000,-136886483000.000000,,82130394000.000000,-368116188000.000000,-190208664000.000000,34297010000.000000,-155911654000.000000,,,,-155911654000.000000,115674932000.000000,-40236722000.000000,-155911654000.000000,-155911654000.000000,,-155911654000.000000,-40236722000.000000,-40236722000.000000,,-40236722000.000000
12M 2016,5793737618000.000000,-4839217586000.000000,954520032000.000000,-817336330000.000000,-442677364000.000000,-374658966000.000000,-817336330000.000000,137183702000.000000,-146065278000.000000,-346709599000.000000,17046464000.000000,,183597857000.000000,-146065278000.000000,-8881576000.000000,17921139000.000000,9039563000.000000,,,,9039563000.000000,488941087000.000000,497980650000.000000,9039563000.000000,9039563000.000000,,9039563000.000000,497980650000.000000,497980650000.000000,,497980650000.000000
12M 2017,6277135709000.000000,-5144921876000.000000,1132213833000.000000,-842918716000.000000,-437675525000.000000,-405243191000.000000,-842918716000.000000,289295117000.000000,-238511180000.000000,-337958286000.000000,-8027168000.000000,,107474274000.000000,-238511180000.000000,50783937000.000000,-3249865000.000000,47534072000.000000,,,,47534072000.000000,-8135285000.000000,39398787000.000000,47534072000.000000,47534072000.000000,,47534072000.000000,39398787000.000000,39398787000.000000,,39398787000.000000
