Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,377694886.000000,955395416.000000,,,955395416.000000,150000000000.000000,,,150000000000.000000,114741401.000000,258798000.000000,151706629703.000000,,90071531596.000000,356715229.000000,26318708.000000,425130701164.000000,515585266697.000000,667291896400.000000,,,16031316856.000000,4415307958.000000,,,4415307958.000000,8061733145.000000,,,8061733145.000000,2199780807.000000,137279012.000000,,1217215934.000000,,1217215934.000000,,16031316856.000000,47185913115.000000,,47080638282.000000,,47080638282.000000,105274833.000000,47185913115.000000,63217229971.000000,,650000000000.000000,,-46937424309.000000,,,-46937424309.000000,1017879511.000000,-5788773.000000,604074666429.000000,667291896400.000000,6500000000.000000
12M 2018,,,2447693959.000000,340546177.000000,,,340546177.000000,159397224969.000000,,,159397224969.000000,258466933.000000,155274146799.000000,317718078837.000000,,82332999541.000000,189744979.000000,37983645.000000,420010568828.000000,502571296993.000000,820289375830.000000,,,10888082106.000000,837217768.000000,,,837217768.000000,5482457442.000000,,,5482457442.000000,669176249.000000,792037907.000000,,2633309875.000000,116580927.000000,2749890802.000000,357301938.000000,10888082106.000000,44954159375.000000,,44447328407.000000,354896389.000000,44802224796.000000,151934579.000000,44954159375.000000,55842241481.000000,,770000000000.000000,54880000000.000000,-61465805116.000000,,,-61465805116.000000,1032167980.000000,771487.000000,764447134351.000000,820289375832.000000,7700000000.000000
