Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,8387859041.0,-15660042825.0,-7272183784.0,-6527113921.0,-114862804.0,-6412251117.0,-6527113921.0,-13799297705.0,4189100519.0,4189100519.0,4189100519.0,-9610197186.0,13174016.0,-9597023170.0,-4971108.0,-9601994278.0,-9597023170.0,-9597023082.0,-88.0,-9597023170.0,-9601994278.0,-9601994190.0,-88.0,-9601994278.0
12M 2018,13819525860.0,-20021770307.0,-6202244447.0,-12895004765.0,-604739712.0,-12290265053.0,-12895004765.0,-19097249212.0,4569305184.0,4569305184.0,4569305184.0,-14527944028.0,13851690.0,-14514092338.0,6560260.0,-14507532078.0,-14514092339.0,-14528380808.0,14288469.0,-14514092339.0,-14507532079.0,-14521820548.0,14288469.0,-14507532079.0
