Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan (Pembayaran) Kepada Pemasok Dan Pihak Lainnya,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Lainnya,Penerimaan Bunga,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Tanah,Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Kas Yang Dibatasi Penggunaannya,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Bank,Penerimaan Utang Dari Pihak Berelasi,Pembayaran Utang Ke Pihak Berelasi,Penerimaan Setoran Modal Saham,Penerimaan Dari Hasil Penerbitan Saham Baru,Pembayaran Piutang Dari Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-12159115558.000000,7448163862.000000,-13838629757.000000,,,5671584.000000,-5774321247.000000,-12159115558.000000,-68841826417.000000,-842698529.000000,-11654000.000000,-67987473888.000000,-68841826417.000000,81021610198.000000,1447138444.000000,,-1702145785.000000,,13276617539.000000,,68000000000.000000,,81021610198.000000,20668223.000000,357026663.000000,377694886.000000
12M 2018,-173445203685.000000,14791677036.000000,-182649633681.000000,,,37934968.000000,-5625182008.000000,-173445203685.000000,-4695555967.000000,-4695555967.000000,,,-4695555967.000000,180210758725.000000,132336.000000,-82463187.000000,-1217215934.000000,,1510305510.000000,,180000000000.000000,,180210758725.000000,2069999073.000000,377694886.000000,2447693959.000000
