Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Penerimaan Kas Lain-Lain,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan (Pembayaran) Atas Pengelolaan Dana Investasi,Perolehan Dana Investasi,Uang Muka Pengedokan,Pengakuisisian Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Atas Pelepasan Entitas Anak,Pinjaman Kepada Pihak Berelasi,Investasi Kepada Pihak Ketiga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Penawaran Umum Perdana,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Pembayaran Dividen,Penempatan Deposito Yang Dibatasi Penggunaannya,Penerimaan Deposito Yang Dibatasi Penggunaannya,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Utang Sewa Pembiayaan,Pembayaran Beban Keuangan,Pembayaran Pinjaman Ke Pihak Ketiga,Penerimaan Pinjaman Dari Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Aset Dimiliki Untuk Dijual,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,16991158.000000,30299260.000000,-13181890.000000,,320554.000000,,-446766.000000,16991158.000000,-1909583.000000,-885038.000000,,,-1024545.000000,,,,,-1909583.000000,-8273802.000000,,,-2106088.000000,-1700400.000000,,,,,-4929972.000000,-89.000000,,462747.000000,-8273802.000000,6807773.000000,11010175.000000,,-1248.000000,17816700.000000
12M 2021,-7084924.000000,26165510.000000,-33061052.000000,,129793.000000,41518.000000,-360693.000000,-7084924.000000,-3219539.000000,-3219539.000000,,,,,,,,-3219539.000000,6012085.000000,15662243.000000,3641324.000000,-440000.000000,-2940000.000000,,,,,-9448735.000000,,-462747.000000,,6012085.000000,-4292378.000000,17816700.000000,,-2675.000000,13521647.000000
12M 2022,24550244.000000,48466791.000000,-23598192.000000,,108498.000000,,-426853.000000,24550244.000000,1620135.000000,-136024.000000,1915825.000000,82583.000000,-242249.000000,,,,,1620135.000000,-17668090.000000,,,,-2825000.000000,-2734434.000000,,2549070.000000,,-14657726.000000,,,,-17668090.000000,8502289.000000,13521647.000000,-1781929.000000,154834.000000,20396841.000000
12M 2023,6023219.000000,23435397.000000,-17538553.000000,,507950.000000,,-381575.000000,6023219.000000,-3269017.000000,-4262744.000000,,,-798671.000000,-1207567.000000,2999965.000000,,,-3269017.000000,-1486907.000000,,,,-1365000.000000,,2720533.000000,,-2671475.000000,-170965.000000,,,,-1486907.000000,1267295.000000,20396841.000000,,136218.000000,21800354.000000
12M 2024,10559298.000000,28987120.000000,-18356440.000000,,548024.000000,,-619406.000000,10559298.000000,-5507139.000000,-5442412.000000,,,-64727.000000,,,,,-5507139.000000,-2282100.000000,,,,-2205000.000000,,,,,-77100.000000,,,,-2282100.000000,2770059.000000,21800354.000000,,52272.000000,24622685.000000
