Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,240 B,(12 B),227 B,82609753.67
12M 2021,(101 B),(46 B),(147 B),-9.30
12M 2022,383 B,(2 B),381 B,24.06
12M 2023,93 B,(66 B),27 B,1.72
12M 2024,171 B,(88 B),83 B,5.23
