Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok Dan Aktivitas Operasi Lainnya,Pembayaran Untuk Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Penjualan Aset Tetap,Nilai Buku Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Beban Keuangan,Penerimaan Utang Sewa Pembiayaan,Pembayaran Utang Sewa Pembiayaan,Penambahan Penawaran Saham Terbuka,Pembayaran Kepada Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,13486614902.000000,227546678419.000000,-52787100738.000000,-161134901059.000000,-138061720.000000,13486614902.000000,-18625660471.000000,-18539567712.000000,62238616.000000,,-148331375.000000,-18625660471.000000,-6502686172.000000,6904966884.000000,-7930055299.000000,-4331647776.000000,,,,,-1145949981.000000,-6502686172.000000,-11641731741.000000,25501140044.000000,13859408303.000000
12M 2019,2225888173.000000,202243724680.000000,-43947065486.000000,-156070771021.000000,,2225888173.000000,-3385427789.000000,-4030424128.000000,644996339.000000,,,-3385427789.000000,-125437150.000000,14000000000.000000,-9915372656.000000,-4150250383.000000,,,,,-59814111.000000,-125437150.000000,-1284976766.000000,13859408303.000000,12574431537.000000
12M 2020,-27910894186.000000,77316577237.000000,-23188226560.000000,-82039244863.000000,,-27910894186.000000,-3937974698.000000,-3999670612.000000,61695914.000000,,,-3937974698.000000,23274190469.000000,353755853.000000,-4892118655.000000,-4125551803.000000,304000000.000000,-68809660.000000,31702914734.000000,,,23274190469.000000,-8574678415.000000,12574431536.000000,3999753121.000000
12M 2021,4092330513.000000,61504899366.000000,-13942746814.000000,-43469822039.000000,,4092330513.000000,9617365135.000000,-922195651.000000,15067100823.000000,-4527540037.000000,,9617365135.000000,-14000904211.000000,302919940.000000,-12947836929.000000,-3647564391.000000,780000000.000000,-385922831.000000,,,1897500000.000000,-14000904211.000000,-291208563.000000,3999753120.000000,3708544557.000000
12M 2022,-2025442230.000000,51673656616.000000,-9019649490.000000,-44679449356.000000,,-2025442230.000000,,,,,,,-1069563093.000000,,-12559974216.000000,-1190841998.000000,,-137888715.000000,,,12819141836.000000,-1069563093.000000,-3095005323.000000,3708544557.000000,613539234.000000
12M 2023,1650972147.000000,4077349014.000000,-758543595.000000,-1667833272.000000,,1650972147.000000,101166007.000000,101166007.000000,,,,101166007.000000,-1488993980.000000,,-2201633878.000000,-393960310.000000,,-662111305.000000,,,1768711513.000000,-1488993980.000000,263144174.000000,613539234.000000,876683408.000000
12M 2024,-431322649.000000,1919278674.000000,-612582830.000000,-1738018493.000000,,-431322649.000000,,,,,,,,,,,,,,,,,-431322649.000000,876683408.000000,445360759.000000
