Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Portofolio Efek,Persediaan,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Adjustment,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Aset Pajak Tangguhan,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,517560598.000000,,3333217210.000000,3333217210.000000,3333217210.000000,,82995994982.000000,2496182700.000000,,2496182700.000000,4660464783.000000,94003420273.000000,,,25128780781.000000,37818731083.000000,,2547646583.000000,,17197595036.000000,82692753483.000000,176696173756.000000,,,126274754606.000000,,80872856925.000000,80872856925.000000,3057081509.000000,2544850878.000000,14913474340.000000,36611124.000000,,,36611124.000000,,4848792777.000000,131570269.000000,,4980363046.000000,19869516784.000000,126274754606.000000,43693284365.000000,,33173458342.000000,200572804.000000,77173219.000000,10242080000.000000,43693284365.000000,,43693284365.000000,169968038971.000000,,27500000000.000000,-19321352063.000000,-3164207867.000000,607070465.000000,1106624250.000000,6728134785.000000,176696173756.000000,27500.000000
12M 2019,,,4383462320.000000,,3042207538.000000,3042207538.000000,3042207538.000000,,72223498743.000000,10000000.000000,,10000000.000000,22407904394.000000,102067072995.000000,,,25521202837.000000,41569937159.000000,,2744549449.000000,,6639467372.000000,76475156817.000000,178542229812.000000,,,113815094004.000000,,63522835321.000000,63522835321.000000,3269255400.000000,2124611086.000000,19805368656.000000,23594911.000000,,,23594911.000000,,5486460098.000000,215023534.000000,,5701483632.000000,19367944998.000000,113815094004.000000,39426875417.000000,,27633200752.000000,624739492.000000,53048173.000000,11115887000.000000,39426875417.000000,,39426875417.000000,153241969421.000000,,45000000000.000000,-19189852063.000000,-1735046071.000000,1033239060.000000,191919465.000000,25300260391.000000,178542229812.000000,450000000.000000
12M 2020,,,4559187988.000000,,8776865552.000000,8776865552.000000,8776865552.000000,,46219333933.000000,11900000.000000,,11900000.000000,29080955160.000000,88648242633.000000,,,8250000000.000000,47148516186.000000,,3186264671.000000,,6443899708.000000,65028680565.000000,153676923198.000000,,,88075143319.000000,,42825748957.000000,42825748957.000000,4508245005.000000,1837679293.000000,22945546911.000000,819555034.000000,,,819555034.000000,,6123061939.000000,173846290.000000,,6296908229.000000,8841459890.000000,88075143319.000000,37057120965.000000,,21430265768.000000,246472632.000000,648646565.000000,14731736000.000000,37057120965.000000,,37057120965.000000,125132264284.000000,,46478825000.000000,-18968028313.000000,-1935939207.000000,3555612138.000000,-585810704.000000,28544658914.000000,153676923198.000000,464788250.000000
12M 2021,,,2247218920.000000,,14504025795.000000,14504025795.000000,14504025795.000000,,61472279663.000000,111687239.000000,,111687239.000000,34448092236.000000,112783303853.000000,,,,53066185307.000000,,2754329116.000000,,6383957044.000000,62204471467.000000,174987775320.000000,,,106147059315.000000,,42435593199.000000,42435593199.000000,3397226090.000000,2509455129.000000,7898041128.000000,28000048000.000000,,,28000048000.000000,,6843889481.000000,331506879.000000,,7175396360.000000,14731299409.000000,106147059315.000000,28809815148.000000,,14472769925.000000,509840857.000000,899983366.000000,12927221000.000000,28809815148.000000,,28809815148.000000,134956874463.000000,,46830085000.000000,-18915339313.000000,1832247321.000000,9446592641.000000,837315208.000000,40030900857.000000,174987775320.000000,468300850.000000
12M 2022,,,3032714314.000000,1479299527.000000,40081370724.000000,40081370724.000000,40081370724.000000,,76523599294.000000,99109891.000000,,99109891.000000,21145031239.000000,142361124989.000000,,,,62294781754.000000,271688615643.000000,2319069570.000000,,85155161235.000000,421457628202.000000,563818753191.000000,,,241605820603.000000,,29676962337.000000,29676962337.000000,3290110108.000000,1590757947.000000,25993303790.000000,168263079990.000000,,,168263079990.000000,,10604937241.000000,403930602.000000,,11008867843.000000,1782738588.000000,241605820603.000000,41981333470.000000,,29689961527.000000,335299871.000000,354615072.000000,11601457000.000000,41981333470.000000,,41981333470.000000,283587154073.000000,,48100000000.000000,-18724852063.000000,6821553959.000000,15234188661.000000,228800708561.000000,280231599118.000000,563818753191.000000,481000000.000000
12M 2023,,,11035484240.000000,4617191634.000000,22697408670.000000,22697408670.000000,22697408670.000000,,83567329193.000000,,,,6560036332.000000,128477450069.000000,,,,77610857280.000000,300691640542.000000,2734242800.000000,,86962097145.000000,467998837767.000000,596476287836.000000,,,1013816502571.000000,,22874130666.000000,22874130666.000000,2877198922.000000,1098939500.000000,929546960163.000000,,43000000000.000000,72950000.000000,43072950000.000000,,10818402650.000000,582275211.000000,,11400677861.000000,2945645459.000000,1013816502571.000000,206231909692.000000,,20918601090.000000,373282040.000000,,184940026562.000000,206231909692.000000,,206231909692.000000,1220048412263.000000,,48100000000.000000,-733355482502.000000,-4699856926.000000,66383215001.000000,,-623572124427.000000,596476287836.000000,481000000.000000
12M 2024,,,7525419640.000000,21914811065.000000,59641439153.000000,59641439153.000000,59641439153.000000,,113445543719.000000,,,,8682031077.000000,211209244654.000000,,,,79940894751.000000,374450302405.000000,2115806370.000000,,139183275491.000000,595690279017.000000,806899523671.000000,,,1243552168491.000000,,119072705180.000000,119072705180.000000,5015327956.000000,2539995817.000000,981870866006.000000,,40600000000.000000,375919139.000000,40975919139.000000,,6372257331.000000,1076024537.000000,89377315.000000,7537659183.000000,86677796508.000000,1243552168491.000000,209264593221.000000,,17981029364.000000,1609995122.000000,353258572.000000,189122420692.000000,209066703750.000000,197889471.000000,209264593221.000000,1452816761712.000000,,48100000000.000000,-733355482502.000000,-35038354163.000000,74238497326.000000,,-646055339339.000000,806761422373.000000,481000000.000000
