Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Operasional,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan Badan,Penerimaan Penghasilan Keuangan,Penerimaan (Pembayaran) Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Laba (Rugi) Atas Penjualan Aset Tetap,Penyertaan Saham,Deposito Berjangka,Pencairan Deposito Berjangka,Pelepasan Aset Tetap,Penjualan Aset Tetap,Penambahan Aset Eksplorasi Dan Evaluasi,Pembayaran Untuk Perolehan Entitas Anak,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penempatan Jaminan Reklamasi Dan Pasca Tambang,Aset Tidak Lancar Dikuasai Untuk Dijual,Portofolio Efek,Perolehan Investasi Lain-Lain,Investasi Entitas Anak,Divestasi Entitas Anak,Pembayaran Piutang Lain-Lain,Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Bank,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Pinjaman Jangka Pendek,Penerimaan,Pembayaran,Total Pinjaman Jangka Pendek,Pinjaman Jangka Panjang,Penerimaan,Pembayaran,Total Pinjaman Jangka Panjang,Penerimaan Utang Sewa Pembiayaan,Pembayaran Beban Keuangan,Peningkatan Utang Kepada Pihak Berelasi,Peningkatan Liabilitas Pembiayaan,Peningkatan Utang Lain-Lain,Penurunan Utang Lain-Lain,Pembayaran Liabilitas Pembiayaan,Pembayaran Bunga Liabilitas Sewa,Pembayaran Liabilitas Sewa,Pembayaran Piutang Berelasi,Pembayaran Utang Lain-Lain,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Bank Dari Merging Entities,Pengaruh Divestasi Entitas Anak,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,5536242346.000000,237005513095.000000,-230077723832.000000,-1391546917.000000,,,,5536242346.000000,-34177063417.000000,-11646880717.000000,,-20034000000.000000,,,,,,,,,,,,,,-2496182700.000000,,-34177063417.000000,28600072895.000000,53141088885.000000,,-185539056.000000,,,,,,,,,,-6098261649.000000,,,,,,,,,-44694215285.000000,26437000000.000000,28600072895.000000,-40748176.000000,558308774.000000,,,558308774.000000,517560598.000000
12M 2019,-13148559677.000000,223071646596.000000,-234138025162.000000,-3614640455.000000,,,1532459344.000000,-13148559677.000000,3511233624.000000,-6979451376.000000,,,,,,,,,,,10590685000.000000,,,,,,-100000000.000000,3511233624.000000,13503227775.000000,-10695953.000000,,521781098.000000,,,,,,,,,,-4246935314.000000,,,,,,,,-392422056.000000,,17631500000.000000,13503227775.000000,3865901722.000000,517560598.000000,,,517560598.000000,4383462320.000000
12M 2020,2842099808.000000,258056919277.000000,-251387198827.000000,-3030820928.000000,,,-796799714.000000,2842099808.000000,-8970205622.000000,-9511083176.000000,,440877554.000000,,,,,,,,,,,,,,,100000000.000000,-8970205622.000000,6303831482.000000,,,,,23500466408.000000,-20311479211.000000,3188987197.000000,,,-5615142085.000000,-5615142085.000000,223599332.000000,-10465464549.000000,,,,,,,,17271202837.000000,,1700648750.000000,6303831482.000000,175725668.000000,4383462320.000000,,,4383462320.000000,4559187988.000000
12M 2021,22314782442.000000,380208856049.000000,-379933537968.000000,-3299227975.000000,,,25338692336.000000,22314782442.000000,-9550459018.000000,-9887005018.000000,,336546000.000000,,,,,,,,,,,,,,,,-9550459018.000000,-15076292492.000000,,,,,20653355570.000000,-35659525041.000000,-15006169471.000000,,,-6278004613.000000,-6278004613.000000,403949000.000000,-3413093388.000000,,,,,,,,8250000000.000000,,967025980.000000,-15076292492.000000,-2311969068.000000,4559187988.000000,,,4559187988.000000,2247218920.000000
12M 2022,-16287641451.000000,375063601983.000000,-398380275436.000000,-5331240325.000000,,,12360272327.000000,-16287641451.000000,-15047912042.000000,-13584112515.000000,,15500000.000000,-1479299527.000000,,,,,,,,,,,,,,,-15047912042.000000,31313886825.000000,,,-591747425.000000,,58573381099.000000,-40416915603.000000,18156465496.000000,,43197694799.000000,-24280658271.000000,18917036528.000000,,-6628270024.000000,,,,,,,,,,1460402250.000000,31313886825.000000,-21666668.000000,2247218920.000000,,,2247218920.000000,2225552252.000000
12M 2023,19926089789.000000,316148506387.000000,-242923867310.000000,-48826077608.000000,-4472471680.000000,,,19926089789.000000,-937680641885.000000,-6995304647.000000,,,-3548000000.000000,401726027.000000,,127000000.000000,-28656063265.000000,,,,,,-10000000.000000,-899000000000.000000,,,,-937680641885.000000,913858148609.000000,978377237212.000000,,-83381475867.000000,,,,,,,,,,-20739370192.000000,51685000000.000000,,,-11000000000.000000,-1083242544.000000,,,,,,913858148609.000000,7273121617.000000,3032714314.000000,807162062.000000,-77513753.000000,3032714314.000000,11035484240.000000
12M 2024,92871066131.000000,482148595758.000000,-324612156628.000000,-63656785668.000000,-3003713730.000000,,1995126399.000000,92871066131.000000,-91851348797.000000,-17746667796.000000,,,-17297619431.000000,,17200000000.000000,53427027.000000,-73862052281.000000,,,-198436316.000000,,,,,,,,-91851348797.000000,-43529781934.000000,136847228013.000000,,-91907039215.000000,,,,,,,,,,-49884554983.000000,4207490438.000000,,,-41400000000.000000,-1272906187.000000,-17196823.000000,-102803177.000000,,,,-43529781934.000000,-3510064600.000000,11035484240.000000,,,11035484240.000000,7525419640.000000
