Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,6 B,(12 B),(6 B),-222205.03
12M 2019,(13 B),(7 B),(20 B),-44.73
12M 2020,3 B,(10 B),(7 B),-14.35
12M 2021,22 B,(10 B),12 B,26.54
12M 2022,(16 B),(14 B),(30 B),-62.10
12M 2023,20 B,(36 B),(16 B),-32.69
12M 2024,93 B,(92 B),1 B,2.62
