Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,228765471379.000000,-193291545262.000000,34895847140.000000,,8921038956.000000,-6302525595.000000,33666942.000000,-6246567396.000000,,-89625141.000000,-6302525595.000000,2618513361.000000,-2415729167.000000,-2731342250.000000,315613083.000000,-2415729167.000000,202784194.000000,-1292207670.000000,-1089423476.000000,1126220250.000000,,1126220250.000000,36796774.000000,-1089423476.000000,-1089423476.000000,,,-1089423476.000000,36796774.000000,36796774.000000,,36796774.000000
12M 2019,223320494901.000000,-187424990633.000000,35155420771.000000,,8174536447.000000,-5187642457.000000,500924072.000000,-4747859386.000000,,-940707143.000000,-5187642457.000000,2986893990.000000,-2421823384.000000,-2743911250.000000,322087866.000000,-2421823384.000000,565070606.000000,,565070606.000000,375555000.000000,,375555000.000000,940625606.000000,565070606.000000,318320296.000000,246750310.000000,,565070606.000000,940625606.000000,514457011.000000,426168595.000000,940625606.000000
12M 2020,274365507443.000000,-224487174032.000000,49206175734.000000,,18038767177.000000,-12960324386.000000,46357884.000000,-10511822433.000000,,-2494859837.000000,-12960324386.000000,5078442791.000000,-2983270738.000000,-3014482240.000000,31211502.000000,-2983270738.000000,2095172053.000000,,2095172053.000000,-1455422280.000000,,-1455422280.000000,639749773.000000,2095172053.000000,-200893137.000000,2296065190.000000,,2095172053.000000,639749773.000000,-978623306.000000,1618373079.000000,639749773.000000
12M 2021,380340837138.000000,-277674805813.000000,102000357029.000000,,16982166081.000000,-4941948523.000000,1805233490.000000,-5218326878.000000,,-1528855135.000000,-4941948523.000000,12040217558.000000,-3595556235.000000,-3907568060.000000,312011825.000000,-3595556235.000000,8444661323.000000,,8444661323.000000,2637631620.000000,,2637631620.000000,11082292943.000000,8444661323.000000,3768186529.000000,4676474794.000000,,8444661323.000000,11082292943.000000,5191312441.000000,5890980502.000000,11082292943.000000
12M 2022,413645245865.000000,-319828140058.000000,92792431809.000000,,24351865151.000000,-9362859448.000000,5257048.000000,-8166833781.000000,,-1201282715.000000,-9362859448.000000,14989005703.000000,-4334984386.000000,-4091900340.000000,-243084046.000000,-4334984386.000000,10654021317.000000,,10654021317.000000,278506530.000000,,278506530.000000,10932527847.000000,10654021317.000000,4989306638.000000,5664714679.000000,,10654021317.000000,10932527847.000000,5144931827.000000,5787596020.000000,10932527847.000000
12M 2023,297411483210.000000,-244709364377.000000,52702118833.000000,,16531111426.000000,-23580969230.000000,,-20739370192.000000,-154717027.000000,-2686882011.000000,-23580969230.000000,-5180332700.000000,-3684279270.000000,,,-3684279270.000000,-8864611970.000000,-756610855.000000,-9621222825.000000,177699600.000000,-50120400.000000,177699600.000000,-9443523225.000000,-9621222825.000000,-16493526203.000000,6872303378.000000,,-9621222825.000000,-9443523225.000000,-16402641493.000000,6959118268.000000,-9443523225.000000
12M 2024,435143362568.000000,-344973111187.000000,90170251381.000000,,30098174984.000000,-48867500886.000000,1995126399.000000,-50655288632.000000,-271674220.000000,64335567.000000,-48867500886.000000,-18769325902.000000,-4858658350.000000,,,-4858658350.000000,-23627984252.000000,,-23627984252.000000,1144769340.000000,1144769340.000000,1144769340.000000,-22483214912.000000,-23627984252.000000,-30960092762.000000,7332108510.000000,,-23627984252.000000,-22483214912.000000,-30338497237.000000,7855282325.000000,-22483214912.000000
