Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,48846018495.000000,-7950543483.000000,40895475012.000000,-36575430051.000000,-10959658040.000000,-25615772011.000000,-36575430051.000000,4320044961.000000,16693244.000000,,,16693244.000000,16693244.000000,4336738205.000000,808384814.000000,-1590401365.000000,2398786179.000000,808384814.000000,5145123019.000000,2412691774.000000,7557814793.000000,5145123019.000000,5145123019.000000,,5145123019.000000,7557814793.000000,7557814793.000000,,7557814793.000000
12M 2019,62888821440.000000,-10711182685.000000,52177638755.000000,-44832905558.000000,-11266032116.000000,-33566873442.000000,-44832905558.000000,7344733197.000000,-2896077668.000000,,,-2896077668.000000,-2896077668.000000,4448655529.000000,-1952164570.000000,-2018204750.000000,66040180.000000,-1952164570.000000,2496490959.000000,1633869157.000000,4130360116.000000,2496490959.000000,2496490959.000000,,2496490959.000000,4130360116.000000,4130360116.000000,,4130360116.000000
12M 2020,59987664702.000000,-5864217779.000000,54123446923.000000,-43866265054.000000,-9131447806.000000,-34734817248.000000,-43866265054.000000,10257181869.000000,-565892290.000000,-329476412.000000,,-236415878.000000,-565892290.000000,9691289579.000000,-2404350575.000000,-2540296229.000000,135945654.000000,-2404350575.000000,7286939004.000000,16598631835.000000,23885570839.000000,7286939004.000000,7286939004.000000,,7286939004.000000,23885570839.000000,23885570839.000000,,23885570839.000000
12M 2021,66883321837.000000,-6095094716.000000,60788227121.000000,-51836224058.000000,-3731625801.000000,-48104598257.000000,-51836224058.000000,8952003063.000000,-1867976600.000000,-606118948.000000,,-1261857652.000000,-1867976600.000000,7084026463.000000,-2534583144.000000,-2961230580.000000,426647436.000000,-2534583144.000000,4549443319.000000,1576893974.000000,6126337293.000000,4549443319.000000,4549443319.000000,,4549443319.000000,6126337293.000000,6126337293.000000,,6126337293.000000
12M 2022,103324243970.000000,-11795471638.000000,91528772332.000000,-78320518416.000000,-7486401366.000000,-70834117050.000000,-78320518416.000000,13208253916.000000,-1465368763.000000,,25991535.000000,-1491360298.000000,-1465368763.000000,11742885153.000000,-3753504980.000000,-4476045860.000000,722540880.000000,-3753504980.000000,7989380173.000000,-111493694.000000,7877886479.000000,7989380174.000000,7989380174.000000,,7989380174.000000,7877886480.000000,7877886480.000000,,7877886480.000000
12M 2023,154488567747.000000,-32398388370.000000,122090179377.000000,-83477399828.000000,-25633169773.000000,-57844230055.000000,-83477399828.000000,38612779549.000000,-6422509619.000000,,217477120.000000,-6639986739.000000,-6422509619.000000,32190269930.000000,-7804208661.000000,-8773644220.000000,969435559.000000,-7804208661.000000,24386061269.000000,122760132.000000,24508821401.000000,24386061269.000000,24386061269.000000,,24386061269.000000,24508821401.000000,24508821401.000000,,24508821401.000000
12M 2024,169641574884.000000,-26318787015.000000,143322787869.000000,-96376406331.000000,-28678889209.000000,-67697517122.000000,-96376406331.000000,46946381538.000000,4327456247.000000,,479942300.000000,3847513947.000000,4327456247.000000,51273837785.000000,-12637511953.000000,-12476115080.000000,-161396873.000000,-12637511953.000000,38636325832.000000,144481763.000000,38780807595.000000,38636325832.000000,38636325832.000000,,38636325832.000000,38780807595.000000,38780807595.000000,,38780807595.000000
