Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,12141051706.000000,14357590108.000000,777472950.000000,777472950.000000,777472950.000000,3690115167.000000,2403200000.000000,33369429931.000000,,8090647159.000000,2177270930.000000,5671700237.000000,5671700237.000000,5671700237.000000,,4346317370.000000,20285935696.000000,53655365627.000000,,,6366479858.000000,12136258.000000,,12136258.000000,,,,5064468834.000000,1289874766.000000,,,,,,6366479858.000000,12111710088.000000,1103897492.000000,,,,,,301109293.000000,,100000000.000000,2000000000.000000,2100000000.000000,8606703303.000000,12111710088.000000,18478189946.000000,,2000000000.000000,,30764483906.000000,,,30764483906.000000,2412691775.000000,35177175681.000000,53655365627.000000,2000.000000
12M 2019,,,24382382067.000000,11809608093.000000,3207898962.000000,3207898962.000000,3207898962.000000,1221385562.000000,228006716.000000,40849281400.000000,,6234303968.000000,1698688058.000000,,,,,1869380636.000000,9802372662.000000,50651654062.000000,,,2801150307.000000,1501632993.000000,,1501632993.000000,,,,,1299517314.000000,,,,,,2801150307.000000,16290320632.000000,822269417.000000,,,,,,149321293.000000,,130000000.000000,8068544637.000000,8198544637.000000,7120185285.000000,16290320632.000000,19091470939.000000,,2000000000.000000,,25513622191.000000,,,25513622191.000000,4046560932.000000,31560183123.000000,50651654062.000000,2000.000000
12M 2020,,,9219113689.000000,25866022259.000000,3942988962.000000,3942988962.000000,3942988962.000000,622212158.000000,150000000.000000,39800337068.000000,,25687763961.000000,1392799406.000000,,,,,4198274720.000000,31278838087.000000,71079175155.000000,,,8808424590.000000,178640243.000000,,178640243.000000,,438500000.000000,438500000.000000,5713549245.000000,2477735102.000000,,,,,,8808424590.000000,10919281202.000000,212000004.000000,,,2827334400.000000,223612700.000000,3050947100.000000,,1368544637.000000,,,1368544637.000000,6287789461.000000,10919281202.000000,19727705792.000000,,27300000000.000000,,3406276597.000000,,3406276597.000000,3406276597.000000,20645192766.000000,51351469363.000000,71079175155.000000,27300.000000
12M 2021,,,28275731858.000000,24271969997.000000,186951000.000000,186951000.000000,186951000.000000,16529397005.000000,1691084442.000000,70955134302.000000,,24467188768.000000,1531540372.000000,,,,,4220705033.000000,30219434173.000000,101174568475.000000,,,5527652961.000000,,,,,,,2439129880.000000,2133023567.000000,,,873822000.000000,81677514.000000,955499514.000000,5527652961.000000,6114308858.000000,,,,1565859600.000000,84738463.000000,1650598063.000000,,115000000.000000,,,115000000.000000,4348710795.000000,6114308858.000000,11641961819.000000,,27500000000.000000,31854800000.000000,7955719915.000000,1457387801.000000,6498332114.000000,7955719915.000000,22222086740.000000,89532606655.000000,101174568474.000000,732000000.000000
12M 2022,,,44755704602.000000,38403514003.000000,273800000.000000,273800000.000000,273800000.000000,17523035451.000000,11476290.000000,100967530346.000000,,23361723577.000000,2285528191.000000,,,,,3920812088.000000,29568063856.000000,130535594202.000000,,,13538189155.000000,,683325000.000000,683325000.000000,,4743264830.000000,4743264830.000000,2996532179.000000,4173388769.000000,,,873822000.000000,67856377.000000,941678377.000000,13538189155.000000,6209965879.000000,,,,692037600.000000,,692037600.000000,,,,,,5517928279.000000,6209965879.000000,19748155034.000000,,40299646550.000000,32432099483.000000,15945100089.000000,2367276465.000000,13577823624.000000,15945100089.000000,22110593046.000000,110787439168.000000,130535594202.000000,805992931.000000
12M 2023,,,77560911681.000000,44300470740.000000,21200000.000000,21200000.000000,21200000.000000,18448262984.000000,287168040.000000,140618013445.000000,,26295854748.000000,3220339097.000000,,,,-1.000000,6008535123.000000,35524728967.000000,176142742412.000000,,,32495473048.000000,,13628101720.000000,13628101720.000000,,4743264830.000000,4743264830.000000,4128445882.000000,8972898409.000000,,301240607.000000,721521600.000000,,1022762207.000000,32495473048.000000,8351008795.000000,,,2102363587.000000,,,2102363587.000000,,,,,,6248645208.000000,8351008795.000000,40846481843.000000,,40299646550.000000,32432099483.000000,40331161357.000000,3965152499.000000,36366008858.000000,40331161357.000000,22233353179.000000,135296260569.000000,176142742412.000000,805992931.000000
12M 2024,,,104470697484.000000,52475272175.000000,112675000.000000,112675000.000000,112675000.000000,11106918087.000000,,168165562746.000000,,27661319943.000000,3018190957.000000,,,,,6008535123.000000,36688046023.000000,204853608769.000000,,,15220460272.000000,,3312329500.000000,3312329500.000000,,1585664830.000000,1585664830.000000,,9506363514.000000,,109996128.000000,706106300.000000,,816102428.000000,15220460272.000000,15556080333.000000,,,7989573899.000000,532878856.000000,,8522452755.000000,,,,18400000.000000,18400000.000000,7015227578.000000,15556080333.000000,30776540605.000000,,40299646550.000000,32432099483.000000,78967487189.000000,8842364753.000000,70125122436.000000,78967487189.000000,22377834942.000000,174077068164.000000,204853608769.000000,805992931.000000
