Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Biaya Keuangan,Pembayaran Untuk Pajak,Penerimaan Lain-Lain Bersih,Pembayaran Lain-Lain Bersih,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penampatan Investasi Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Penerimaan Piutang Pihak Berelasi,Arus Pendanaan Umum,Setoran Saham,Pelaksanaan Waran,Pembayaran Piutang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Atas Pinjaman Bank,Pembayaran Deviden Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2018,15996679836.000000,83398152951.000000,-46204952180.000000,-9733565713.000000,,-247799209.000000,-5764424478.000000,,-5450731535.000000,,15996679836.000000,-551208293.000000,-651208293.000000,100000000.000000,,-551208293.000000,-9090392341.000000,,-4165636061.000000,,,,,,-737253208.000000,-1187503072.000000,-3000000000.000000,-9090392341.000000,6355079202.000000,5785972504.000000,12141051706.000000
12M 2019,15136001669.000000,67353269375.000000,-22621086417.000000,-16934580353.000000,59963785.000000,-1439025425.000000,-10182452938.000000,,-1100086358.000000,,15136001669.000000,2393608183.000000,-101510369.000000,18181818.000000,2476936734.000000,2393608183.000000,-5288279491.000000,2800000000.000000,10842631935.000000,,,,-5562103388.000000,7273975387.000000,-1145430750.000000,-11750000000.000000,-7747352675.000000,-5288279491.000000,12241330361.000000,12141051706.000000,24382382067.000000
12M 2020,-3596635280.000000,48926675970.000000,-22869671071.000000,-19602312822.000000,79054622.000000,-1992676765.000000,-10306665108.000000,2168959894.000000,,,-3596635280.000000,-2560079084.000000,-231185000.000000,,-2328894084.000000,-2560079084.000000,-9006554013.000000,3000000000.000000,,,,,,,,-1612269413.000000,-10394284600.000000,-9006554013.000000,-15163268377.000000,24382382067.000000,9219113690.000000
12M 2021,-9597778514.000000,72525646052.000000,-43122080034.000000,-25324350342.000000,76613187.000000,-1112737612.000000,-15297196900.000000,2656327135.000000,,,-9597778514.000000,-308603313.000000,-272173000.000000,,-36430313.000000,-308603313.000000,28962999996.000000,8000000000.000000,,32760000000.000000,200000000.000000,,,,,-11997000004.000000,,28962999996.000000,19056618169.000000,9219113689.000000,28275731858.000000
12M 2022,3751463585.000000,92327521733.000000,-40859214159.000000,-30485284202.000000,232495929.000000,-28362424.000000,-17165044292.000000,,-270649000.000000,,3751463585.000000,-1131936875.000000,-223387819.000000,,-908549056.000000,-1131936875.000000,13860446033.000000,5000000000.000000,,,,13376946033.000000,,,,-4516500000.000000,,13860446033.000000,16479972743.000000,28275731858.000000,44755704601.000000
12M 2023,35720937654.000000,154569317621.000000,-61352450216.000000,-30941616661.000000,600002431.000000,-898841164.000000,-26254932752.000000,,-541605.000000,,35720937654.000000,-5304663789.000000,-3216940755.000000,,-2087723034.000000,-5304663789.000000,2388933215.000000,15500000000.000000,,,,,,,,-13111066785.000000,,2388933215.000000,32805207080.000000,44755704602.000000,77560911682.000000
12M 2024,28044993765.000000,174948764120.000000,-74867382894.000000,-36019278297.000000,942173244.000000,-433694255.000000,-38705789474.000000,,2180201321.000000,,28044993765.000000,-2931301195.000000,-2931301195.000000,,,-2931301195.000000,1796093233.000000,25500000000.000000,,,,,,,,-23703906767.000000,,1796093233.000000,26909785803.000000,77560911681.000000,104470697484.000000
