Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2018,0.00,17588587.84,0.00,17588587.84,5 B,1 B,6 B,(6 B),27 B
12M 2019,0.00,15780091.56,0.00,15780091.56,,1 B,1 B,(23 B),38 B
12M 2020,0.00,1881006.20,0.00,1881006.20,6 B,3 B,9 B,(0 B),31 B
12M 2021,1.03,122.31,1.03,122.31,3 B,2 B,,(23 B),65 B
12M 2022,1.35,137.45,1.35,137.45,4 B,1 B,5 B,(40 B),87 B
12M 2023,1.61,167.86,1.61,167.86,5 B,2 B,7 B,(70 B),108 B
12M 2024,1.04,215.98,1.04,215.98,1 B,9 B,9 B,(95 B),153 B
