Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Beban Akrual,Utang Pajak,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,9626541413.000000,,4815300060.000000,2000000.000000,,,2000000.000000,8624391110.000000,152643742.000000,23220876325.000000,,147172300.000000,8686586616.000000,8833758916.000000,32054635241.000000,,,22256413488.000000,2787396783.000000,,19000000000.000000,101881720.000000,367134985.000000,22256413488.000000,668965000.000000,668965000.000000,668965000.000000,22925378488.000000,,3000000000.000000,,6129256753.000000,,,6129256753.000000,,9129256753.000000,32054635241.000000,3000.000000
12M 2022,,,26590652212.000000,,5082172297.000000,4500000.000000,,,4500000.000000,9916554429.000000,2018349653.000000,43612228591.000000,,242558360.000000,6353779044.000000,6596337404.000000,50208565995.000000,,,18171196762.000000,1198706433.000000,,13000000000.000000,2964889841.000000,1007600488.000000,18171196762.000000,1102538000.000000,1102538000.000000,1102538000.000000,19273734762.000000,,22000000000.000000,,8934831233.000000,,,8934831233.000000,,30934831233.000000,50208565995.000000,22000.000000
12M 2023,,,37320044072.000000,3000000000.000000,10884924170.000000,5821500.000000,,5821500.000000,5821500.000000,6750407005.000000,13731075370.000000,71692272117.000000,,326391963.000000,1465350077.000000,1791742040.000000,73484014157.000000,,,1472751993.000000,,,,83500000.000000,1389251993.000000,1472751993.000000,1435973000.000000,1435973000.000000,1435973000.000000,2908724993.000000,,38625000000.000000,27455000000.000000,4495289164.000000,50000000.000000,4445289164.000000,4495289164.000000,,70575289164.000000,73484014157.000000,1545000000.000000
12M 2024,,,18793351367.000000,,54996933432.000000,32208176274.000000,17000000000.000000,15208176274.000000,32208176274.000000,38791100383.000000,5371753726.000000,150161315182.000000,,659334451.000000,40681014638.000000,41340349089.000000,191501664271.000000,,,101051635030.000000,70268155446.000000,26029000000.000000,3614898757.000000,88000000.000000,1051580827.000000,101051635030.000000,2181006222.000000,2181006222.000000,2181006222.000000,103232641252.000000,,38626524000.000000,27468716000.000000,4928069390.000000,100000000.000000,4828069390.000000,4928069390.000000,17245713629.000000,88269023019.000000,191501664271.000000,1545060960.000000
