Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,313937471104.000000,-289783282051.000000,24154189053.000000,-21412050244.000000,-3997401612.000000,-17414798632.000000,150000.000000,-21412050244.000000,2742138809.000000,-71705043.000000,-115527139.000000,43822096.000000,-71705043.000000,,2670433766.000000,-592526220.000000,2077907546.000000,2077907546.000000,,2077907546.000000,2077907546.000000,2077907546.000000,,2077907546.000000,2077907546.000000,2077907546.000000,,2077907546.000000
12M 2022,325984796778.000000,-302766907997.000000,23217888781.000000,-20221833720.000000,-2714919820.000000,-17637422749.000000,130508849.000000,-20221833720.000000,2996055061.000000,-35229321.000000,-41717381.000000,6488060.000000,-35229321.000000,,2960825740.000000,-696288120.000000,2264537620.000000,2264537620.000000,541036860.000000,2805574480.000000,2264537620.000000,2264537620.000000,,2264537620.000000,2805574480.000000,2805574480.000000,,2805574480.000000
12M 2023,306181596395.000000,-277699145608.000000,28482450787.000000,-23179244716.000000,-3768186609.000000,-19350301228.000000,-60756879.000000,-23179244716.000000,5303206071.000000,555976177.000000,-160594621.000000,716570798.000000,555976177.000000,,5859182248.000000,-1415418657.000000,4443763591.000000,4443763591.000000,16694340.000000,4460457931.000000,4443763591.000000,4443763591.000000,,4443763591.000000,4460457931.000000,4460457931.000000,,4460457931.000000
12M 2024,705509560799.000000,-651430260057.000000,54079300742.000000,-47733362608.000000,-4259458127.000000,-44988164297.000000,1514259816.000000,-47733362608.000000,6345938134.000000,242089323.000000,-412027072.000000,654116395.000000,242089323.000000,,6588027457.000000,-1804317323.000000,4783710134.000000,4783710134.000000,193561952.000000,4977272086.000000,4783710134.000000,2558713245.000000,2224996889.000000,4783710134.000000,4977272086.000000,2750287440.000000,2226984646.000000,4977272086.000000
