Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,6 B,(2 B),3 B,1125004.45
12M 2022,5 B,(1 B),4 B,170358.84
12M 2023,0 B,(1 B),(1 B),-0.33
12M 2024,14 B,(41 B),(27 B),-17.66
