Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Karyawan,Pemasok,Total Pembayaran Kas Kepada:,Pembayaran Kas Untuk Beban Usaha Dan Operasi Lainnya,Penerimaan Bunga,Pembayaran Kas Untuk:,Beban Bunga,Pajak,Total Pembayaran Kas Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penyertaan Saham Pada Entitas Anak,Penambahan Aset Lancar Lainnya Atas Investasi Pada Entitas Anak,Kenaikan Piutang Lain-Lain Pihak Berelasi,Pencairan Deposito,Kenaikan Deposito,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Dari:,Utang Lain-Lain,Penerimaan Utang Bank Jangka Pendek,Penerimaan Setoran Modal Melalui Pelaksanaan Waran,Total Penambahan Dari:,Pembayaran:,Utang Bank,Utang Lain-Lain,Dividen Modal Saham,Total Pembayaran:,Peningkatan Modal Saham,Penerimaan Dana Ipo,Biaya Ipo,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Efek Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2021,5772716352.000000,314846542375.000000,,,-290566712663.000000,-290566712663.000000,-16988580752.000000,43822096.000000,,-115527139.000000,-1446827565.000000,-1562354704.000000,5772716352.000000,-2397703000.000000,-2397703000.000000,,,,,,,-2397703000.000000,-4025151730.000000,,7000000000.000000,,,7000000000.000000,,,-11025151730.000000,,-11025151730.000000,,,,-4025151730.000000,-650138378.000000,10276679791.000000,,9626541413.000000
12M 2022,4649464083.000000,325717924541.000000,,,-305647761666.000000,-305647761666.000000,-14635609990.000000,6488060.000000,,-41717381.000000,-749859481.000000,-791576862.000000,4649464083.000000,-685353284.000000,-901569500.000000,216216216.000000,,,,,,-685353284.000000,13000000000.000000,,13000000000.000000,,,13000000000.000000,,,-19000000000.000000,,-19000000000.000000,19000000000.000000,,,13000000000.000000,16964110799.000000,9626541413.000000,,26590652212.000000
12M 2023,477888605.000000,289128844522.000000,,,-275731704617.000000,-275731704617.000000,-12515085233.000000,716570798.000000,,-160594621.000000,-960142244.000000,-1120736865.000000,477888605.000000,-11928496745.000000,-986854000.000000,3308357255.000000,,-11250000000.000000,,,-3000000000.000000,-11928496745.000000,22180000000.000000,,,,,,,,-13000000000.000000,,-13000000000.000000,7725000000.000000,29355000000.000000,-1900000000.000000,22180000000.000000,10729391860.000000,26590652212.000000,,37320044072.000000
12M 2024,13570138782.000000,686149382658.000000,,,-628478474185.000000,-628478474185.000000,-42369846652.000000,654116395.000000,,-412027072.000000,-1973012362.000000,-2385039434.000000,13570138782.000000,-59858784942.000000,-40858784942.000000,,,-5000000000.000000,-17000000000.000000,3000000000.000000,,-59858784942.000000,23297732786.000000,,,25600000000.000000,15240000.000000,25615240000.000000,,,,-2317507214.000000,-2317507214.000000,,,,23297732786.000000,-22990913374.000000,37320044072.000000,4464220669.000000,18793351367.000000
