Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penghasilan Bunga Yang Diterima,Pembayaran Uang Muka,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak,Pembayaran Bunga Dan Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Pelepasan Aset Tetap,Pelepasan Properti Investasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Dividen,Pinjaman Bank Jangka Panjang,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Panjang,Pinjaman Jangka Pendek,Penerimaan,Pembayaran,Total Pinjaman Jangka Pendek,Pencairan Utang Bank Dan Pinjaman Jangka Panjang Lain-Lain,Liabilitas Sewa,Penerimaan,Pembayaran,Total Liabilitas Sewa,Penerimaan Dari Transaksi Jual Dan Sewa Balik,Utang Kepada Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Kepada Pihak Berelasi,Kewajiban Sewa Pembiayaan- Pihak Ketiga,Penerimaan,Pembayaran,Total Kewajiban Sewa Pembiayaan- Pihak Ketiga,Pinjaman Jangka Panjang Lain-Lain- Pihak Berelasi,Penerimaan,Pembayaran,Total Pinjaman Jangka Panjang Lain-Lain- Pihak Berelasi,Pinjaman Jangka Panjang Lain-Lain- Pihak Ketiga,Penerimaan,Pembayaran,Total Pinjaman Jangka Panjang Lain-Lain- Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,52540624000.000000,424419730000.000000,-309901764000.000000,-49346342000.000000,447313000.000000,,-7639935000.000000,,-5438378000.000000,52540624000.000000,-107300108000.000000,1763534000.000000,,,-109063642000.000000,-107300108000.000000,78510234000.000000,,,,142450340000.000000,,142450340000.000000,,86830000000.000000,-19496910000.000000,67333090000.000000,,,,,,,,,-122733000000.000000,-122733000000.000000,,,-5419199000.000000,-5419199000.000000,,,,,,,-3120997000.000000,-3120997000.000000,78510234000.000000,23750750000.000000,2765973000.000000,18951455000.000000,45468178000.000000
12M 2019,-70174427000.000000,444019512000.000000,-415328398000.000000,-57257714000.000000,1804433000.000000,-17126032000.000000,-6108077000.000000,,-20178151000.000000,-70174427000.000000,-16318823000.000000,8204146000.000000,,,-24522969000.000000,-16318823000.000000,136612300000.000000,142045973000.000000,,,,-57784224000.000000,-57784224000.000000,,110569982000.000000,-53199684000.000000,57370298000.000000,,,,,,21222000000.000000,,,,,,,-5043658000.000000,-5043658000.000000,,,,,,,-21198089000.000000,-21198089000.000000,136612300000.000000,50119050000.000000,1226944000.000000,45468178000.000000,96814172000.000000
12M 2020,9809040000.000000,490568980000.000000,-375561908000.000000,-69716650000.000000,1501371000.000000,,-4580694000.000000,264501000.000000,-32666560000.000000,9809040000.000000,-64417937000.000000,32106344000.000000,,,-96524281000.000000,-64417937000.000000,72698965000.000000,,-13561664000.000000,,113456400000.000000,-18117244000.000000,95339156000.000000,,37039867000.000000,-39713007000.000000,-2673140000.000000,,,,,,,,,,,,,-5485627000.000000,-5485627000.000000,,,-919760000.000000,-919760000.000000,,,,,72698965000.000000,18090068000.000000,557270000.000000,96814172000.000000,115461510000.000000
12M 2021,18650157000.000000,641264918000.000000,-563241598000.000000,-36329628000.000000,343475000.000000,,-2975739000.000000,,-20411271000.000000,18650157000.000000,-129872137000.000000,90000000.000000,,,-129962137000.000000,-129872137000.000000,58690230000.000000,,,,,-39563293000.000000,-39563293000.000000,,162093048000.000000,-53982800000.000000,108110248000.000000,,,,,,,,,,,,,-9856725000.000000,-9856725000.000000,,,,,,,,,58690230000.000000,-52531750000.000000,-366184000.000000,115461510000.000000,62563576000.000000
12M 2022,31379903000.000000,679008565000.000000,-519029950000.000000,-89416910000.000000,226342000.000000,,-14037916000.000000,2249892000.000000,-27620120000.000000,31379903000.000000,-78462204000.000000,1976996000.000000,,,-80439200000.000000,-78462204000.000000,65665297000.000000,,-5424666000.000000,,,-46518162000.000000,-46518162000.000000,,137316112000.000000,-30370159000.000000,106945953000.000000,,,,,,,,,,,,23113500000.000000,-12451328000.000000,10662172000.000000,,,,,,,,,65665297000.000000,18582996000.000000,-50674000.000000,62563576000.000000,81095898000.000000
12M 2023,9199201000.000000,582112467000.000000,-430535252000.000000,-87546605000.000000,1830107000.000000,,-4580369000.000000,,-52081147000.000000,9199201000.000000,-41673763000.000000,455781000.000000,,,-42129544000.000000,-41673763000.000000,67983475000.000000,,,,,-37598108000.000000,-37598108000.000000,,198617727000.000000,-82672140000.000000,115945587000.000000,4499400000.000000,,,,,,,,,,,,-14863404000.000000,-14863404000.000000,,,,,,,,,67983475000.000000,35508913000.000000,-1033000.000000,81095898000.000000,116603778000.000000
12M 2024,-3969410000.000000,638767038000.000000,-515078489000.000000,-79560002000.000000,1905338000.000000,,-2704055000.000000,6675144000.000000,-53974384000.000000,-3969410000.000000,3591346000.000000,17484023000.000000,,5250000000.000000,-19142677000.000000,3591346000.000000,-41577775000.000000,,,,,-39505032000.000000,-39505032000.000000,,104891956000.000000,-104478042000.000000,413914000.000000,,,12713600000.000000,,12713600000.000000,,,,,,,,-15200257000.000000,-15200257000.000000,,,,,,,,,-41577775000.000000,-41955839000.000000,-3797000.000000,116603778000.000000,74644142000.000000
