Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,395632600000.000000,-288634885000.000000,106997715000.000000,-61172449000.000000,-57426058000.000000,-3746391000.000000,-61172449000.000000,45825266000.000000,-24134340000.000000,-23037120000.000000,-1097220000.000000,-24134340000.000000,21690926000.000000,-5649779000.000000,,,,-5649779000.000000,16041147000.000000,240846000.000000,16281993000.000000,16041147000.000000,16041147000.000000,,16041147000.000000,16281993000.000000,16281993000.000000,,16281993000.000000
12M 2019,494684971000.000000,-402648938000.000000,92036033000.000000,-41257373000.000000,-65219306000.000000,23961933000.000000,-41257373000.000000,50778660000.000000,-21457146000.000000,-22211928000.000000,754782000.000000,-21457146000.000000,29321514000.000000,-6787075000.000000,,,,-6787075000.000000,22534439000.000000,109801000.000000,22644240000.000000,22534439000.000000,22534439000.000000,,22534439000.000000,22644240000.000000,22644240000.000000,,22644240000.000000
12M 2020,518652053000.000000,-427898412000.000000,90753641000.000000,-83235916000.000000,-78368717000.000000,-4867199000.000000,-83235916000.000000,7517725000.000000,-17151155000.000000,-17894581000.000000,743426000.000000,-17151155000.000000,-9633430000.000000,398904000.000000,,,,398904000.000000,-9234526000.000000,-491598000.000000,-9726124000.000000,-9234526000.000000,-9234526000.000000,,-9234526000.000000,-9726124000.000000,-9726124000.000000,,-9726124000.000000
12M 2021,633300205000.000000,-499526385000.000000,133773820000.000000,-83667102000.000000,-91350433000.000000,7683331000.000000,-83667102000.000000,50106718000.000000,-15740845000.000000,-20067796000.000000,4326951000.000000,-15740845000.000000,34365873000.000000,-7043070000.000000,,,,-7043070000.000000,27322803000.000000,-479882000.000000,26842921000.000000,27322803000.000000,27322803000.000000,,27322803000.000000,26842921000.000000,26842921000.000000,,26842921000.000000
12M 2022,691532368000.000000,-557544143000.000000,133988225000.000000,-145640541000.000000,-107505056000.000000,-38135485000.000000,-145640541000.000000,-11652316000.000000,-33004034000.000000,-27393778000.000000,-5610256000.000000,-33004034000.000000,-44656350000.000000,8264204000.000000,,8524681000.000000,-260477000.000000,8264204000.000000,-36392146000.000000,254276000.000000,-36137870000.000000,-36392146000.000000,-36392146000.000000,,-36392146000.000000,-36137870000.000000,-36137870000.000000,,-36137870000.000000
12M 2023,600210346000.000000,-489640686000.000000,110569660000.000000,-89646313000.000000,-105909969000.000000,16263656000.000000,-89646313000.000000,20923347000.000000,-55314899000.000000,-50251040000.000000,-5063859000.000000,-55314899000.000000,-34391552000.000000,6834840000.000000,,6834840000.000000,,6834840000.000000,-27556712000.000000,-790423000.000000,-28347135000.000000,-27556712000.000000,-27556712000.000000,,-27556712000.000000,-28347135000.000000,-28347135000.000000,,-28347135000.000000
12M 2024,629023011000.000000,-527984770000.000000,101038241000.000000,-23796360000.000000,-100134140000.000000,76337780000.000000,-23796360000.000000,77241881000.000000,-42373802000.000000,-52069046000.000000,9695244000.000000,-42373802000.000000,34868079000.000000,13462618000.000000,,13462618000.000000,,13462618000.000000,48330697000.000000,-73105000.000000,48257592000.000000,48330697000.000000,48330697000.000000,,48330697000.000000,48257592000.000000,48257592000.000000,,48257592000.000000
