Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,518288135259.000000,-466181818887.000000,52106316372.000000,-63946207893.000000,-40222305810.000000,-23723902083.000000,,-63946207893.000000,-11839891521.000000,-11388765177.000000,1203511512.000000,264685978.000000,-703439625.000000,-11042795041.000000,-1110728001.000000,-11388765177.000000,,-23228656698.000000,-1666402205.000000,-24895058903.000000,,-24895058903.000000,,,-24895058903.000000,-24895058903.000000,,-24895058903.000000,,,,
12M 2009,512321248860.000000,-464168104456.000000,48153144404.000000,-61431776017.000000,-37239989094.000000,-24191786923.000000,,-61431776017.000000,-13278631613.000000,20983675108.000000,1101202388.000000,131039197.000000,-714975676.000000,9999271718.000000,10467137481.000000,20983675108.000000,15126436.000000,7720169931.000000,536488316.000000,8256658247.000000,,8256658247.000000,,,8256658247.000000,8256658247.000000,,8256658247.000000,,,,
12M 2010,430091425075.000000,-384396966504.000000,45694458571.000000,-57160171430.000000,-33929223700.000000,-23230947730.000000,,-57160171430.000000,-11465712859.000000,11176554100.000000,268029598.000000,2270332712.000000,-1813451832.000000,2270159378.000000,8181484244.000000,11176554100.000000,,-289158759.000000,-369235708.000000,-658394467.000000,,-658394467.000000,,,-658394467.000000,-658394467.000000,,-658394467.000000,,,,
12M 2011,400150509487.000000,-358724714022.000000,41425795465.000000,-38417625210.000000,-32242741302.000000,-21613266503.000000,15438382595.000000,-38417625210.000000,3008170255.000000,-1166755009.000000,,321567397.000000,-1488322406.000000,,,-1166755009.000000,,1841415246.000000,-589306272.000000,1252108974.000000,,1252108974.000000,,1252108974.000000,1252108974.000000,1254381943.000000,-2272969.000000,1252108974.000000,1252108974.000000,1254381943.000000,-2272969.000000,1252108974.000000
12M 2012,406693825018.000000,-365098738264.000000,41595086754.000000,-32864221456.000000,-32864121306.000000,-20227967779.000000,20227867629.000000,-32864221456.000000,8730865298.000000,79440845724.000000,,1596057555.000000,-5003803064.000000,,82848591233.000000,79440845724.000000,,88171711022.000000,-4334613542.000000,83837097480.000000,,83837097480.000000,,83837097480.000000,83837097480.000000,83812699398.000000,24398082.000000,83837097480.000000,83837097480.000000,83812699398.000000,24398082.000000,83837097480.000000
12M 2013,426102148038.000000,-382325572644.000000,43776575394.000000,-46166059078.000000,-33782006626.000000,-19060649596.000000,6676597144.000000,-46166059078.000000,-2389483684.000000,-2589907927.000000,,21092063.000000,-2610999990.000000,,,-2589907927.000000,,-4979391611.000000,152835777.000000,-4826555834.000000,,-4826555834.000000,,-4826555834.000000,-4826555834.000000,-4826566334.000000,10500.000000,-4826555834.000000,-4826555834.000000,-4826566334.000000,10500.000000,-4826555834.000000
12M 2014,506052820458.000000,-454456048031.000000,51596772427.000000,-10940447144.000000,-39066914011.000000,-21174772868.000000,49301239735.000000,-10940447144.000000,40656325283.000000,-1337814177.000000,,597933792.000000,-1935747969.000000,,,-1337814177.000000,,39318511106.000000,131455854.000000,39449966960.000000,,39449966960.000000,,39449966960.000000,39449966960.000000,39449966960.000000,,39449966960.000000,39449966960.000000,39449966960.000000,,39449966960.000000
12M 2015,506052820458.000000,-454456048031.000000,51596772427.000000,-10723452532.000000,-39066914011.000000,-20957778256.000000,49301239735.000000,-10723452532.000000,40873319895.000000,-1337814177.000000,,740320340.000000,-1935747969.000000,,-142386548.000000,-1337814177.000000,,39535505718.000000,131455854.000000,39666961572.000000,,39666961572.000000,-472364942.000000,39194596630.000000,39666961572.000000,39666961572.000000,,39666961572.000000,39194596630.000000,39194596630.000000,,39194596630.000000
12M 2016,858320105733.000000,-785702001712.000000,72618104021.000000,-64091308749.000000,-62834128907.000000,-30386002793.000000,29128822951.000000,-64091308749.000000,8526795272.000000,-3575488708.000000,,874854962.000000,-4279187895.000000,,-171155775.000000,-3575488708.000000,,4951306564.000000,-1661915775.000000,3289390789.000000,,3289390789.000000,-2844500000.000000,444890789.000000,3289390789.000000,3289390789.000000,,3289390789.000000,444890789.000000,444890789.000000,,444890789.000000
12M 2017,992751074239.000000,-914415261187.000000,78335813052.000000,92404762507.000000,-81331748074.000000,-43745674109.000000,217482184690.000000,92404762507.000000,170740575559.000000,-1955914827.000000,,1826831425.000000,-3478953331.000000,,-303792921.000000,-1955914827.000000,,168784660732.000000,168149172.000000,168952809904.000000,,168952809904.000000,-1303927000.000000,167648882904.000000,168952809904.000000,168952809904.000000,,168952809904.000000,167648882904.000000,167648882904.000000,,167648882904.000000
