Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Lain Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,1814710250.000000,22499125907.000000,,,22499125907.000000,,,,,67837953621.000000,1972533998.000000,94124323776.000000,,,,,118312239882.000000,246433391.000000,517520785.000000,119076194058.000000,213200517834.000000,,,50396092265.000000,,9493537450.000000,16957735297.000000,26451272747.000000,239670000.000000,,,239670000.000000,1502436875.000000,46482058.000000,,21429243120.000000,726987465.000000,,,22156230585.000000,,50396092265.000000,50498358838.000000,,48712672340.000000,799952935.000000,,,49512625275.000000,,,,985733563.000000,50498358838.000000,100894451103.000000,,125000000000.000000,,-12693933269.000000,,,-12693933269.000000,,112306066731.000000,213200517834.000000,125000000.000000
12M 2012,,,31170628472.000000,81700032737.000000,,,81700032737.000000,,,,,70699845687.000000,17722405039.000000,201292911935.000000,,,,,122976573963.000000,349568442.000000,900000.000000,123327042405.000000,324619954340.000000,,,93929237540.000000,,22417440135.000000,16231654053.000000,38649094188.000000,458360000.000000,,,458360000.000000,9636420356.000000,46482058.000000,,43850808946.000000,1288071992.000000,,,45138880938.000000,,93929237540.000000,41768833004.000000,,39191368671.000000,1179190567.000000,,,40370559238.000000,,,,1398273766.000000,41768833004.000000,135698070544.000000,,155000000000.000000,30448500000.000000,3473383796.000000,,,3473383796.000000,,188921883796.000000,324619954340.000000,1550000000.000000
12M 2013,,,72784839717.000000,147918894410.000000,7964294143.000000,139954600267.000000,147918894410.000000,511548911625.000000,505206073052.000000,6342838573.000000,511548911625.000000,82438634333.000000,241817416854.000000,1056508696939.000000,,3350000000.000000,3350000000.000000,3350000000.000000,438154959274.000000,948862547.000000,3556870999.000000,446010692820.000000,1502519389759.000000,,,575436437982.000000,,49488236296.000000,46632236088.000000,96120472384.000000,108945000.000000,,,108945000.000000,4490284968.000000,9463094537.000000,,84433885592.000000,6065533551.000000,,,90499419143.000000,374754221950.000000,575436437982.000000,384753553611.000000,,275098795187.000000,6321086593.000000,,,281419881780.000000,3350000000.000000,96188221644.000000,,3795450187.000000,384753553611.000000,960189991593.000000,,218466324700.000000,305917971373.000000,15520895084.000000,500000000.000000,15020895084.000000,15520895084.000000,2424207009.000000,542329398166.000000,1502519389759.000000,2184663247.000000
12M 2014,,,105374675114.000000,73441619292.000000,4974294143.000000,68467325149.000000,73441619292.000000,83989982574.000000,79041118407.000000,4948864167.000000,83989982574.000000,110303981853.000000,360357758153.000000,733468016986.000000,,,,,502483397341.000000,774634321.000000,2327578210.000000,505585609872.000000,1239053626858.000000,,,238474789272.000000,,34864241800.000000,34066062423.000000,68930304223.000000,54717600570.000000,,,54717600570.000000,3445253891.000000,635408561.000000,,102568236013.000000,4877986014.000000,,,107446222027.000000,3300000000.000000,238474789272.000000,467927928546.000000,,452520721591.000000,2940970813.000000,,,455461692404.000000,,6553938440.000000,,5912297702.000000,467927928546.000000,706402717818.000000,,218652777700.000000,306188328223.000000,5432232594.000000,1000000000.000000,4432232594.000000,5432232594.000000,2377570523.000000,532650909040.000000,1239053626858.000000,2186527777.000000
12M 2015,,,2933495039.000000,60403987121.000000,5975290808.000000,54428696313.000000,60403987121.000000,59940931292.000000,58930264722.000000,1010666570.000000,59940931292.000000,117443478389.000000,315037198743.000000,555759090584.000000,,,,,583093655136.000000,16781360580.000000,24593965864.000000,624468981580.000000,1180228072164.000000,,,351136317401.000000,,8019203145.000000,46297924775.000000,54317127920.000000,,20341860844.000000,5024192351.000000,25366053195.000000,3015988256.000000,2318177829.000000,,47036185407.000000,2699062641.000000,7477089485.000000,,57212337533.000000,208906632668.000000,351136317401.000000,322119571236.000000,,288449797760.000000,882179847.000000,23203619557.000000,,312535597164.000000,,,,9583974072.000000,322119571236.000000,673255888637.000000,,218652800600.000000,306188361428.000000,-20206218950.000000,1000000000.000000,-21206218950.000000,-20206218950.000000,2337240449.000000,506972183527.000000,1180228072164.000000,2186528006.000000
12M 2016,,,5320071620.000000,55614107682.000000,912218439.000000,54701889243.000000,55614107682.000000,49539740248.000000,45251187633.000000,4288552615.000000,49539740248.000000,117649171147.000000,21697852503.000000,249820943200.000000,,,,,605273515445.000000,4783316598.000000,305215857580.000000,915272689623.000000,1165093632823.000000,,,331532658228.000000,,8747895396.000000,35863576247.000000,44611471643.000000,,53542494872.000000,8389546932.000000,61932041804.000000,600453010.000000,3943107192.000000,,29209029719.000000,624586319.000000,11996951670.000000,,41830567708.000000,178615016871.000000,331532658228.000000,352719556194.000000,,321541621975.000000,252862133.000000,19084541514.000000,,340879025622.000000,,,,11840530572.000000,352719556194.000000,684252214422.000000,,218660309000.000000,306199248608.000000,-46288017361.000000,1000000000.000000,-47288017361.000000,-46288017361.000000,2269878154.000000,480841418401.000000,1165093632823.000000,2186603090.000000
12M 2017,,,5547508722.000000,41149558556.000000,554154210.000000,40595404346.000000,41149558556.000000,5390553767.000000,1650000000.000000,3740553767.000000,5390553767.000000,125753902334.000000,15102417260.000000,192943940639.000000,,,,,893121939349.000000,11458929593.000000,11859161530.000000,916440030472.000000,1109383971111.000000,,,179485187884.000000,,32945564076.000000,25495976218.000000,58441540294.000000,,39681477381.000000,6580516789.000000,46261994170.000000,2785568464.000000,7039921795.000000,,5780064177.000000,267088176.000000,9706776104.000000,,15753928457.000000,49202234704.000000,179485187884.000000,510613994527.000000,,486578947545.000000,157748609.000000,9626962351.000000,,496363658505.000000,,,,14250336022.000000,510613994527.000000,690099182411.000000,,219187055800.000000,306963031468.000000,-108699624008.000000,1000000000.000000,-109699624008.000000,-108699624008.000000,1834325440.000000,419284788700.000000,1109383971111.000000,2191870558.000000
12M 2018,,,3844646054.000000,49839466350.000000,36445006.000000,49803021344.000000,49839466350.000000,2483778959.000000,2450806950.000000,32972009.000000,2483778959.000000,121306183449.000000,11057319226.000000,188531394038.000000,,,,,883204636248.000000,23825198707.000000,14282293351.000000,921312128306.000000,1109843522344.000000,,,246962435572.000000,,42392556773.000000,38987995768.000000,81380552541.000000,,44247194847.000000,99154099742.000000,143401294589.000000,558498877.000000,8013303816.000000,,,795203114.000000,4410997645.000000,,5206200759.000000,8402584990.000000,246962435572.000000,475754409227.000000,,315971742597.000000,1163708881.000000,23855997423.000000,,340991448901.000000,,121058714449.000000,,13704245877.000000,475754409227.000000,722716844799.000000,,219187055800.000000,306963031468.000000,-140710959909.000000,1000000000.000000,-141710959909.000000,-140710959909.000000,1687550186.000000,387126677545.000000,1109843522344.000000,2191870558.000000
12M 2019,,,2979885392.000000,44532793246.000000,149200009.000000,44383593237.000000,44532793246.000000,2712551609.000000,,2712551609.000000,2712551609.000000,115601575304.000000,10992063028.000000,176818868579.000000,,,,,885151767583.000000,27208933657.000000,14270517345.000000,926631218585.000000,1103450087164.000000,,,200070083238.000000,,46283416884.000000,34142639788.000000,80426056672.000000,,,941795128.000000,941795128.000000,690769869.000000,6926953528.000000,,,953419619.000000,10129020764.000000,,11082440383.000000,100002067658.000000,200070083238.000000,522649480312.000000,,,588894530.000000,14446643155.000000,,15035537685.000000,,491709885879.000000,,15904056748.000000,522649480312.000000,722719563550.000000,,219187055800.000000,306963031468.000000,-147755029525.000000,1000000000.000000,-148755029525.000000,-147755029525.000000,2335465871.000000,380730523614.000000,1103450087164.000000,2191870558.000000
12M 2020,,,24388817920.000000,37287011454.000000,72183008.000000,37214828446.000000,37287011454.000000,136093458.000000,,136093458.000000,136093458.000000,112134962507.000000,18791986906.000000,192738872245.000000,,,,,874144213406.000000,24827066716.000000,14164262889.000000,913135543011.000000,1105874415256.000000,,,232807819931.000000,,5764652740.000000,84156208655.000000,89920861395.000000,,,4119995785.000000,4119995785.000000,438567091.000000,6296529609.000000,,,639853473.000000,14621650370.000000,291750367.000000,15553254210.000000,116478611841.000000,232807819931.000000,500183514985.000000,,,75242853.000000,22283452992.000000,269127781.000000,22627823626.000000,,463048912231.000000,,14506779128.000000,500183514985.000000,732991334916.000000,,219187055800.000000,306963031468.000000,-158235261920.000000,1000000000.000000,-159235261920.000000,-158235261920.000000,4968254992.000000,372883080340.000000,1105874415256.000000,2191870558.000000
