Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,2921058498.000000,22662546112.000000,22658476112.000000,4070000.000000,22662546112.000000,,3904927346.000000,18808307823.000000,48296839779.000000,,378326958226.000000,,14669499169.000000,392996457395.000000,441293297174.000000,,,116494552135.000000,22474988326.000000,,1685392114.000000,,1685392114.000000,936933187.000000,669355647.000000,,8161857711.000000,8161857711.000000,,13420666664.000000,40734576771.000000,54155243435.000000,28410781715.000000,116494552135.000000,229183806495.000000,9278296233.000000,,70161072273.000000,148398720724.000000,218559792997.000000,1345717265.000000,229183806495.000000,345678358630.000000,,66550000000.000000,,29349025593.000000,,29349025593.000000,29349025593.000000,,-284087049.000000,95614938544.000000,441293297174.000000,665500000.000000
12M 2022,,,8759584740.000000,44301333340.000000,44191633340.000000,109700000.000000,44301333340.000000,266073526.000000,8175357506.000000,12258672685.000000,73761021797.000000,,541988920292.000000,,69076210900.000000,611065131192.000000,684826152989.000000,,,117091774832.000000,,,5213134406.000000,434700000.000000,5647834406.000000,2685518553.000000,1391526681.000000,,300000000.000000,300000000.000000,,5304000000.000000,59041387306.000000,64345387306.000000,42721507886.000000,117091774832.000000,371748300246.000000,20041680686.000000,,35494572274.000000,314903143068.000000,350397715342.000000,1308904218.000000,371748300246.000000,488840075078.000000,,151550000000.000000,,45183423074.000000,5000000000.000000,40183423074.000000,45183423074.000000,9429978.000000,-756775141.000000,195986077911.000000,684826152989.000000,1515500000.000000
12M 2023,,,16057258132.000000,84830652810.000000,84236026227.000000,594626583.000000,84830652810.000000,414478249.000000,8805098653.000000,11069316380.000000,121176804224.000000,,716110892825.000000,,104023460300.000000,820134353125.000000,941311157349.000000,,,121186207014.000000,,,12135696797.000000,1186875525.000000,13322572322.000000,2121186878.000000,3204519092.000000,,200000000.000000,200000000.000000,,17149123737.000000,85188804985.000000,102337928722.000000,,121186207014.000000,537963475091.000000,31813395053.000000,,107156815088.000000,397216629646.000000,504373444734.000000,1776635304.000000,537963475091.000000,659149682105.000000,,189437500000.000000,15161644523.000000,78604879312.000000,10000000000.000000,68604879312.000000,78604879312.000000,20135984.000000,-1062684575.000000,282161475244.000000,941311157349.000000,1894375000.000000
12M 2024,,,8528119944.000000,153361025154.000000,149661141769.000000,3699883385.000000,153361025154.000000,2740805931.000000,13254380636.000000,15864847290.000000,193749178955.000000,,795447750938.000000,2182964.000000,690971300.000000,796140905202.000000,989890084157.000000,,,164097979745.000000,5000000000.000000,,22892500916.000000,8162437078.000000,31054937994.000000,1664953414.000000,8300918414.000000,,4878400000.000000,4878400000.000000,,19401706902.000000,93797063021.000000,113198769923.000000,,164097979745.000000,505385402347.000000,46203999221.000000,,87755108220.000000,367734842497.000000,455489950717.000000,3691452409.000000,505385402347.000000,669483382092.000000,,189437500000.000000,15161644523.000000,118027684156.000000,15000000000.000000,103027684156.000000,118027684156.000000,82670272.000000,-2302796886.000000,320406702065.000000,989890084157.000000,1894375000.000000
