Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,21 B,(13 B),8 B,11.66
12M 2022,28 B,(2 B),25 B,16.59
12M 2023,60 B,(106 B),(47 B),-24.59
12M 2024,34 B,(38 B),(4 B),-1.92
