Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Operasi Lainnya,Pembayaran Beban Keuangan Dan Pembiayaan Musyarakah,Penerimaan Dari (Pembayaran Untuk) Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Akuisisi Kepentingan Non Pengendali,Penerimaan Dari Piutang Lain-Lain,Pembayaran Untuk Piutang Lain-Lain,Penerimaan Kas Tambahan Setoran Modal Pasa Entitas Anak,Perolehan Aset Tetap,Penambahan Uang Muka Pembelian Aset,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari,Setoran Modal,Setoran Modal Non Pengendali Di Entitas Anak,Pinjaman,Utang Lain-Lain Pihak Berelasi,Pembiayaan Musyarakah,Total Penerimaan Dari,Pembayaran Untuk,Biaya Emisi Saham,Pinjaman,Utang Pembiayaan Konsumen,Utang Lain-Lain Pihak Berelasi,Pembiayaan Musyarakah,Total Pembayaran Untuk,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,21131695059.000000,146357789158.000000,-64274765235.000000,-15305856651.000000,-5023966462.000000,-37180888251.000000,-3440617500.000000,21131695059.000000,-14338677645.000000,194090909.000000,,,,-1163631628.000000,-13369136926.000000,,-14338677645.000000,-37609616246.000000,,47400000000.000000,,13493691271.000000,51607320130.000000,16838182523.000000,129339193924.000000,,,-25925512909.000000,-86128110412.000000,-53450046162.000000,-1445140687.000000,-166948810170.000000,-37609616246.000000,-30816598832.000000,5326875615.000000,-25489723217.000000
12M 2022,27606264949.000000,194019387933.000000,-88671596291.000000,-23747340163.000000,-9559711531.000000,-39743184494.000000,-4691290505.000000,27606264949.000000,-44999815282.000000,333333333.000000,-390000000.000000,,,,-2458323041.000000,-42484825574.000000,-44999815282.000000,8921350404.000000,,85000000000.000000,400000000.000000,85096143594.000000,21918527443.000000,,192414671037.000000,,,-88195326963.000000,-63170718297.000000,-29780385154.000000,-2346890219.000000,-183493320633.000000,8921350404.000000,-8472199929.000000,-25489723217.000000,-33961923146.000000
12M 2023,59573516823.000000,304156239384.000000,-145812441175.000000,-41671218180.000000,,-63733059307.000000,6633996101.000000,59573516823.000000,-209633520238.000000,3911294603.000000,,,-176218189.000000,,-106159159152.000000,-107209437500.000000,-209633520238.000000,200079184693.000000,,56831250000.000000,,91575000000.000000,200000000.000000,126380500900.000000,274986750900.000000,,-126382160.000000,-8067633449.000000,-60173236210.000000,-300000000.000000,-6240314388.000000,-74907566207.000000,200079184693.000000,50019181278.000000,-33961923146.000000,16057258132.000000
12M 2024,33900503009.000000,359889841893.000000,-200211053960.000000,-54452040182.000000,,-69930049238.000000,-1396195504.000000,33900503009.000000,-13093388381.000000,26119392393.000000,,,-1669199042.000000,,-37543581732.000000,,-13093388381.000000,-28336252816.000000,,,8000000.000000,5000000000.000000,4978400000.000000,98752148636.000000,108738548636.000000,,,-17149123703.000000,-65586695000.000000,-300000000.000000,-54038982749.000000,-137074801452.000000,-28336252816.000000,-7529138188.000000,16057258132.000000,8528119944.000000
