Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Uang Muka Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Baban Usaha Dan Lain-Lain,Pembayaran Bunga & Adm Bank,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak Ppn Impor Dan Pph Final,Ppn,Pph,Total Pembayaran Pajak Ppn Impor Dan Pph Final,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penerimaan Lain-Lain,Penerimaan Peralihan Aset Tanah,Perolehan Aset Tetap,Pembayaran Aset Lain-Lain,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Dari Pihak Hubungan Istimewa,Penerimaan/(Pembayaran) Hutang Bank Mandiri,Kmk Aflopend,Kmk Revolving,Pengeluaran Uang Muka Untuk Pelunasan Kmk Revolving,Pokok,Bunga,Total Penerimaan/(Pembayaran) Hutang Bank Mandiri,Penerimaan/(Pembayaran) Kepihak Ketiga Lainnya,Orchard Corporation,Uang Muka Penjualan Sepatu,Pihak Ketiga Lainnya,Total Penerimaan/(Pembayaran) Kepihak Ketiga Lainnya,Penerimaan/(Pembayaran) Pinjaman,Penerimaan Pinjaman Pt. Perusahaan Pengelola Aset,Pembayaran Hutang Biaya Provisi Kredit Pt. Perusahaan Pengelola Aset,Penerimaan Hutang Multi Guna,Pembayaran Utang Lain-Lain,Penerimaan Hutang Lain-Lain,Pengeluaran Untuk Pinjaman Non Usaha,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,-2971377411.000000,291895149402.000000,,-230089885029.000000,,-61674775894.000000,,-175769773.000000,-2926096117.000000,,,,,,-2971377411.000000,-831382170.000000,19874631.000000,646517635.000000,,-1395496856.000000,-102277580.000000,,-831382170.000000,4355927769.000000,,-1561450000.000000,,,,,,-1561450000.000000,5917377769.000000,,,,5917377769.000000,,,,,,,,,4355927769.000000,553168188.000000,870840468.000000,,1424008656.000000
12M 2009,8177164615.000000,247758052326.000000,,-180296844086.000000,,-57433817955.000000,,-891032245.000000,-959193425.000000,,,,,,8177164615.000000,-707633680.000000,32346023.000000,645627467.000000,,-1213547180.000000,-172059990.000000,,-707633680.000000,-6014757826.000000,9734423706.000000,-15322000000.000000,,,,,,-15322000000.000000,-427181532.000000,,,,-427181532.000000,,,,,,,,,-6014757826.000000,1454773109.000000,1424008656.000000,,2878781765.000000
12M 2010,4194263079.000000,332488917024.000000,,-245644474903.000000,,-79621364286.000000,,-1407719756.000000,-1621095000.000000,,,,,,4194263079.000000,-1159765051.000000,20983653.000000,403547392.000000,,-1235394106.000000,-348901990.000000,,-1159765051.000000,-3731492570.000000,,-7670420120.000000,,,,,,-7670420120.000000,3938927550.000000,,,,3938927550.000000,,,,,,,,,-3731492570.000000,-696994542.000000,2878781765.000000,,2181787223.000000
12M 2011,539481657.000000,193601405925.000000,,-128755043570.000000,,-59360811294.000000,,-3643614252.000000,-1302455152.000000,,,,,,539481657.000000,-1058073818.000000,25179458.000000,726970775.000000,,-1663801934.000000,-146422117.000000,,-1058073818.000000,1802578043.000000,,,,,,,,,1802578043.000000,,,,1802578043.000000,,,,,,,,,1802578043.000000,1283985882.000000,2181787223.000000,,3465773105.000000
12M 2012,14230524183.000000,253163613921.000000,,-168097843611.000000,,-65116955487.000000,,-3554386152.000000,-2163904488.000000,,,,,,14230524183.000000,-1442109022.000000,167111098.000000,315563160.000000,,-1826212440.000000,-98570840.000000,,-1442109022.000000,-9721008502.000000,-93000000.000000,,,,,-18320000000.000000,-4896093044.000000,-23216093044.000000,,18320000000.000000,,-4731915458.000000,13588084542.000000,,,,,,,,,-9721008502.000000,3067406659.000000,3465773105.000000,,6533179764.000000
12M 2013,10671695453.000000,288317714072.000000,,-161590188807.000000,,-77379535547.000000,-18999480584.000000,-3515177276.000000,-4259509000.000000,,-11902127405.000000,,,-11902127405.000000,10671695453.000000,-1118908697.000000,219003942.000000,476203801.000000,,-1644186380.000000,-169930060.000000,,-1118908697.000000,-3611269148.000000,,,,,,,,,,-2595150000.000000,,-1016119148.000000,-3611269148.000000,,,,,,,,,-3611269148.000000,5941517608.000000,6533179764.000000,,12474697372.000000
12M 2014,11928906958.000000,305740132773.000000,,-178650129422.000000,,-85005988668.000000,-16810032630.000000,-3790764706.000000,-2740135993.000000,,-6814174396.000000,,,-6814174396.000000,11928906958.000000,-1512740875.000000,553621559.000000,232020416.000000,,-2014754406.000000,-283628444.000000,,-1512740875.000000,-13462212807.000000,-8057427739.000000,,,,,,,,,-6440150000.000000,,1035364932.000000,-5404785068.000000,,,,,,,,,-13462212807.000000,-3046046724.000000,12474697372.000000,,9428650648.000000
12M 2015,38488000851.000000,236853939574.000000,,-96287619206.000000,,-69211571611.000000,-16846716666.000000,-3656496745.000000,-661358631.000000,,-11702175864.000000,,,-11702175864.000000,38488000851.000000,-384279993.000000,693084540.000000,190064971.000000,,-1139400698.000000,-128028806.000000,,-384279993.000000,-19890803979.000000,-6545309056.000000,,,,,,,,,-13396900000.000000,,51405077.000000,-13345494923.000000,,,,,,,,,-19890803979.000000,18212916879.000000,9428650648.000000,,27641567527.000000
12M 2016,17103256597.000000,189801384479.000000,,-71209416435.000000,,-71347031945.000000,-16295172636.000000,-2610621292.000000,-970220190.000000,2271082000.000000,-12536747384.000000,,,-12536747384.000000,17103256597.000000,7182040209.000000,807276780.000000,360305200.000000,6983248000.000000,-968789771.000000,,,7182040209.000000,-34325358191.000000,-814872321.000000,,-21578546249.000000,-6733248000.000000,-566230609.000000,,,-28878024858.000000,,,,-348152561.000000,-348152561.000000,,,,,,,-4284308451.000000,,-34325358191.000000,-10040061385.000000,27641567527.000000,,17601506142.000000
12M 2017,9669781404.000000,170483140975.000000,,-49696772464.000000,,-68834000996.000000,-19747214768.000000,-1790202330.000000,-8710330725.000000,,-12034838288.000000,,,-12034838288.000000,9669781404.000000,-217053539.000000,475086896.000000,214813350.000000,,-724895830.000000,-182057955.000000,,-217053539.000000,-9296732164.000000,,,,-999225000.000000,,,,-999225000.000000,,,,-107972309.000000,-107972309.000000,,,,,-11791500000.000000,,3601965145.000000,,-9296732164.000000,155995701.000000,17601506142.000000,,17757501843.000000
12M 2018,-885231753.000000,163075414684.000000,,-56820952099.000000,,-72927860333.000000,-15665975757.000000,-1715766978.000000,-4805452285.000000,,-12024638985.000000,,,-12024638985.000000,-885231753.000000,-1066032275.000000,341838225.000000,179010228.000000,,-1586880728.000000,,,-1066032275.000000,-10121157469.000000,,,,-10000004625.000000,,,,-10000004625.000000,,,,-178960.000000,-178960.000000,,,,,,,-120973884.000000,,-10121157469.000000,-12072421497.000000,17757501843.000000,,5685080346.000000
12M 2019,-6642849130.000000,139436581342.000000,,-48600782188.000000,,-74631623855.000000,-11780054294.000000,-1345294015.000000,-1277974057.000000,,-8443702063.000000,,,-8443702063.000000,-6642849130.000000,478476237.000000,40254211.000000,1768778142.000000,,-1330556116.000000,,,478476237.000000,4936394606.000000,,,,-24068612634.000000,,,,-24068612634.000000,,,,95202481.000000,95202481.000000,,24068612634.000000,,,,5000000000.000000,-158807875.000000,,4936394606.000000,-1227978287.000000,5685080346.000000,,4457102059.000000
