Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,284024008895.000000,-250423291307.000000,33600717588.000000,-31261246996.000000,-18578634446.000000,-5193570088.000000,,-7489042462.000000,-31261246996.000000,2339470592.000000,-33200052175.000000,-32484146253.000000,19874631.000000,-175769773.000000,-560010780.000000,-33200052175.000000,-30860581583.000000,9125813524.000000,,9125813524.000000,9125813524.000000,-21734768059.000000,,,-21734768059.000000,-21734768059.000000,,-21734768059.000000,,,,
12M 2009,242228030371.000000,-202239562053.000000,39988468318.000000,-29555247163.000000,-17360013033.000000,-6304095703.000000,,-5891138427.000000,-29555247163.000000,10433221155.000000,20903177688.000000,22321874690.000000,32346023.000000,-891032245.000000,-560010780.000000,20903177688.000000,31336398843.000000,-18997819572.000000,,-18997819572.000000,-18997819572.000000,12338579271.000000,,,12338579271.000000,12338579271.000000,,12338579271.000000,,,,
12M 2010,321452243820.000000,-277851862691.000000,43600381129.000000,-29323392882.000000,-19638388605.000000,-8145461741.000000,,-1539542536.000000,-29323392882.000000,14276988247.000000,-1771830987.000000,542052116.000000,20983653.000000,-1407719756.000000,-927147000.000000,-1771830987.000000,12505157260.000000,-3351969152.000000,,-3351969152.000000,-3351969152.000000,9153188108.000000,,,9153188108.000000,9153188108.000000,,9153188108.000000,,,,
12M 2011,184387175932.000000,-141458363368.000000,42928812564.000000,-38215486219.000000,-23110057103.000000,-9494416520.000000,,-5611012596.000000,-38215486219.000000,4713326345.000000,,,,,,,4713326345.000000,-2276534580.000000,,-2276534580.000000,-2276534580.000000,2436791765.000000,,,2436791765.000000,2436791765.000000,,2436791765.000000,,,,
12M 2012,243531037253.000000,-188595468806.000000,54935568447.000000,-45797423705.000000,-25819826013.000000,-11231952918.000000,,-8745644774.000000,-45797423705.000000,9138144742.000000,,,,,,,9138144742.000000,-6514970931.000000,-2911511956.000000,-3603458975.000000,-6514970931.000000,2623173811.000000,,2623173811.000000,2623173811.000000,2623173811.000000,,2623173811.000000,2623173811.000000,2623173811.000000,,2623173811.000000
12M 2013,279150207182.000000,-216066147801.000000,63084059381.000000,-44649208571.000000,-30323033793.000000,-13138137335.000000,428000000.000000,-1616037443.000000,-44649208571.000000,18434850810.000000,-39948205600.000000,,836886482.000000,-40785092082.000000,,-39948205600.000000,-21513354790.000000,5363594646.000000,,5363594646.000000,5363594646.000000,-16149760144.000000,,-16149760144.000000,-16149760144.000000,-16149760144.000000,,-16149760144.000000,-16149760144.000000,-16149760144.000000,,-16149760144.000000
12M 2014,286688094220.000000,-218702771930.000000,67985322290.000000,-46715991657.000000,-33046446540.000000,-13316155468.000000,,-353389649.000000,-46715991657.000000,21269330633.000000,-8017124070.000000,,2385037147.000000,-10402161217.000000,,-8017124070.000000,13252206563.000000,-3203209775.000000,,-3203209775.000000,-3203209775.000000,10048996788.000000,,10048996788.000000,10048996788.000000,10048996788.000000,,10048996788.000000,10048996788.000000,10048996788.000000,,10048996788.000000
12M 2015,222363830677.000000,-153501966971.000000,68861863706.000000,-47032948969.000000,-33303655823.000000,-13057161524.000000,,-672131622.000000,-47032948969.000000,21828914737.000000,-21433694805.000000,,4503045853.000000,-25936740658.000000,,-21433694805.000000,395219932.000000,-1166593918.000000,,-1166593918.000000,-1166593918.000000,-771373986.000000,-1868601225.000000,-2639975211.000000,-771373986.000000,-771373986.000000,,-771373986.000000,-2639975211.000000,-2639975211.000000,,-2639975211.000000
12M 2016,172109865924.000000,-103774178864.000000,68335687060.000000,-43218068440.000000,-36624108556.000000,-14027958661.000000,6524681000.000000,909317777.000000,-43218068440.000000,25117618620.000000,4751578569.000000,,11190765798.000000,-6439187229.000000,,4751578569.000000,29869197189.000000,-12459076448.000000,-5722673288.000000,-6736403160.000000,-12459076448.000000,17410120741.000000,191779363.000000,17601900104.000000,17410120741.000000,17410120741.000000,,17410120741.000000,17601900104.000000,17601900104.000000,,17601900104.000000
12M 2017,153713878373.000000,-88499522950.000000,65214355423.000000,-47959691427.000000,-33481332790.000000,-15781228560.000000,,1302869923.000000,-47959691427.000000,17254663996.000000,-6352853744.000000,,475086896.000000,-6827940640.000000,,-6352853744.000000,10901810252.000000,4893841780.000000,-3415182310.000000,8309024090.000000,4893841780.000000,15795652032.000000,-3257554131.000000,12538097901.000000,15795652032.000000,15795652032.000000,,15795652032.000000,12538097901.000000,12538097901.000000,,12538097901.000000
