Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Piutang Pihak Berelasi,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Utang Pihak Berelasi,Aset Tetap,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Utang Pajak,Utang Obligasi,Utang Lain-Lain,Utang Pihak Berelasi,Utang Pembelian Kapal,Pihak Berelasi,Pihak Ketiga,Total Utang Pembelian Kapal,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Keuangan Lainnya,Utang Pembelian Kapal,Pihak Berelasi,Total Utang Pembelian Kapal,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Dari Pihak Ketiga,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,230750339000.000000,58450644000.000000,57088453000.000000,1362191000.000000,58450644000.000000,9586367000.000000,,266267152000.000000,565054502000.000000,,1455025000.000000,92851306000.000000,,2165357547000.000000,,142983944000.000000,2402647822000.000000,2967702324000.000000,,,693264142000.000000,19293657000.000000,,18572308000.000000,153190688000.000000,31560684000.000000,,,68764511000.000000,57309223000.000000,126073734000.000000,,72218304000.000000,,,,72218304000.000000,272354767000.000000,693264142000.000000,628591412000.000000,,491717000.000000,,,,,,,,600918165000.000000,,600918165000.000000,27181530000.000000,628591412000.000000,1321855554000.000000,,233059183000.000000,71782034000.000000,1369852864000.000000,,1369852864000.000000,1369852864000.000000,39681202000.000000,-68528513000.000000,1645846770000.000000,2967702324000.000000,4661183654.000000
12M 2009,,,50188991000.000000,93951456000.000000,92358626000.000000,1592830000.000000,93951456000.000000,6587816000.000000,,93440516000.000000,244168779000.000000,,792606000.000000,37795919000.000000,,1171142311000.000000,,710601114000.000000,1920331950000.000000,2164500729000.000000,,,363927291000.000000,64690922000.000000,10000000000.000000,12396766000.000000,,3670201000.000000,,,,,,,115118718000.000000,,,,115118718000.000000,158050684000.000000,363927291000.000000,473463487000.000000,,1045464000.000000,,,,,,,,445979095000.000000,,445979095000.000000,26438928000.000000,473463487000.000000,837390778000.000000,,233059183000.000000,71782034000.000000,1371164200000.000000,,1371164200000.000000,1371164200000.000000,30872160000.000000,-379767626000.000000,1327109951000.000000,2164500729000.000000,4661183654.000000
12M 2010,,,398001855000.000000,137413559000.000000,136214736000.000000,1198823000.000000,137413559000.000000,7369771000.000000,35450074000.000000,23583902000.000000,601819161000.000000,,1762087000.000000,,,1149214814000.000000,,6432980000.000000,1157409881000.000000,1759229042000.000000,,,678735309000.000000,73442181000.000000,,19478188000.000000,,8971179000.000000,1135118000.000000,,,,,,596097000.000000,16561130000.000000,,,17157227000.000000,558551416000.000000,678735309000.000000,465855156000.000000,,,,,,,,405140371000.000000,,1832500000.000000,,406972871000.000000,58882285000.000000,465855156000.000000,1144590465000.000000,,233059183000.000000,71782034000.000000,708889119000.000000,,708889119000.000000,708889119000.000000,25612697000.000000,-424704456000.000000,614638577000.000000,1759229042000.000000,4661183654.000000
12M 2011,,,227064052000.000000,22463873000.000000,22463873000.000000,,22463873000.000000,6850257000.000000,10404286000.000000,67686409000.000000,334468877000.000000,,,,,1133051249000.000000,,11352265000.000000,1144403514000.000000,1478872391000.000000,,,635028894000.000000,66920262000.000000,,16791444000.000000,,19670105000.000000,1162837000.000000,,,,,,668666000.000000,36594149000.000000,,,37262815000.000000,493221431000.000000,635028894000.000000,439115314000.000000,32006000.000000,,,,,,,428871479000.000000,,1163834000.000000,,430035313000.000000,9047995000.000000,439115314000.000000,1074144208000.000000,,233059183000.000000,71782034000.000000,489655248000.000000,,489655248000.000000,489655248000.000000,24952776000.000000,-414721058000.000000,404728183000.000000,1478872391000.000000,4661183654.000000
12M 2012,,,90359653000.000000,40389386000.000000,40389386000.000000,,40389386000.000000,7325845000.000000,12172566000.000000,41161563000.000000,191409013000.000000,,,,,1228055258000.000000,,1497605570000.000000,2725660828000.000000,2917069841000.000000,,,289856332000.000000,110607465000.000000,,29361602000.000000,,18027999000.000000,1762049000.000000,,,,,,750071000.000000,52329431000.000000,,,53079502000.000000,77017715000.000000,289856332000.000000,2240882566000.000000,7482000.000000,,1790580641000.000000,,,,,438500787000.000000,,413763000.000000,,438914550000.000000,11379893000.000000,2240882566000.000000,2530738898000.000000,,233059183000.000000,-562000487000.000000,460003902000.000000,,460003902000.000000,460003902000.000000,26596170000.000000,228672175000.000000,386330943000.000000,2917069841000.000000,4661183654.000000
12M 2013,,,15809474.000000,4088830.000000,3882815.000000,206015.000000,4088830.000000,1187179.000000,2655878.000000,5151386.000000,28892747.000000,,7473.000000,,,128479521.000000,,2051058.000000,130538052.000000,159430799.000000,,,32131546.000000,4862105.000000,,1273718.000000,,1085036.000000,417855.000000,,,,,,59895.000000,8733015.000000,41145.000000,,8834055.000000,15658777.000000,32131546.000000,106136845.000000,,,52770114.000000,,,,,51542883.000000,63619.000000,66822.000000,,51673324.000000,1693407.000000,106136845.000000,138268391.000000,,86400470.000000,-59041291.000000,-100301322.000000,,-100301322.000000,-100301322.000000,2756634.000000,91347917.000000,21162408.000000,159430799.000000,4769532710.000000
12M 2014,,,14343676.000000,1517352.000000,750518.000000,766834.000000,1517352.000000,996075.000000,1127560.000000,10420885.000000,28405548.000000,,,,,92957644.000000,,12905423.000000,105863067.000000,134268615.000000,,,20813749.000000,3988596.000000,,272937.000000,,2263414.000000,1401201.000000,,,,,,39990.000000,7513624.000000,14211.000000,,7567825.000000,5319776.000000,20813749.000000,94533738.000000,,,52770114.000000,,,,,41195657.000000,27648.000000,22780.000000,,41246085.000000,517539.000000,94533738.000000,115347487.000000,,95964635.000000,65292851.000000,-98611330.000000,,-98611330.000000,-98611330.000000,2706595.000000,-46431623.000000,18921128.000000,134268615.000000,7101084801.000000
12M 2015,,,21890020.000000,2867414.000000,2121993.000000,745421.000000,2867414.000000,743100.000000,5536648.000000,3943631.000000,34980813.000000,,,,,91855285.000000,,17074228.000000,108929513.000000,143910326.000000,,,37469918.000000,3423686.000000,,146936.000000,,1456393.000000,1284939.000000,,,,,,30082.000000,11574708.000000,14190.000000,,11618980.000000,19538984.000000,37469918.000000,85823725.000000,,,52770114.000000,,,,,29681354.000000,15467.000000,6353.000000,,29703174.000000,3350437.000000,85823725.000000,123293643.000000,,95964635.000000,65292851.000000,-95470428.000000,,-95470428.000000,-95470428.000000,2667987.000000,-47838362.000000,20616683.000000,143910326.000000,7101084801.000000
12M 2016,,,23170419.000000,4821045.000000,4333692.000000,487353.000000,4821045.000000,929511.000000,,5808114.000000,34729089.000000,,68920.000000,413892.000000,,114993925.000000,,14881298.000000,130358035.000000,165087124.000000,,,31005362.000000,5779797.000000,,1091887.000000,,2768348.000000,602139.000000,,,,,,45347.000000,14363482.000000,16360.000000,555994.000000,14981183.000000,5782008.000000,31005362.000000,99066942.000000,,,52770114.000000,,,,,43614137.000000,169443.000000,8118.000000,695269.000000,44486967.000000,1809861.000000,99066942.000000,130072304.000000,,95964635.000000,-30177577.000000,2622274.000000,,,2622274.000000,14221630.000000,-47616142.000000,35014820.000000,165087124.000000,7101084801.000000
12M 2017,,,18033158.000000,6316897.000000,5213818.000000,1103079.000000,6316897.000000,1647844.000000,,3957748.000000,29955647.000000,,104628.000000,523570.000000,,125365540.000000,,19609380.000000,145603118.000000,175558765.000000,,,30596213.000000,3924283.000000,,465048.000000,,1461463.000000,741872.000000,,,,,,81743.000000,19073184.000000,13133.000000,460032.000000,19628092.000000,4375455.000000,30596213.000000,103447136.000000,,,52770114.000000,,,,,47812946.000000,218932.000000,30873.000000,235237.000000,48297988.000000,2379034.000000,103447136.000000,134043349.000000,,95964635.000000,-30080448.000000,8325346.000000,20000.000000,8305346.000000,8325346.000000,14875670.000000,-47569787.000000,41515416.000000,175558765.000000,7101084801.000000
